Final set of parameters            Asymptotic Standard Error
=======================            ==========================

sR              = 6.51226          +/- 295.4        (4537%)
R0              = 21.0475          +/- 2277         (1.082e+04%)
N               = 3.64392          +/- 1.114e+04    (3.056e+05%)
c               = 774.891          +/- 4.348e+06    (5.612e+05%)
e1              = -7.43474         +/- 8768         (1.179e+05%)
e2              = -2.75015         +/- 2610         (9.49e+04%)
e4              = 1.19941          +/- 6246         (5.208e+05%)
e5              = 3.22646          +/- 5112         (1.584e+05%)
r1              = 1.45992          +/- 1134         (7.765e+04%)
r3              = -2.23728         +/- 670.9        (2.999e+04%)
r5              = 1.07541          +/- 966.9        (8.991e+04%)
s1              = 2.41242          +/- 4984         (2.066e+05%)
s2              = 1.27955          +/- 1.613e+04    (1.261e+06%)
s3              = 5.88953          +/- 71.02        (1206%)
s4              = 3.05365          +/- 576.3        (1.887e+04%)
s5              = 5.35167          +/- 861.7        (1.61e+04%)
