# HDF: fcm_201408_652  
# /messung/kmc/daten/2014/3Q/pilatus_201408_6629.tif
# Energy (eV)=8800	Distance (mm)=4576	Normalization (s A)=2.3843579e-13	Center=(494.58,553.49)	Binsize (nm-1)=0.0016762496
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	8.6451666e+11	1.8317639e+12	1.7110437e+12
0.0016762495	1.8117715e+12	1.2525028e+12	1.0379631e+12
0.003352499	2.382724e+12	1.028891e+12	9.4664598e+11
0.0050287485	2.0705062e+12	8.5956314e+11	6.7130054e+11
0.006704998	1.7542871e+12	7.604628e+11	5.8577584e+11
0.008381248	2.1995812e+12	7.3080925e+11	7.0406887e+11
0.010057497	2.8138944e+12	7.1143971e+11	6.6827933e+11
0.011733747	2.4177105e+12	6.3196113e+11	5.4251928e+11
0.013409996	2.1065219e+12	5.7190847e+11	5.0615643e+11
0.015086246	1.5299186e+12	4.8404959e+11	3.9005391e+11
0.016762496	1.7723124e+12	4.5063391e+11	4.1643063e+11
0.018438746	2.0139678e+12	4.2536102e+11	3.8332827e+11
0.020114994	1.7556063e+12	3.9065921e+11	3.1990235e+11
0.021791244	1.8416534e+12	3.6900415e+11	8.7492185e+11
0.023467494	2.4306406e+13	8.0917484e+11	1.1123363e+13
0.025143744	1.8632573e+14	2.4154157e+12	3.2618164e+13
0.026819992	7.2232047e+14	5.9411972e+12	5.4671442e+13
0.028496242	1.1898322e+15	7.0555507e+12	2.3280874e+13
0.030172492	1.1038545e+15	5.6823353e+12	1.3086923e+13
0.031848742	9.7152808e+14	4.9344343e+12	1.0928632e+13
0.033524992	8.6623981e+14	4.4603355e+12	9.3329743e+12
0.03520124	7.6241236e+14	4.1199761e+12	8.9155055e+12
0.036877492	6.7815899e+14	3.771624e+12	8.8884794e+12
0.03855374	6.1596891e+14	3.5146253e+12	8.7246442e+12
0.040229988	5.512813e+14	3.2264184e+12	8.3808606e+12
0.04190624	4.9505223e+14	2.9926935e+12	7.4847852e+12
0.043582488	4.401672e+14	2.8026327e+12	7.1033413e+12
0.045258736	3.9043732e+14	2.5837787e+12	6.6656904e+12
0.046934988	3.4134768e+14	2.3595437e+12	5.7705195e+12
0.048611236	2.9906785e+14	2.1473363e+12	5.4360261e+12
0.050287488	2.5598408e+14	1.9516738e+12	4.9548354e+12
0.051963736	2.2499555e+14	1.8058645e+12	4.5664509e+12
0.053639984	1.9149453e+14	1.61683e+12	4.0335759e+12
0.055316236	1.5867232e+14	1.4589998e+12	3.587716e+12
0.056992484	1.3162721e+14	1.3141565e+12	3.0476523e+12
0.058668736	1.0750222e+14	1.1631807e+12	2.6992622e+12
0.060344984	8.5364022e+13	1.0148939e+12	2.2866042e+12
0.062021232	6.9996964e+13	9.139579e+11	1.9672495e+12
0.063697484	5.5888174e+13	7.9938336e+11	1.6634894e+12
0.065373732	4.4758145e+13	7.0596454e+11	1.4680452e+12
0.067049984	3.4076576e+13	6.0651378e+11	1.1476104e+12
0.068726232	2.6331389e+13	5.2730988e+11	8.8647133e+11
0.07040248	2.0185033e+13	4.5700854e+11	7.0336036e+11
0.072078728	1.6227751e+13	4.0564572e+11	5.7626434e+11
0.073754984	1.3337792e+13	3.6106684e+11	4.5109544e+11
0.075431232	1.1355294e+13	3.3063132e+11	3.8300035e+11
0.07710748	1.0746354e+13	3.184627e+11	3.7669103e+11
0.078783728	1.0887067e+13	3.1787359e+11	3.8262266e+11
0.080459976	1.1456096e+13	3.2201832e+11	3.9042588e+11
0.082136224	1.2667052e+13	3.3029319e+11	4.2441893e+11
0.08381248	1.4969243e+13	3.579801e+11	4.5828473e+11
0.085488728	1.6645222e+13	3.7367097e+11	4.6871332e+11
0.087164976	1.8597596e+13	3.9114802e+11	4.8780895e+11
0.088841224	2.0356337e+13	4.0456299e+11	5.2468806e+11
0.090517472	2.1790137e+13	4.1398077e+11	4.8350966e+11
0.092193728	2.3644973e+13	4.2653484e+11	5.0592908e+11
0.093869976	2.5046482e+13	4.3701592e+11	5.1474725e+11
0.095546224	2.5143283e+13	4.3341631e+11	5.0893445e+11
0.097222472	2.584507e+13	4.340452e+11	4.8680921e+11
0.09889872	2.6172147e+13	4.3612121e+11	4.8687554e+11
0.10057498	2.5873032e+13	4.2806291e+11	4.8045001e+11
0.10225122	2.5618713e+13	4.2156713e+11	4.8038395e+11
0.10392747	2.5038709e+13	4.1272268e+11	4.7703044e+11
0.10560372	2.4291693e+13	4.0163213e+11	4.8957569e+11
0.10727997	2.3665718e+13	3.9705222e+11	4.6741739e+11
0.10895622	2.2541463e+13	3.8535678e+11	4.5777346e+11
0.11063247	2.0517051e+13	3.6805803e+11	4.2633001e+11
0.11230872	1.9960895e+13	3.6776189e+11	4.3584201e+11
0.11398497	1.8541464e+13	3.5523102e+11	4.4949521e+11
0.11566122	1.6402414e+13	3.3381028e+11	4.0094937e+11
0.11733747	1.5011253e+13	3.1607787e+11	3.7353173e+11
0.11901372	1.4201494e+13	3.1136212e+11	3.6618997e+11
0.12068997	1.2534838e+13	2.9305797e+11	3.6402382e+11
0.12236622	1.1015264e+13	2.7470602e+11	3.3491783e+11
0.12404246	9.9773378e+12	2.6218079e+11	3.1170419e+11
0.12571872	9.2670501e+12	2.5202693e+11	2.9673246e+11
0.12739497	8.166614e+12	2.3903012e+11	2.7718009e+11
0.12907122	7.1845159e+12	2.2795628e+11	2.5897042e+11
0.13074746	6.1567091e+12	2.0972902e+11	2.3067891e+11
0.13242371	5.6400644e+12	2.0319502e+11	2.1991963e+11
0.13409997	5.639051e+12	2.0444821e+11	2.2349296e+11
0.13577621	5.1580702e+12	1.9702914e+11	2.1092168e+11
0.13745246	5.4584955e+12	1.9762453e+11	2.1338763e+11
0.13912872	5.6316015e+12	1.962301e+11	2.0638959e+11
0.14080496	5.6329074e+12	1.9467837e+11	2.0462726e+11
0.14248122	5.5989234e+12	1.9161668e+11	2.0635218e+11
0.14415746	5.7727233e+12	1.9279915e+11	2.0866058e+11
0.14583371	5.9107459e+12	1.8957999e+11	2.0703023e+11
0.14750997	6.5921277e+12	1.9718544e+11	2.1468703e+11
0.14918621	6.9316147e+12	1.9958452e+11	2.2090184e+11
0.15086246	7.4241181e+12	2.0453349e+11	2.3652604e+11
0.1525387	7.7259623e+12	2.0575873e+11	2.3637486e+11
0.15421496	7.5049698e+12	2.0171186e+11	2.4090314e+11
0.15589122	7.3738142e+12	1.9936172e+11	2.3601214e+11
0.15756746	7.7551777e+12	2.016646e+11	2.3434798e+11
0.15924371	8.0594293e+12	2.042134e+11	2.2781531e+11
0.16091995	7.7341617e+12	1.9782375e+11	2.2324015e+11
0.16259621	8.1817959e+12	2.0174964e+11	2.2774645e+11
0.16427245	8.2640705e+12	2.0073359e+11	2.279582e+11
0.1659487	8.270399e+12	1.9967848e+11	2.2683092e+11
0.16762496	7.9729245e+12	1.9476568e+11	2.1701082e+11
0.1693012	7.8712923e+12	1.9369086e+11	2.1591937e+11
0.17097746	7.5345726e+12	1.8944589e+11	2.0944096e+11
0.1726537	6.9983319e+12	1.8222664e+11	2.0049414e+11
0.17432995	7.0902862e+12	1.8211996e+11	1.9796415e+11
0.17600621	6.6001501e+12	1.7615541e+11	2.0221644e+11
0.17768245	6.3774487e+12	1.7353474e+11	1.9450043e+11
0.1793587	6.0593726e+12	1.6706396e+11	1.8167896e+11
0.18103494	5.7070346e+12	1.6337032e+11	1.7895865e+11
0.1827112	5.4407478e+12	1.594252e+11	1.723257e+11
0.18438746	5.0800823e+12	1.5650467e+11	1.735109e+11
0.1860637	4.6356104e+12	1.5027392e+11	1.6058689e+11
0.18773995	4.4217188e+12	1.4670019e+11	1.5356449e+11
0.18941619	4.3017795e+12	1.4496536e+11	1.4837337e+11
0.19109245	4.294071e+12	1.4392444e+11	1.500704e+11
0.1927687	4.3813472e+12	1.4589959e+11	1.5238545e+11
0.19444494	4.0933928e+12	1.4052437e+11	1.4765226e+11
0.1961212	4.4106656e+12	1.4406424e+11	1.501818e+11
0.19779744	4.3445739e+12	1.4257255e+11	1.4930566e+11
0.1994737	3.8562821e+12	1.3621473e+11	1.4117576e+11
0.20114995	3.8656882e+12	1.3619019e+11	1.3806433e+11
0.20282619	4.1890041e+12	1.3868544e+11	1.42933e+11
0.20450245	4.3200497e+12	1.3885931e+11	1.4250556e+11
0.20617869	4.3666143e+12	1.3890324e+11	1.4209323e+11
0.20785494	4.4059545e+12	1.3844266e+11	1.3986653e+11
0.2095312	4.508984e+12	1.390874e+11	1.4544767e+11
0.21120744	4.4726592e+12	1.3823449e+11	1.4610206e+11
0.2128837	4.5072347e+12	1.3772009e+11	1.4417837e+11
0.21455994	4.6315427e+12	1.389441e+11	1.4528839e+11
0.21623619	4.4867546e+12	1.360619e+11	1.4096543e+11
0.21791245	4.6634394e+12	1.382631e+11	1.4592489e+11
0.21958869	4.7203648e+12	1.3981397e+11	1.4421801e+11
0.22126494	4.717226e+12	1.4071631e+11	1.4456449e+11
0.22294118	4.7219287e+12	1.413807e+11	1.4981044e+11
0.22461744	4.6943702e+12	1.4113159e+11	1.462069e+11
0.2262937	4.6446362e+12	1.4037254e+11	1.4698987e+11
0.22796994	4.6353314e+12	1.4090011e+11	1.5096154e+11
0.22964619	4.6487814e+12	1.4155495e+11	1.4925966e+11
0.23132243	4.5825937e+12	1.3931427e+11	1.4118004e+11
0.23299869	4.4421134e+12	1.3955241e+11	1.4080121e+11
0.23467494	4.1643202e+12	1.3643392e+11	1.4022355e+11
0.23635118	4.2001993e+12	1.3622578e+11	1.4100712e+11
0.23802744	4.1727428e+12	1.3525128e+11	1.3715518e+11
0.23970368	4.0990804e+12	1.3439122e+11	1.3434913e+11
0.24137994	4.0458022e+12	1.3516074e+11	1.3813198e+11
0.24305619	3.7813568e+12	1.3285482e+11	1.4086139e+11
0.24473243	3.7184611e+12	1.3055933e+11	1.3450503e+11
0.24640869	3.7941289e+12	1.3179197e+11	1.3611411e+11
0.24808493	3.6342034e+12	1.2783164e+11	1.2838451e+11
0.24976118	3.5508667e+12	1.2581605e+11	1.2637628e+11
0.25143744	3.5688089e+12	1.2520489e+11	1.2468414e+11
0.25311368	3.5760116e+12	1.2445427e+11	1.2288429e+11
0.25478994	3.3655536e+12	1.212235e+11	1.1961728e+11
0.25646618	3.366632e+12	1.2105599e+11	1.2216504e+11
0.25814243	3.6357371e+12	1.2288888e+11	1.2760833e+11
0.25981869	3.6015018e+12	1.2130204e+11	1.2343322e+11
0.26149493	3.6067159e+12	1.2039283e+11	1.1660612e+11
0.26317118	3.6190203e+12	1.2086208e+11	1.2106049e+11
0.26484742	3.606154e+12	1.2003216e+11	1.1869126e+11
0.26652368	3.5344809e+12	1.1828421e+11	1.1669911e+11
0.26819994	3.5074526e+12	1.1751974e+11	1.1493286e+11
0.26987619	3.7367423e+12	1.1887001e+11	1.1772178e+11
0.27155242	3.8736881e+12	1.2039154e+11	1.2235086e+11
0.27322867	3.5240344e+12	1.1603085e+11	1.1543015e+11
0.27490493	3.5886245e+12	1.1662607e+11	1.1714932e+11
0.27658118	3.6541917e+12	1.1620935e+11	1.1738882e+11
0.27825744	3.8295606e+12	1.1758761e+11	1.1830434e+11
0.27993366	3.6838136e+12	1.1628247e+11	1.193837e+11
0.28160992	3.7179921e+12	1.1633899e+11	1.1936935e+11
0.28328618	3.6149688e+12	1.1439265e+11	1.1607919e+11
0.28496243	3.5987797e+12	1.1456906e+11	1.1443854e+11
0.28663869	3.5669715e+12	1.1327557e+11	1.1399876e+11
0.28831491	3.5001101e+12	1.1235694e+11	1.132503e+11
0.28999117	3.4650711e+12	1.1168073e+11	1.1303028e+11
0.29166742	3.5560466e+12	1.1132457e+11	1.1077932e+11
0.29334368	3.4217633e+12	1.1084822e+11	1.1197228e+11
0.29501994	3.5237067e+12	1.1084703e+11	1.0979086e+11
0.29669616	3.6019285e+12	1.1132206e+11	1.1074083e+11
0.29837242	3.3543194e+12	1.0836316e+11	1.0671085e+11
0.30004867	3.3139908e+12	1.0861452e+11	1.0915183e+11
0.30172493	3.3315248e+12	1.0804642e+11	1.082804e+11
0.30340118	3.2732677e+12	1.0699389e+11	1.0557237e+11
0.30507741	3.3169798e+12	1.0772518e+11	1.0411277e+11
0.30675366	3.2162044e+12	1.062496e+11	1.0365144e+11
0.30842992	3.224871e+12	1.0597112e+11	1.0459811e+11
0.31010618	3.2272426e+12	1.0521648e+11	1.0195963e+11
0.31178243	3.1984146e+12	1.051012e+11	1.0275738e+11
0.31345866	3.0765149e+12	1.0341725e+11	1.0076102e+11
0.31513491	3.2019829e+12	1.0448538e+11	1.0237677e+11
0.31681117	3.1159086e+12	1.0332429e+11	1.0015183e+11
0.31848742	3.1407028e+12	1.0328259e+11	1.0022937e+11
