# HDF: fcm_201412_217  
# /messung/kmc/daten/2014/4Q/pilatus_201412_0761.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0769.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0777.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0785.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0793.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0801.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0809.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0817.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0825.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0833.tif
# Energy (eV)=8000	Distance (mm)=4540.3	Normalization (s A)=5.0370228e-12	Center=(503.899,553.796)	Binsize (nm-1)=0.0015
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	9.0333641e+11	3.135694e+11	1.6549985e+11
0.0015	6.4607536e+11	1.158646e+11	7.8739959e+10
0.003	7.2246395e+11	8.9375701e+10	8.190825e+10
0.0045	6.9660671e+11	6.8992567e+10	7.8300695e+10
0.006	7.317585e+11	6.2477834e+10	8.3773848e+10
0.0075	7.654147e+11	5.6037615e+10	7.3627277e+10
0.009	7.6841596e+11	5.1316769e+10	6.1077095e+10
0.0105	8.0170334e+11	4.8800588e+10	6.3022325e+10
0.012	7.2383293e+11	4.2030838e+10	5.8527201e+10
0.0135	7.0968071e+11	3.9978765e+10	4.4455932e+10
0.015	7.75333e+11	3.984062e+10	4.7591949e+10
0.0165	7.357388e+11	3.7634418e+10	4.2472046e+10
0.018	7.6220598e+11	3.8853822e+10	4.4295872e+10
0.0195	7.7094838e+11	3.8434758e+10	4.366868e+10
0.021	7.420433e+11	3.7038226e+10	5.4475245e+10
0.0225	1.8625003e+12	5.6711669e+10	1.1529116e+12
0.024	2.796754e+13	2.2915138e+11	6.1894546e+12
0.0255	1.2298159e+14	6.0854554e+11	1.022803e+13
0.027	1.9651157e+14	8.8517758e+11	6.9475153e+12
0.0285	1.6879615e+14	7.1915976e+11	4.6887851e+12
0.03	1.3494121e+14	5.7855417e+11	3.1468707e+12
0.0315	1.1517106e+14	4.9474466e+11	2.4630981e+12
0.033	9.8339218e+13	4.2372451e+11	1.8129223e+12
0.0345	8.6995182e+13	3.8262847e+11	1.4536995e+12
0.036	7.6448132e+13	3.4575018e+11	1.2153875e+12
0.0375	6.7798337e+13	3.0567717e+11	1.0475874e+12
0.039	5.9484228e+13	2.7496171e+11	8.6189701e+11
0.0405	5.2352211e+13	2.5062595e+11	7.1330493e+11
0.042	4.594214e+13	2.2693929e+11	6.2104005e+11
0.0435	4.1579618e+13	2.1011712e+11	5.653418e+11
0.045	3.6374716e+13	1.9218085e+11	4.9721764e+11
0.0465	3.2078352e+13	1.7320883e+11	4.553432e+11
0.048	2.8080198e+13	1.5599887e+11	4.0848964e+11
0.0495	2.4452568e+13	1.4259558e+11	3.4235378e+11
0.051	2.1699425e+13	1.311187e+11	3.0290472e+11
0.0525	1.8938955e+13	1.1882079e+11	2.5800018e+11
0.054	1.6295765e+13	1.0672966e+11	2.3417947e+11
0.0555	1.4193135e+13	9.7021586e+10	2.0084589e+11
0.057	1.213148e+13	8.7800001e+10	1.6940553e+11
0.0585	1.0357898e+13	7.9332399e+10	1.5431186e+11
0.06	9.1470483e+12	7.3091631e+10	1.3180946e+11
0.0615	7.7967114e+12	6.6595032e+10	1.1204098e+11
0.063	6.7365121e+12	6.1236673e+10	9.5535305e+10
0.0645	5.8801247e+12	5.645549e+10	8.2158158e+10
0.066	5.1655224e+12	5.2283006e+10	7.5684575e+10
0.0675	4.6663961e+12	4.8920625e+10	6.5671502e+10
0.069	4.307742e+12	4.6449289e+10	6.469207e+10
0.0705	3.969897e+12	4.3951174e+10	5.6999461e+10
0.072	3.7206682e+12	4.2084517e+10	5.5508388e+10
0.0735	3.5372459e+12	4.0490416e+10	5.2609026e+10
0.075	3.5345331e+12	3.9887175e+10	5.1638405e+10
0.0765	3.5647393e+12	3.9618488e+10	5.0175476e+10
0.078	3.5148342e+12	3.8805093e+10	5.0938506e+10
0.0795	3.6219413e+12	3.8964783e+10	5.1404555e+10
0.081	3.742351e+12	3.8906404e+10	4.9975446e+10
0.0825	3.8843166e+12	3.9148194e+10	4.7865428e+10
0.084	3.9385836e+12	3.9102594e+10	4.9121637e+10
0.0855	4.023384e+12	3.9064071e+10	4.8675329e+10
0.087	4.1340305e+12	3.9017829e+10	4.8951327e+10
0.0885	4.2082979e+12	3.9005937e+10	5.0242719e+10
0.09	4.2718331e+12	3.9056506e+10	4.7411505e+10
0.0915	4.2921796e+12	3.8760771e+10	4.9107245e+10
0.093	4.3279188e+12	3.8487768e+10	4.6758653e+10
0.0945	4.2673387e+12	3.7661256e+10	4.5615851e+10
0.096	4.2505642e+12	3.7541701e+10	4.4817032e+10
0.0975	4.1535859e+12	3.6733406e+10	4.8084504e+10
0.099	4.1356512e+12	3.6515892e+10	4.5781801e+10
0.1005	4.0527885e+12	3.6597846e+10	4.3182027e+10
0.102	3.9396238e+12	3.6207741e+10	4.3474496e+10
0.1035	3.8015732e+12	3.5524912e+10	4.2708419e+10
