# HDF: fcm_201412_218  
# /messung/kmc/daten/2014/4Q/pilatus_201412_0838.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0839.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0840.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0841.tif
# /messung/kmc/daten/2014/4Q/pilatus_201412_0842.tif
# Energy (eV)=8000	Distance (mm)=4540.3	Normalization (s A)=2.635604e-12	Center=(503.899,553.796)	Binsize (nm-1)=0.0015
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	5.2794261e+11	2.9135697e+11	3.7115174e+11
0.0015	5.4435964e+11	1.5881341e+11	1.6020876e+11
0.003	8.0176276e+11	1.3406779e+11	1.3198851e+11
0.0045	7.3316876e+11	1.0070485e+11	9.1061442e+10
0.006	5.7181944e+11	7.7825651e+10	9.6111687e+10
0.0075	6.391089e+11	7.3958942e+10	8.4237573e+10
0.009	6.2668214e+11	6.5447767e+10	6.7270487e+10
0.0105	6.1669274e+11	6.1399611e+10	6.5148986e+10
0.012	6.1257497e+11	5.6348421e+10	6.0310543e+10
0.0135	6.6192734e+11	5.3718084e+10	5.269836e+10
0.015	6.465032e+11	5.1417092e+10	6.6018229e+10
0.0165	6.5780261e+11	5.0611274e+10	5.4410487e+10
0.018	7.1259189e+11	5.3535133e+10	5.3252274e+10
0.0195	5.8254139e+11	4.7891985e+10	5.0325367e+10
0.021	6.6445129e+11	5.1000933e+10	9.2774881e+10
0.0225	2.8704641e+12	9.0927549e+10	2.2230018e+12
0.024	4.2004654e+13	3.8137231e+11	9.1827009e+12
0.0255	1.8534833e+14	1.012918e+12	1.5276283e+13
0.027	3.0171663e+14	1.3203981e+12	8.4416671e+12
0.0285	2.7040017e+14	1.028353e+12	4.7868505e+12
0.03	2.3565021e+14	8.7592262e+11	4.2644946e+12
0.0315	2.0364269e+14	7.7322783e+11	3.1096961e+12
0.033	1.781741e+14	6.8440425e+11	2.4867414e+12
0.0345	1.5821435e+14	6.1768021e+11	2.0718349e+12
0.036	1.3876985e+14	5.5613166e+11	1.8309097e+12
0.0375	1.2001158e+14	4.9983982e+11	1.6673256e+12
0.039	1.0444542e+14	4.5263666e+11	1.380176e+12
0.0405	9.0746056e+13	4.117647e+11	1.1799915e+12
0.042	7.8391464e+13	3.7351295e+11	1.0579834e+12
0.0435	6.8222297e+13	3.4258565e+11	9.3056612e+11
0.045	5.8086068e+13	3.0682577e+11	8.5240075e+11
0.0465	4.9921707e+13	2.7591626e+11	7.8909645e+11
0.048	4.2159658e+13	2.4839506e+11	6.2606361e+11
0.0495	3.5978834e+13	2.2603776e+11	5.5493305e+11
0.051	3.0387618e+13	2.0331148e+11	4.7631484e+11
0.0525	2.5415461e+13	1.817298e+11	3.7157365e+11
0.054	2.1501185e+13	1.629889e+11	3.3640832e+11
0.0555	1.8408846e+13	1.4692311e+11	2.9188139e+11
0.057	1.5629391e+13	1.3294362e+11	2.3770756e+11
0.0585	1.3498262e+13	1.2166853e+11	2.0568513e+11
0.06	1.182964e+13	1.119559e+11	1.5692434e+11
0.0615	1.0551384e+13	1.043818e+11	1.4305594e+11
0.063	9.8405702e+12	9.9487488e+10	1.3447703e+11
0.0645	9.4166301e+12	9.6076702e+10	1.2508191e+11
0.066	9.3837733e+12	9.5054801e+10	1.1886823e+11
0.0675	9.1757304e+12	9.2270856e+10	1.1423547e+11
0.069	9.2036024e+12	9.1390696e+10	1.121115e+11
0.0705	9.6189502e+12	9.2954117e+10	1.1329931e+11
0.072	9.6809136e+12	9.1713545e+10	1.1160303e+11
0.0735	9.9327236e+12	9.1861182e+10	1.1219887e+11
0.075	1.0358296e+13	9.2692556e+10	1.1103187e+11
0.0765	1.0669557e+13	9.3110597e+10	1.1140619e+11
0.078	1.0857126e+13	9.2632032e+10	1.1040305e+11
0.0795	1.1145529e+13	9.2734077e+10	1.1107528e+11
0.081	1.1504208e+13	9.3548088e+10	1.0983603e+11
0.0825	1.1560607e+13	9.2664637e+10	1.1149255e+11
0.084	1.15219e+13	9.1770331e+10	1.0826392e+11
0.0855	1.1363313e+13	9.0022235e+10	1.0614214e+11
0.087	1.1149727e+13	8.7790841e+10	1.096754e+11
0.0885	1.0969903e+13	8.6886613e+10	1.0884176e+11
0.09	1.0591373e+13	8.4660963e+10	9.8764911e+10
