# /messung/kmc/daten/2015/1Q/fcm_201501_460.hdf
# int($Pilatus_Tiff)	PilatusPos	K4norm_mean	int(${Sample-X})
2665	895.54	1.03422777297389e-10	78
2666	895.54	1.0341011603552681e-10	91
2667	945.48	1.0343938013831465e-10	78
2668	945.471	1.0339095469293848e-10	91
2669	995.455	1.0354215600530809e-10	78
2670	995.446	1.0339309367537305e-10	91
2671	1045.422	1.0343230485063091e-10	78
2672	1045.395	1.0333933227350054e-10	91
2673	1095.366	1.0338615343078306e-10	78
2674	1095.353	1.0352602214803449e-10	91
2675	1145.343	1.0324894407415492e-10	78
2676	1145.334	1.0330508090652345e-10	91
2677	1195.293	1.0324889786471421e-10	78
2678	1195.28	1.0327761518328392e-10	91
2679	1245.261	1.0334853538472173e-10	78
2680	1245.238	1.0328352213669127e-10	91
2681	1295.217	1.0332262111264232e-10	78
2682	1295.209	1.0324299512789701e-10	91
2683	1345.247	1.0332241673294359e-10	78
2684	1345.235	1.0355633953420474e-10	91
2685	1395.232	1.0350565805887185e-10	78
2686	1395.219	1.0341880098463078e-10	91
2687	1445.213	1.034987716086222e-10	78
2688	1445.2	1.0346645876027658e-10	91
2689	1495.188	1.0345660424474241e-10	78
2690	1495.177	1.0349214602197835e-10	91
2691	1545.153	1.0331766590407682e-10	78
2692	1545.14	1.0338721702076119e-10	91
2693	1595.126	1.0328591131210451e-10	78
2694	1595.117	1.031927240632521e-10	91
2695	1645.095	1.0322050331671368e-10	78
2696	1645.082	1.0318162342046366e-10	91
2697	1695.047	1.0316905145047309e-10	78
2698	1695.031	1.0317766970515367e-10	91
2699	1745.024	1.0310280529161166e-10	78
2700	1745.013	1.0308331988354159e-10	91
2701	1795.006	1.0309388951478044e-10	78
2702	1794.989	1.0304137359471804e-10	91
2703	1844.979	1.030561209254918e-10	78
2704	1844.959	1.0293573302941472e-10	91
2705	1894.907	1.0290628244764077e-10	78
2706	1894.888	1.0298941118641039e-10	91
2707	1944.837	1.0288906591249883e-10	78
2708	1944.827	1.0288146176904201e-10	91
2709	1994.794	1.0280688304728779e-10	78
2710	1994.783	1.0308281359395702e-10	91
2711	2044.763	1.0303374662966439e-10	78
2712	2044.75	1.0299744910260936e-10	91
2713	2094.728	1.0301546212521193e-10	78
2714	2094.701	1.0295700306229507e-10	91
2715	2144.699	1.0281557987604304e-10	78
2716	2144.684	1.0292199344685417e-10	91
2717	2194.572	1.0281292450457933e-10	78
2718	2194.561	1.02945921680943e-10	91
2719	2194.561	1.0283310339133779e-10	78
2720	2194.561	1.0282161400716129e-10	91
2721	2144.795	1.0286549416554581e-10	78
2722	2144.778	1.0286894326243996e-10	91
2723	2094.912	1.0300281545146102e-10	78
2724	2094.897	1.0299934071374426e-10	91
2725	2045.022	1.0282689726232864e-10	78
2726	2045.007	1.0288339761583068e-10	91
2727	1995.055	1.0289469312648391e-10	78
2728	1995.037	1.0292937101622691e-10	91
2729	1945.098	1.0287932783197665e-10	78
2730	1945.083	1.027955892177855e-10	91
2731	1895.132	1.027338726345023e-10	78
2732	1895.121	1.0281749926539516e-10	91
2733	1845.204	1.0278008334761535e-10	78
2734	1845.193	1.0271122801114339e-10	91
2735	1795.223	1.029069799950326e-10	78
2736	1795.207	1.029241187879175e-10	91
2737	1745.253	1.0294344859928578e-10	78
2738	1745.231	1.0302260430103868e-10	91
2739	1695.252	1.0303081727831418e-10	78
2740	1695.239	1.031012023561517e-10	91
2741	1645.297	1.0297342229024698e-10	78
2742	1645.281	1.0300129976336866e-10	91
2743	1595.351	1.0299109434422853e-10	78
2744	1595.326	1.028584312022426e-10	91
2745	1545.346	1.0297265702756702e-10	78
2746	1545.337	1.0291293611955165e-10	91
2747	1495.379	1.0291212462274116e-10	78
2748	1495.368	1.0282398635537867e-10	91
2749	1445.396	1.0295519633592432e-10	78
2750	1445.38	1.0286422687638757e-10	91
2751	1395.414	1.0269087622898055e-10	78
2752	1395.406	1.0272614822500779e-10	91
2753	1345.433	1.0272018809148271e-10	78
2754	1345.414	1.0269462747869548e-10	91
2755	1295.402	1.0270536440727463e-10	78
2756	1295.39	1.0262697798652658e-10	91
2757	1245.447	1.0252172010377987e-10	78
2758	1245.436	1.0265440228814425e-10	91
2759	1195.486	1.0256074669092586e-10	78
2760	1195.472	1.0252845427077192e-10	91
2761	1145.55	1.0243578487161573e-10	78
2762	1145.543	1.0257280923913916e-10	91
2763	1095.528	1.0260983948722537e-10	78
2764	1095.518	1.0254539099617901e-10	91
2765	1045.544	1.0244491146699811e-10	78
2766	1045.535	1.024027561614479e-10	91
2767	995.536	1.0235542024078379e-10	78
2768	995.529	1.0217020595630737e-10	91
2769	945.54	1.0235132497308915e-10	78
2770	945.532	1.0227804659881124e-10	91
2771	895.548	1.0231266830637673e-10	78
2772	895.534	1.0238538335288861e-10	91
