# HDF: fcm_201403_060  
# /archive/messung/kmc/daten/2014/1Q/pilatus_201403_0947.tif
# Energy (eV)=8800 Distance (mm)=4.5326  Normalization factor =0.00050440947  Center=(497.5,538.2)  Binsize (nm-1)=0.0017
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# Detector quantum efficiency = 95.72% Monitor sensitivity (ph/s/A) = 4.538e+16 Sample thickness (mm) =1 Direct beam(photons * sr) = 0.527
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	935.25358	0
0.0017	0	494.63898	0
0.0034	0	362.62996	3.3465506
0.0051	34.607386	297.83869	54.61772
0.0068	189.11151	272.33597	109.73329
0.0085	131.68161	257.37332	89.819154
0.0102	241.46468	251.24416	113.51027
0.0119	150.46709	236.93784	87.350738
0.0136	204.05382	227.15781	95.373078
0.0153	252.3396	221.36128	116.76558
0.017	128.08404	208.08416	87.405006
0.0187	129.6192	194.72721	80.867111
0.0204	46.88462	171.91099	36.895623
0.0221	113.35676	170.20838	151.23965
0.0238	4011.5167	291.58854	2123.7842
0.0255	34203.231	777.89136	5646.666
0.0272	76896.122	1143.8891	6283.3304
0.0289	122573.96	1543.5731	3876.9955
0.0306	128246.94	1482.3632	2429.8138
0.0323	129184.22	1404.1396	2562.9603
0.034	122974.87	1245.7723	2230.7291
0.0357	115555.3	1125.2142	1967.3579
0.0374	108468.49	1045.6901	1865.0931
0.0391	105776.95	1005.2714	1692.3511
0.0408	101408.96	962.10519	1595.2316
0.0425	93961.565	900.72212	1452.9721
0.0442	88019.991	855.69115	1387.51
0.0459	83089.111	816.0554	1463.7733
0.0476	77728.291	771.59937	1448.4625
0.0493	71576.081	725.03553	1354.7376
0.051	67055.719	687.87455	1234.5025
0.0527	63276.615	658.93375	1171.2166
0.0544	57915.493	616.02932	1090.2736
0.0561	52993.344	580.1156	1046.4585
0.0578	49130.677	553.38842	1009.8884
0.0595	44460.638	516.72068	934.20851
0.0612	40414.915	484.34757	862.17605
0.0629	37361.917	454.57614	799.50372
0.0646	34084.814	430.69958	745.69718
0.0663	30097.171	399.23576	693.15196
0.068	27919.806	379.38105	628.41933
0.0697	24837.96	351.07726	589.85883
0.0714	22465.351	328.746	567.53002
0.0731	20556.525	313.07812	522.22975
0.0748	18343.055	289.82737	473.10275
0.0765	15721.903	265.2925	430.9321
0.0782	13217.529	242.68957	411.07963
0.0799	11168.907	220.05188	361.55618
0.0816	9516.4435	200.98333	315.23979
0.0833	8339.6572	186.10749	284.02519
0.085	6760.4507	165.51184	264.78057
0.0867	5708.2235	152.33674	228.79615
0.0884	4956.3716	141.72412	195.34487
0.0901	4072.8909	128.0886	169.11992
0.0918	3396.0212	116.93037	154.45551
0.0935	2996.6871	110.5404	133.3145
0.0952	2608.8305	103.94512	121.01999
0.0969	2247.3523	97.017079	105.26624
0.0986	1899.5328	91.191082	92.729523
0.1003	1690.7562	88.104179	88.073515
0.102	1672.0301	87.152512	86.246052
0.1037	1622.8969	85.82675	87.413211
0.1054	1613.6922	84.362977	85.303595
0.1071	1620.9434	84.192956	83.002141
0.1088	1501.6762	82.050822	80.881683
0.1105	1511.3275	81.033446	79.932771
0.1122	1608.148	81.454565	81.237181
0.1139	1746.4868	84.128001	86.066593
0.1156	1729.3881	81.439513	83.703308
0.1173	1909.9535	84.530176	91.375829
0.119	1918.2669	83.610104	87.585477
0.1207	1935.5502	82.280627	82.880444
0.1224	2067.6926	84.068497	85.250907
0.1241	2148.061	84.151753	89.510199
0.1258	2156.8108	83.530718	86.967315
0.1275	2196.777	83.355055	87.723179
0.1292	2169.9422	83.104356	86.27967
0.1309	2093.0551	81.711955	85.563895
0.1326	2151.3299	81.773409	88.954599
0.1343	2067.4712	80.088367	85.537219
0.136	1912.4885	78.697267	81.227484
0.1377	1897.0381	78.652836	81.009296
0.1394	2090.6891	81.416212	83.627061
0.1411	1946.4527	79.59516	82.134861
0.1428	1673.4344	76.780314	79.692389
0.1445	1487.6436	74.419548	73.888749
0.1462	1485.0134	74.280392	72.705851
0.1479	1452.8957	74.315768	72.963337
