# HDF: fcm_201403_060  
# /archive/messung/kmc/daten/2014/1Q/pilatus_201403_0961.tif
# Energy (eV)=8800 Distance (mm)=4.5326  Normalization factor =0.00050322454  Center=(497.5,538.2)  Binsize (nm-1)=0.0017
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# Detector quantum efficiency = 95.72% Monitor sensitivity (ph/s/A) = 4.538e+16 Sample thickness (mm) =1 Direct beam(photons * sr) = 0.5257
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	937.45581	0
0.0017	0	495.8037	0
0.0034	0	363.48384	0
0.0051	0	297.92095	8.0343475
0.0068	109.08519	269.62176	85.546128
0.0085	55.29175	256.20154	59.202288
0.0102	46.584745	246.34798	52.554235
0.0119	151.03896	237.7486	87.616717
0.0136	131.67762	225.57854	78.247513
0.0153	122.04023	216.67654	72.504243
0.017	126.63855	208.59153	71.275734
0.0187	228.47979	195.55649	86.168418
0.0204	122.13321	173.6626	57.509566
0.0221	53.770081	168.39268	76.377105
0.0238	2070.8437	218.68423	1897.3647
0.0255	39549.625	844.23055	6719.0745
0.0272	95659.732	1296.2531	7836.7587
0.0289	158516.18	1811.9014	4898.8545
0.0306	159092.55	1724.0102	3275.4462
0.0323	159450.41	1676.1975	3958.0624
0.034	149040.85	1453.3434	3689.6385
0.0357	139178.7	1286.7348	3327.882
0.0374	128693.27	1184.0682	2875.7135
0.0391	117973.83	1106.7574	2674.909
0.0408	107495.69	1025.0217	2561.3146
0.0425	93643.704	927.4249	2438.1709
0.0442	85680.472	875.33846	2203.1079
0.0459	75198.192	797.1524	2105.0209
0.0476	66365.294	727.75629	1893.698
0.0493	56478.262	665.98677	1715.725
0.051	46814.662	593.9877	1539.9669
0.0527	40273.908	540.24522	1322.2835
0.0544	33948.365	484.78573	1174.2942
0.0561	28729.247	436.98106	1031.5077
0.0578	24752.952	394.35324	959.89902
0.0595	20329.122	347.34844	838.68132
0.0612	16460.296	309.80591	709.26643
0.0629	12997.896	270.97939	568.01842
0.0646	10363.82	238.30158	460.85854
0.0663	8336.3681	213.38966	396.45748
0.068	6566.5045	186.15548	314.2451
0.0697	5353.819	166.62657	261.21774
0.0714	4204.788	147.68563	213.48293
0.0731	3479.4523	133.7896	177.3332
0.0748	3030.1303	124.41774	148.28369
0.0765	2430.1727	112.42129	125.93466
0.0782	2393.6176	110.41609	119.67892
0.0799	2838.218	117.6297	132.40887
0.0816	2813.2942	115.37708	132.74041
0.0833	3116.5602	119.01823	144.12664
0.085	3546.6524	123.7952	148.89307
0.0867	3588.8322	123.29092	145.52442
0.0884	3783.5844	124.80848	152.112
0.0901	4298.9142	129.65825	153.59137
0.0918	4742.0863	135.57111	151.5422
0.0935	4613.6478	131.94748	154.8746
0.0952	4933.6812	134.61278	152.33278
0.0969	5068.0239	134.18028	150.54828
0.0986	5180.3746	135.05057	156.23464
0.1003	5254.8299	136.07684	158.7628
0.102	5057.306	132.32739	153.79112
0.1037	4974.5458	128.74141	148.19119
0.1054	4903.7595	127.06978	145.03315
0.1071	4676.6234	123.73482	141.75469
0.1088	4413.5651	119.21461	142.57571
0.1105	4221.4063	116.84096	143.22717
0.1122	3760.4551	109.52756	135.67758
0.1139	3676.7457	109.09718	129.19251
0.1156	3256.6932	102.1384	124.31229
0.1173	2842.5123	96.51319	114.58016
0.119	2562.7087	92.06452	104.50317
0.1207	2270.6133	87.614607	95.418502
0.1224	2129.8027	86.085632	92.830277
0.1241	1820.5762	80.914564	84.963487
0.1258	1540.7541	76.475503	79.199607
0.1275	1402.5522	74.980278	77.216424
0.1292	1256.9006	72.410271	69.892121
0.1309	1126.6844	70.410572	63.685618
0.1326	1014.5051	68.144015	58.523267
0.1343	1021.4847	67.922781	57.762862
0.136	1035.9097	69.134811	61.518781
0.1377	923.14884	67.625291	56.924653
0.1394	972.63368	68.386695	57.814204
0.1411	998.87124	68.761752	57.338387
0.1428	1016.381	68.509078	55.615665
0.1445	1068.5038	69.650618	58.706894
0.1462	1078.7513	69.343371	59.337235
0.1479	1182.0672	70.938239	64.062023
0.1496	1295.1639	72.278634	67.071062
0.1513	1348.5115	72.721923	68.144992
0.153	1390.8926	73.039046	70.725748
0.1547	1476.3563	74.201543	73.856889
0.1564	1525.149	74.754424	71.451566
0.1581	1392.4159	72.056674	66.287146
0.1598	1388.0063	72.665639	68.16016
0.1615	1478.3117	73.805329	70.588306
0.1632	1466.0042	73.552788	72.435219
0.1649	1538.8241	73.784282	73.17206
0.1666	1357.3584	69.494152	66.850954
0.1683	1373.6469	69.312087	66.078031
0.17	1334.9533	68.536173	66.016735
0.1717	1194.9713	65.361858	60.061484
0.1734	1192.3984	65.005507	57.933841
0.1751	1127.0189	64.419121	58.013548
0.1768	1023.9737	62.676552	54.686716
0.1785	957.74201	61.32503	50.980096
0.1802	911.5233	60.189823	48.135322
0.1819	901.40451	60.085954	49.678062
0.1836	817.84055	59.039104	47.419326
0.1853	802.22121	58.822763	46.964329
0.187	763.64792	57.917218	45.171236
0.1887	680.23149	57.210891	45.251805
0.1904	653.43428	56.778921	43.687218
0.1921	588.86251	55.367129	39.523218
0.1938	583.63083	55.204533	39.54711
0.1955	553.58697	55.351594	38.290811
0.1972	533.51355	55.527789	36.617033
0.1989	556.04442	55.912019	38.005969
0.2006	619.02292	56.232173	39.789653
0.2023	615.6442	56.526825	40.518859
0.204	547.42959	56.113839	39.148556
0.2057	655.93934	56.835486	41.270602
0.2074	671.135	56.752393	40.990072
0.2091	598.11576	55.989367	38.83871
0.2108	667.95859	57.228799	42.999724
0.2125	678.8792	57.227777	43.974652
0.2142	662.05876	56.472277	41.536731
0.2159	709.32547	56.69686	41.442548
0.2176	733.42586	57.546196	44.603649
0.2193	681.27635	56.465999	41.450302
0.221	757.37511	57.257359	43.490777
0.2227	700.88855	56.315485	41.972125
0.2244	655.19082	55.015565	39.455467
0.2261	658.99926	54.448552	39.359208
0.2278	663.05672	53.922106	39.144899
0.2295	698.26617	53.885969	40.643878
0.2312	650.57796	52.846784	38.06421
0.2329	614.63878	52.275918	37.757485
0.2346	664.49962	52.646897	39.502412
0.2363	592.55439	51.457223	35.804498
0.238	549.9244	51.086504	35.32429
0.2397	574.78859	50.893749	34.835355
0.2414	548.73853	50.169814	33.174694
0.2431	498.58974	49.741619	32.671139
0.2448	525.14509	49.639997	33.244581
0.2465	528.88956	49.540802	33.366247
0.2482	509.63715	49.072158	32.103456
0.2499	445.598	48.388106	30.223134
0.2516	459.86969	48.564901	31.532449
0.2533	465.9704	48.280136	31.356483
0.255	455.52278	48.047394	30.832434
0.2567	449.63456	47.644354	29.990017
0.2584	417.47633	47.16854	29.507965
0.2601	499.45268	47.592038	31.98652
0.2618	484.16421	47.090255	30.431702
0.2635	465.04404	46.907094	29.482843
0.2652	440.85364	46.438191	28.194834
0.2669	393.05034	46.02854	27.737639
0.2686	455.1163	46.165537	28.459349
0.2703	448.79674	46.023329	28.983183
0.272	459.21312	45.934531	29.46369
0.2737	480.62939	45.985692	30.004693
0.2754	495.80029	46.062456	30.717168
0.2771	468.73693	45.19863	28.312613
0.2788	484.60089	45.379415	29.132395
0.2805	460.2149	45.157848	29.089908
0.2822	472.92442	45.005087	28.99599
0.2839	462.8401	44.902646	29.503673
0.2856	445.96625	44.465645	28.438499
0.2873	449.16368	44.258262	27.4937
0.289	435.86777	44.02176	27.194979
0.2907	437.74835	43.906187	27.271278
0.2924	439.05185	43.79973	27.36817
0.2941	427.48269	43.71449	27.151167
