# HDF: fcm_201403_060  
# /archive/messung/kmc/daten/2014/1Q/pilatus_201403_0944.tif
# Energy (eV)=8800 Distance (mm)=4.5326  Normalization factor =0.0005053858  Center=(499.5,536.2)  Binsize (nm-1)=0.0017
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# Detector quantum efficiency = 95.72% Monitor sensitivity (ph/s/A) = 4.538e+16 Sample thickness (mm) =1 Direct beam(photons * sr) = 0.528
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	933.44681	0
0.0017	0	493.68341	0
0.0034	0	361.92942	16.105196
0.0051	166.54724	303.74998	116.29355
0.0068	147.5741	256.56767	95.080047
0.0085	156.04563	229.98278	86.920046
0.0102	143.54992	219.13271	78.773903
0.0119	121.72644	215.56046	72.486868
0.0136	55.518251	207.63215	47.930361
0.0153	73.593452	201.53058	53.402549
0.017	280.86246	202.35909	106.10807
0.0187	97.066145	189.64856	63.749933
0.0204	39.08784	181.12462	36.186647
0.0221	185.44114	171.86793	363.21168
0.0238	8814.7372	383.45388	3977.3582
0.0255	73676.735	1312.9115	9912.4558
0.0272	231376.6	2509.0791	11097.728
0.0289	297976.11	2344.5326	5049.0746
0.0306	294469.93	2002.0147	3133.5353
0.0323	278364.99	1835.7701	2581.7009
0.034	267903.52	1740.4284	2449.4701
0.0357	253073.02	1644.8035	2411.0957
0.0374	239898.56	1558.5303	2457.602
0.0391	226871.25	1467.0166	2226.9437
0.0408	213607.28	1394.1952	2134.5053
0.0425	199332.33	1310.4092	1850.9824
0.0442	188344.73	1252.8122	1768.9786
0.0459	175598.57	1182.5218	1741.53
0.0476	162352.35	1112.367	1713.4307
0.0493	150116.04	1051.152	1578.6057
0.051	138399.5	985.06424	1451.4784
0.0527	124307.25	917.90912	1396.6031
0.0544	112567.69	855.89809	1253.9904
0.0561	102701.61	802.15634	1191.4409
0.0578	93199.748	754.53657	1200.6917
0.0595	83928.513	707.67596	1097.6045
0.0612	74204.415	652.90585	967.69379
0.0629	67044.629	610.27394	919.85358
0.0646	58747.229	563.01359	779.67312
0.0663	52355.417	525.29507	757.12975
0.068	45310.985	480.28989	714.039
0.0697	39897.993	446.58227	642.95133
0.0714	34368.761	406.70064	604.55974
0.0731	29890.689	378.25443	557.09565
0.0748	24650.345	334.47769	494.86436
0.0765	21491.481	311.28353	447.66586
0.0782	17965.176	280.2789	390.93454
0.0799	14816.835	252.21136	333.90926
0.0816	12159.984	225.12485	302.77289
0.0833	10472.265	206.28589	272.67674
0.085	8549.1397	185.04567	241.34624
0.0867	6807.2336	165.20579	210.03408
0.0884	5503.5262	147.33103	185.8135
0.0901	4662.7219	135.28647	163.59987
0.0918	3627.32	119.15772	132.79553
0.0935	3179.4185	112.25132	122.94603
0.0952	2785.1051	105.2547	116.44844
0.0969	2387.088	98.575107	108.8285
0.0986	2258.6582	96.903493	111.99804
0.1003	2163.076	94.439241	100.03437
0.102	2082.5445	91.821926	94.113007
0.1037	2196.7379	92.149848	97.550093
0.1054	2407.7169	94.811707	101.24163
0.1071	2425.8321	94.678347	100.54858
0.1088	2439.797	93.683252	100.30299
0.1105	2721.9399	96.798903	106.59573
0.1122	2844.7282	96.774733	104.54414
0.1139	3161.1028	102.1159	113.13949
0.1156	3104.7431	99.005157	108.34812
0.1173	3147.1665	98.477498	104.89978
0.119	3469.9166	102.77245	115.99463
0.1207	3536.8701	103.06731	121.44195
0.1224	3613.7337	103.45231	123.8821
0.1241	3493.0631	100.76136	118.17698
0.1258	3221.2297	96.262672	108.4349
0.1275	3298.6561	96.663237	107.53431
0.1292	3268.389	96.100381	105.57826
0.1309	3093.4606	92.732599	103.02258
0.1326	3180.7786	93.884161	99.901507
0.1343	2812.3837	87.971037	95.168715
0.136	2758.5309	87.679079	92.920365
0.1377	2611.9196	84.634383	85.733633
0.1394	2515.2815	84.660448	90.485052
0.1411	2332.3821	82.356246	86.978824
0.1428	2301.5269	83.080243	86.390272
0.1445	2124.9162	80.557184	85.774137
0.1462	1921.6499	77.664342	78.95976
0.1479	1729.8075	75.797494	76.051977
0.1496	1714.871	76.487046	76.008885
0.1513	1532.1349	73.810165	72.461187
0.153	1446.1885	73.138444	70.006259
0.1547	1198.4195	69.310169	60.947653
0.1564	1087.443	68.794769	59.527779
0.1581	1054.221	68.087453	60.049047
0.1598	1167.4402	69.492938	62.669457
0.1615	1145.5997	68.513654	59.287353
0.1632	1080.9295	67.923635	57.733453
0.1649	874.90088	65.89662	55.03312
0.1666	850.96081	65.579128	53.354971
0.1683	871.99693	64.840469	53.147815
0.17	944.0353	65.118967	55.735715
0.1717	920.34645	63.621785	54.268895
0.1734	939.5778	63.221861	53.801492
0.1751	921.82051	62.651192	53.845207
0.1768	956.46447	62.32512	53.507522
0.1785	998.61377	62.338823	54.738988
0.1802	950.68299	60.923623	52.949866
0.1819	1033.0894	61.55262	53.934881
0.1836	999.10829	60.392537	50.517428
0.1853	958.61432	59.856552	48.517037
0.187	970.10393	59.508511	50.199756
0.1887	1043.4368	59.850523	51.74885
0.1904	1049.3038	59.945611	51.435549
0.1921	1013.4886	59.685098	51.372035
0.1938	1053.0461	60.732742	55.013469
0.1955	1051.6304	60.722695	52.390463
0.1972	1030.309	61.144419	52.490682
0.1989	995.48402	60.388206	50.677161
0.2006	1025.2789	60.868195	53.191906
0.2023	986.01843	59.983495	50.626997
0.204	984.07232	60.240849	50.211911
0.2057	967.91929	60.518348	52.398605
0.2074	882.79606	58.837759	48.629296
0.2091	931.78116	59.601627	48.632079
0.2108	820.22676	58.39436	45.002354
0.2125	760.90108	57.781325	44.287645
0.2142	814.63068	58.34773	46.713099
0.2159	791.33415	57.955226	46.172846
0.2176	779.30185	57.833966	44.816789
0.2193	785.25358	57.311762	43.770272
0.221	765.68215	56.40789	43.785848
0.2227	719.50335	55.545086	43.970282
0.2244	756.38331	54.873085	41.856684
0.2261	782.17543	54.70176	43.679043
0.2278	797.33471	54.97062	44.962285
0.2295	647.72603	52.522323	38.041343
0.2312	643.37237	52.553418	38.495632
0.2329	726.66106	53.072762	40.836166
0.2346	773.71455	53.216386	41.87411
0.2363	738.73818	52.483967	41.266699
0.238	721.62637	52.116805	40.487292
0.2397	751.15933	52.333296	41.631513
0.2414	734.74341	51.390714	39.208171
0.2431	731.66297	51.010799	38.853466
0.2448	759.24274	51.11477	38.877286
0.2465	715.5317	50.494198	37.943217
0.2482	771.19709	50.801738	39.183769
0.2499	780.35139	50.641606	39.711719
0.2516	782.91927	50.875288	41.397043
0.2533	673.75674	49.592264	38.098178
0.255	657.8923	49.08782	36.640674
0.2567	701.27141	49.162826	38.070297
0.2584	698.03888	48.85195	36.575465
0.2601	687.23055	48.500422	35.400882
0.2618	672.07964	48.496386	36.49394
0.2635	690.07341	48.507753	37.094411
0.2652	696.7172	48.078698	36.585958
0.2669	663.17314	48.091863	37.397525
0.2686	631.56203	47.336509	34.651779
0.2703	645.59853	46.99421	33.921335
0.272	719.24547	47.417444	35.673111
0.2737	735.32579	47.481419	36.273177
0.2754	707.98956	47.04046	36.003764
0.2771	719.18491	46.950804	35.643744
0.2788	617.51156	45.813697	32.355612
0.2805	641.82755	46.102094	33.058922
0.2822	682.3681	46.241325	33.903357
0.2839	606.86144	45.407187	31.907234
0.2856	585.90305	45.155491	31.363915
0.2873	610.25077	45.291537	32.371537
0.289	614.80392	45.176528	32.47062
0.2907	603.84008	44.792788	31.789103
0.2924	613.2075	44.76386	31.783652
0.2941	634.71171	44.728651	32.159704
0.2958	679.13157	45.108271	34.017562
0.2975	594.1468	44.149332	31.763802
0.2992	596.61968	44.061268	31.504649
0.3009	579.62876	43.637986	29.79931
0.3026	587.80829	43.836366	31.479661
0.3043	641.89495	43.986281	32.567938
0.306	653.23843	43.779291	32.206367
0.3077	696.98905	44.081926	32.79238
0.3094	665.72333	43.745472	32.31953
0.3111	641.74564	43.238858	31.455443
0.3128	608.75359	42.924323	30.307286
0.3145	547.97602	42.546981	29.421052
0.3162	578.26945	42.695864	30.630692
0.3179	609.70984	42.561937	30.386424
0.3196	632.86744	42.626354	30.947362
0.3213	614.18026	42.291293	29.80834
0.323	641.68019	42.329866	30.265148
0.3247	634.71578	42.198615	30.514447
0.3264	655.36935	42.259991	31.083279
0.3281	619.4283	41.909731	30.24361
0.3298	645.21882	41.802307	29.881825
0.3315	649.50726	41.798655	30.268697
0.3332	590.52472	41.320858	29.077351
0.3349	575.29468	41.299453	28.814612
0.3366	605.08976	41.294352	29.515298
0.3383	613.22383	41.073283	29.292891
0.34	584.34938	40.875119	29.298733
0.3417	623.19462	40.929699	29.411995
0.3434	659.69117	41.099402	29.948947
0.3451	681.03133	41.153205	30.666832
0.3468	621.89434	40.527955	29.027951
0.3485	626.57852	40.574331	28.831933
0.3502	622.34322	40.42913	29.312864
0.3519	610.73007	40.249048	29.428011
0.3536	618.91391	40.254993	29.660498
0.3553	586.45878	39.790539	28.019922
0.357	595.99797	39.801135	28.171965
0.3587	649.0838	39.948566	29.076422
0.3604	630.99522	39.760881	28.59904
0.3621	574.99429	39.425109	27.848243
0.3638	563.34311	39.337403	27.522077
0.3655	595.75844	39.19553	27.256238
0.3672	618.74838	39.225925	27.766845
0.3689	602.63651	39.069165	27.591617
0.3706	621.75494	39.107437	28.054826
0.3723	630.60566	38.976558	27.892929
0.374	620.59949	38.771981	27.51441
0.3757	647.64123	39.043543	28.448806
0.3774	629.50813	38.765167	27.631772
0.3791	615.69612	38.590669	27.412861
0.3808	591.0834	38.280751	27.089995
0.3825	568.54987	38.036437	26.191032
0.3842	590.92701	38.193709	26.540361
0.3859	610.03122	38.254182	27.327248
0.3876	610.33356	38.132539	27.583465
0.3893	632.46415	38.125813	27.950328
0.391	656.28214	38.240729	28.414788
0.3927	639.58683	37.916442	26.956214
0.3944	586.38713	37.530111	25.935871
0.3961	594.21798	37.554738	26.492703
0.3978	650.77593	38.019435	28.530954
0.3995	630.73003	37.497386	27.224588
0.4012	614.19423	37.410937	26.59179
0.4029	559.28436	37.053597	25.885259
0.4046	593.04419	37.112769	26.048026
0.4063	599.52069	36.969348	25.968842
0.408	613.17943	36.933351	26.169646
0.4097	579.69681	36.708176	25.416396
0.4114	575.64348	36.794404	25.586872
0.4131	574.0917	36.626732	25.218143
0.4148	563.32046	36.422377	25.317645
0.4165	554.44686	36.374951	24.994833
0.4182	541.07082	36.132041	24.070433
0.4199	561.83237	36.30198	25.462346
0.4216	615.11256	36.419856	25.771293
0.4233	603.03273	36.242421	25.271713
0.425	583.39873	36.052804	25.033532
0.4267	589.97872	36.173537	25.989854
0.4284	573.89463	35.9798	25.430549
0.4301	606.06199	35.964346	25.349558
0.4318	596.71356	35.844926	24.731756
0.4335	558.54117	35.498867	23.877637
0.4352	601.21883	35.747523	25.615975
0.4369	585.4593	35.627214	25.620112
0.4386	564.76586	35.441022	24.758671
0.4403	544.12614	35.206007	23.988186
0.442	575.78312	35.213945	23.987452
0.4437	568.90493	35.1787	24.355018
0.4454	567.25744	35.024985	23.761682
0.4471	572.2436	35.081069	24.229708
0.4488	594.96978	35.063747	24.215891
0.4505	566.11662	34.800927	23.455375
0.4522	561.44323	34.869616	23.969146
0.4539	597.45027	34.977353	25.052205
0.4556	589.57743	34.778346	24.462812
0.4573	555.20892	34.536832	23.543871
0.459	601.08037	34.695755	24.296366
0.4607	628.68692	34.91455	25.29719
0.4624	578.71709	34.44386	24.407143
0.4641	607.30536	34.655884	25.002801
0.4658	574.93691	34.45914	24.272044
0.4675	558.80028	34.228271	23.357826
0.4692	577.00338	34.208373	24.037552
0.4709	590.44151	34.299281	24.851804
0.4726	575.51098	34.129711	24.038103
0.4743	576.69025	34.08147	23.777247
0.476	581.24712	33.999683	23.681347
0.4777	571.32167	33.846982	23.460159
0.4794	547.30507	33.732928	23.077484
0.4811	527.85128	33.481688	22.356422
0.4828	554.694	33.566055	22.85612
0.4845	563.2793	33.58877	23.065187
0.4862	571.59759	33.680865	23.474918
0.4879	583.31842	33.678698	24.044384
0.4896	560.72923	33.366488	23.136424
0.4913	562.73377	33.334099	23.086012
0.493	609.89259	33.651694	24.159111
0.4947	609.894	33.435932	23.700654
0.4964	599.95777	33.285844	23.130035
0.4981	566.25773	33.18331	22.612464
0.4998	575.04235	33.574167	23.345846
0.5015	573.60214	33.716158	23.54633
0.5032	554.34301	33.614845	22.994199
0.5049	564.46529	33.841833	23.392309
0.5066	577.0699	33.885198	23.514705
0.5083	571.64565	34.031059	23.661882
0.51	565.92096	33.9398	23.419744
0.5117	548.14615	33.844767	23.391673
0.5134	544.50532	33.960657	23.443113
0.5151	571.03025	34.013969	23.111535
0.5168	594.38197	34.120464	23.711708
0.5185	594.74068	34.197961	24.008175
0.5202	560.75541	33.96641	23.213653
0.5219	557.86425	34.12028	24.036115
0.5236	575.6669	34.069802	23.725619
0.5253	556.95872	33.899955	22.753148
0.527	559.6367	33.984366	23.721227
0.5287	592.02785	33.884494	24.177478
0.5304	606.4575	33.63795	23.716119
0.5321	608.2083	33.464333	23.733049
0.5338	579.28638	33.162892	23.101737
0.5355	581.58772	33.146532	23.15014
0.5372	585.04752	33.030185	23.010283
0.53889997	591.72133	32.918221	22.951967
0.5406	572.98349	32.729002	22.46298
0.54230003	570.6703	32.719615	22.320043
0.544	575.30429	32.494098	22.055891
0.54569997	608.89134	32.723046	23.522036
0.5474	579.67635	32.442112	22.852222
0.54910003	593.94306	32.649287	22.99362
0.5508	563.33002	32.593627	22.477143
0.55249997	576.83921	32.695902	22.731742
0.5542	605.87671	33.083888	23.479349
0.55590003	533.48169	32.695733	22.143588
0.5576	564.73473	32.898388	22.748209
0.55929997	601.2078	33.173599	23.731567
0.561	594.8802	33.114353	23.575097
0.56270003	571.08102	33.159199	23.389996
0.5644	550.29777	32.87804	22.645144
0.56609997	567.3213	33.186602	23.717877
0.5678	576.85873	33.080582	22.782965
0.56950003	570.07376	33.071608	22.855982
0.5712	572.31301	33.010744	22.266923
0.57289997	568.06898	33.006369	22.492595
0.5746	556.89533	33.043122	22.617961
0.57630003	553.89178	32.978664	22.72678
0.578	581.42161	33.001559	22.908363
0.57969997	584.52192	32.764992	22.845522
0.5814	572.61629	32.539504	22.744843
0.58310003	580.20465	32.433495	22.548063
0.5848	581.86164	32.317948	22.753531
0.58649997	581.96648	32.174196	22.796117
0.5882	573.5493	32.01782	22.471595
0.58990003	552.03306	31.803573	21.570986
0.5916	548.85732	31.705624	21.705143
0.59329997	579.53753	31.729312	22.298632
0.595	554.53065	31.473786	21.35372
0.59670003	572.63215	31.569239	21.885306
0.5984	562.35796	31.393739	21.737206
0.60009997	556.67372	31.272859	21.601145
0.6018	559.3004	31.305119	21.705829
0.60350003	562.10522	31.208925	21.504273
0.6052	568.74795	31.188691	21.949253
0.60689997	595.50363	31.370125	22.36768
0.6086	543.53586	30.8537	21.081427
0.61030003	557.49876	30.911022	21.12847
0.612	567.13915	30.886694	21.174554
0.61369997	577.83208	30.899333	21.57241
0.6154	559.8635	30.735242	21.061921
0.61710003	586.79561	30.83047	21.656233
0.6188	560.95844	30.587282	21.024811
0.62049997	546.88149	30.54194	21.252987
0.6222	539.2726	30.440776	20.727199
0.62390003	527.20504	30.220499	19.953832
0.6256	573.76147	30.471923	20.965163
0.62729997	562.00173	30.300895	20.592885
0.629	557.97064	30.214293	20.620818
0.63070003	559.65044	30.116378	20.417632
0.6324	569.76995	30.263692	20.9911
0.63409997	581.06396	30.163378	20.777974
0.6358	587.56097	30.134184	20.943993
0.63750003	541.11805	29.942174	20.583986
0.6392	550.84636	29.945174	20.514898
0.64089997	567.60276	29.959292	20.852592
0.6426	575.42005	29.878408	20.931195
0.64430003	565.62039	29.882875	21.012759
0.646	549.39612	29.752261	20.610055
0.64769997	547.20771	29.675957	20.757799
0.6494	550.05098	29.627145	20.528199
0.65110003	566.42255	29.69142	20.647528
0.6528	558.71707	29.525054	20.185119
0.65449997	536.63973	29.361482	19.6234
0.6562	553.70384	29.493712	20.515234
0.65790003	550.22441	29.418778	20.532935
0.6596	565.42072	29.434293	20.302083
0.66129997	575.27787	29.478007	20.974983
0.663	586.0168	29.40486	20.898835
0.66470003	585.23764	29.373362	20.797227
0.6664	562.95686	29.179845	19.964949
0.66809997	529.31514	28.991817	19.33412
0.6698	551.94254	29.102363	19.943989
0.67150003	549.83362	29.00578	19.842575
0.6732	556.89981	29.032104	20.05431
0.67489997	558.23134	28.984212	20.24011
0.6766	553.78015	28.852056	19.973081
0.67830003	539.09269	28.750164	19.468614
0.68	587.08185	28.997453	20.407622
0.68169997	583.76128	28.893663	20.091953
0.6834	538.0415	28.562929	19.209029
0.68510003	559.21147	28.683925	19.588085
0.6868	535.87402	28.590908	19.340162
0.68849997	548.68118	28.611918	19.615738
0.6902	552.06538	28.495108	19.537924
0.69190003	551.42615	28.520176	19.782457
0.6936	564.64722	28.644624	20.177866
0.69529997	552.10978	28.433552	19.507357
0.697	536.72442	28.318532	19.296626
0.69870003	537.14286	28.216117	18.847485
0.7004	553.34283	28.333648	19.35226
0.70209997	571.31141	28.355303	19.909706
0.7038	566.30614	28.194484	19.436165
0.70550003	566.6395	28.208395	19.3163
0.7072	571.47016	28.241975	19.506065
0.70889997	548.85378	28.028535	19.100977
0.7106	557.69218	28.050952	19.267451
0.71230003	562.23	27.970057	18.985761
0.714	564.15423	27.990407	19.394893
0.71569997	599.8094	28.147572	19.866376
0.7174	560.10445	27.912229	19.343057
0.71910003	564.10275	27.825857	19.044412
0.7208	571.50123	27.94792	19.692809
0.72249997	580.55369	27.937405	19.590163
0.7242	555.71128	27.765325	19.173649
0.72590003	551.53483	27.668559	18.872396
0.7276	576.24945	27.765081	19.163228
0.72929997	574.29415	27.735064	19.285982
0.731	554.97953	27.525505	18.86562
0.73270003	562.74409	27.645628	19.245813
0.7344	513.64548	27.402067	18.399351
0.73609997	531.10864	27.439441	18.524012
0.7378	570.6907	27.491955	19.088217
0.73950003	584.64759	27.62274	19.782418
0.7412	532.88167	27.255657	18.411996
