# HDF: fcm_201403_060  
# /archive/messung/kmc/daten/2014/1Q/pilatus_201403_0954.tif
# Energy (eV)=8800 Distance (mm)=4.5326  Normalization factor =0.00050424578  Center=(499.5,536.2)  Binsize (nm-1)=0.0017
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# Detector quantum efficiency = 95.72% Monitor sensitivity (ph/s/A) = 4.538e+16 Sample thickness (mm) =1 Direct beam(photons * sr) = 0.5268
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	935.5572	0
0.0017	0	494.79956	0
0.0034	0	362.74769	4.9779147
0.0051	51.477667	298.68191	66.890587
0.0068	105.38313	257.23127	82.586089
0.0085	207.95217	232.07436	98.531596
0.0102	179.83702	219.84703	86.834293
0.0119	77.652146	215.21483	58.497754
0.0136	81.520474	208.67972	58.083155
0.0153	76.981366	202.07389	54.699625
0.017	107.48202	197.41058	61.843015
0.0187	87.387303	189.67737	53.986244
0.0204	158.95219	184.45908	69.24078
0.0221	112.67237	170.42514	144.9974
0.0238	2084.9491	246.70903	909.77084
0.0255	17253.05	631.47215	2856.2539
0.0272	47371.224	1041.8967	3663.2578
0.0289	64380.396	1104.864	2083.5237
0.0306	57884.747	897.63213	1474.3472
0.0323	48275.99	755.35788	1194.2702
0.034	42124.718	681.66771	1026.4682
0.0357	38597.502	636.44688	911.33665
0.0374	33607.102	573.46213	857.72707
0.0391	30726.57	539.62484	794.01599
0.0408	26104.763	482.1865	672.45412
0.0425	22542.865	434.50383	547.76123
0.0442	19648.235	397.20114	551.44297
0.0459	16771.953	361.02901	500.81997
0.0476	14060.79	325.19098	434.14197
0.0493	11336.319	286.75122	401.54499
0.051	9241.3905	251.93298	353.11264
0.0527	7935.9673	231.05526	308.88311
0.0544	6424.8466	205.06776	256.15156
0.0561	4723.4338	171.31337	218.77394
0.0578	4234.4951	164.73414	199.26864
0.0595	3128.1985	139.66989	160.40024
0.0612	2727.6321	131.93325	142.13176
0.0629	2381.1126	123.66602	134.96713
0.0646	1890.6695	114.30773	125.67352
0.0663	1765.3969	111.64357	117.6478
0.068	1639.5237	106.8538	101.63012
0.0697	1905.1597	110.65802	117.50977
0.0714	2071.898	109.92187	121.69785
0.0731	2467.8934	117.95873	126.54694
0.0748	2452.4983	112.84497	120.50892
0.0765	2707.0981	117.15574	127.60197
0.0782	2971.2294	119.11588	126.73808
0.0799	3263.9569	123.63495	140.78268
0.0816	3498.4864	125.69005	139.1855
0.0833	3640.2427	125.64993	141.57009
0.085	3753.4936	125.27533	142.29666
0.0867	4176.3389	132.45577	158.42173
0.0884	4360.1471	132.09992	149.59477
0.0901	4281.6189	128.84575	151.85298
0.0918	4407.0151	130.25391	148.047
0.0935	4324.3247	127.87215	136.15387
0.0952	4210.4956	124.92353	147.51079
0.0969	4161.2932	123.60495	151.12822
0.0986	3906.9678	117.54217	133.76372
0.1003	3770.1986	116.76195	133.09669
0.102	3537.7521	112.60733	131.86137
0.1037	3301.1604	107.64852	118.83843
0.1054	2948.4973	101.96914	108.29197
0.1071	2691.6901	98.831025	108.07797
0.1088	2546.8845	95.716132	107.479
0.1105	2459.5606	93.383966	102.32415
0.1122	2105.7007	88.39598	94.892542
0.1139	1915.5291	85.9281	91.274086
0.1156	1620.8362	80.485835	81.677857
0.1173	1563.6827	79.397332	79.882721
