# HDF: fcm_201403_060  
# /messung/kmc/daten/2014/1Q/pilatus_201403_0950.tif
# Energy (eV)=8800	Distance (mm)=4532.6	Normalization (s A)=3.9191572e-16	Center=(499.5,536.2)	Binsize (nm-1)=0.0016922998
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	2.4769312e+22	0
0.0016922998	0	1.3122263e+22	5.2161782e+20
0.0033845995	3.1571328e+21	9.7055626e+21	3.2759951e+21
0.0050768995	3.5594809e+21	8.0093509e+21	2.8677776e+21
0.006769199	5.4570994e+21	6.9593157e+21	2.942487e+21
0.008461499	3.8368177e+21	6.0968019e+21	2.2263941e+21
0.010153799	4.2446864e+21	5.7834485e+21	2.4240818e+21
0.011846098	6.0383321e+21	5.9274514e+21	2.9934218e+21
0.013538398	2.3443796e+21	5.5754353e+21	1.6373826e+21
0.015230698	5.1207492e+21	5.491871e+21	2.6645242e+21
0.016922998	1.9585655e+21	5.1657844e+21	1.4580614e+21
0.018615298	1.4906264e+21	5.0066139e+21	1.1636511e+21
0.020307598	3.1147937e+21	4.9088468e+21	1.6122141e+21
0.021999898	5.2698263e+21	4.6122446e+21	4.112593e+21
0.023692196	4.2565597e+22	5.8838289e+21	1.8556451e+22
0.025384496	3.2349956e+23	1.4386372e+22	5.9205418e+22
0.027076796	8.9001712e+23	2.2602214e+22	8.2133544e+22
0.028769096	1.2948005e+24	2.5298081e+22	5.7060715e+22
0.030461396	1.1292776e+24	2.0523439e+22	3.8018576e+22
0.032153696	9.2912262e+23	1.7145415e+22	2.7800203e+22
0.033845996	8.0401505e+23	1.5496133e+22	2.1537857e+22
0.035538296	6.9911068e+23	1.3913984e+22	1.9850069e+22
0.037230596	6.3777691e+23	1.2938373e+22	1.8324496e+22
0.038922896	6.119456e+23	1.2341252e+22	1.6538677e+22
0.040615196	5.8356663e+23	1.1742496e+22	1.51071e+22
0.042307496	5.6070035e+23	1.1302929e+22	1.3400406e+22
0.043999796	5.2596582e+23	1.0701767e+22	1.40481e+22
0.045692092	4.7924772e+23	9.9213898e+21	1.3232959e+22
0.047384392	4.6390791e+23	9.6517351e+21	1.2386328e+22
0.049076692	4.4161129e+23	9.1764234e+21	1.1292009e+22
0.050768992	4.3373227e+23	8.9312866e+21	1.1608569e+22
0.052461292	4.1752735e+23	8.6581004e+21	1.0599466e+22
0.054153592	3.984737e+23	8.3155023e+21	1.0501056e+22
0.055845892	3.8089725e+23	7.9457296e+21	1.0011489e+22
0.057538192	3.7568064e+23	7.7845985e+21	9.8115172e+21
0.059230492	3.4699324e+23	7.2944469e+21	9.4161258e+21
0.060922792	3.3248638e+23	7.1527995e+21	8.7851704e+21
0.062615092	3.1355664e+23	6.8092875e+21	8.3736995e+21
0.064307392	3.08982e+23	6.6731205e+21	8.3824567e+21
0.065999692	2.8136896e+23	6.2421288e+21	7.743437e+21
0.067691992	2.6431098e+23	5.9837879e+21	6.9686931e+21
0.069384288	2.5845099e+23	5.8676213e+21	6.9272082e+21
0.071076592	2.4757287e+23	5.6734282e+21	6.6916793e+21
0.072768888	2.2019122e+23	5.246221e+21	6.0808915e+21
0.074461192	2.0015945e+23	4.9347232e+21	5.5246643e+21
0.076153488	1.9483491e+23	4.8695428e+21	5.7886508e+21
0.077845792	1.7993223e+23	4.6023763e+21	5.5314515e+21
0.079538088	1.7044342e+23	4.4489205e+21	5.1967061e+21
0.081230392	1.4727227e+23	4.07871e+21	4.8860081e+21
0.082922688	1.3543745e+23	3.9229105e+21	4.543958e+21
0.084614992	1.2937582e+23	3.781522e+21	4.2591154e+21
0.086307288	1.1787204e+23	3.5742056e+21	3.8951617e+21
0.087999592	9.7565953e+22	3.263648e+21	3.8523399e+21
0.089691888	8.8087089e+22	3.0952034e+21	3.4902558e+21
0.091384184	8.1263936e+22	2.9775397e+21	3.3831135e+21
0.093076488	7.9383173e+22	2.9189456e+21	3.2875441e+21
0.094768784	7.1719857e+22	2.7587073e+21	2.9542215e+21
0.096461088	6.275387e+22	2.6336571e+21	2.8184134e+21
0.098153384	5.4256547e+22	2.4734181e+21	2.5613391e+21
0.099845688	4.65288e+22	2.358056e+21	2.4396999e+21
0.10153798	4.1386772e+22	2.2734833e+21	2.2786864e+21
0.10323029	3.8531308e+22	2.2181394e+21	2.1159446e+21
0.10492258	3.3143415e+22	2.1260233e+21	1.9540392e+21
0.10661489	2.9425418e+22	2.0562262e+21	1.8450935e+21
0.10830718	2.7139512e+22	2.0096585e+21	1.7973863e+21
0.10999949	2.5734138e+22	1.9732118e+21	1.7060303e+21
0.11169178	2.5419967e+22	1.9632374e+21	1.6336368e+21
0.11338409	2.2728237e+22	1.9149156e+21	1.5850472e+21
0.11507638	2.5214991e+22	1.9203517e+21	1.5647703e+21
0.11676869	2.3818053e+22	1.9020571e+21	1.6232968e+21
0.11846098	2.399964e+22	1.8805099e+21	1.5560136e+21
0.12015328	2.3327115e+22	1.8573676e+21	1.4950194e+21
0.12184558	2.4381901e+22	1.8517761e+21	1.5114311e+21
0.12353788	2.9029048e+22	1.894925e+21	1.6486564e+21
0.12523018	2.8698519e+22	1.8860334e+21	1.6625853e+21
0.12692248	2.9544593e+22	1.9003701e+21	1.7720405e+21
0.12861478	3.423307e+22	1.929836e+21	1.8530534e+21
0.13030708	3.3834423e+22	1.9006122e+21	1.7918448e+21
0.13199938	3.067296e+22	1.8550141e+21	1.6618966e+21
0.13369168	3.2211276e+22	1.8397561e+21	1.5864922e+21
0.13538398	3.5460054e+22	1.8953476e+21	1.7562613e+21
0.13707629	3.2810749e+22	1.8324684e+21	1.6574662e+21
0.13876858	3.4154932e+22	1.8463414e+21	1.6401953e+21
0.14046088	3.4336713e+22	1.8593157e+21	1.7200357e+21
0.14215318	3.5695058e+22	1.8849604e+21	1.776109e+21
0.14384549	3.5941228e+22	1.9014677e+21	1.8318112e+21
0.14553778	3.4209324e+22	1.8754495e+21	1.7617979e+21
0.14723008	3.3806121e+22	1.8860742e+21	1.7735672e+21
0.14892238	3.381227e+22	1.8812855e+21	1.8060004e+21
0.15061467	3.0921503e+22	1.8441269e+21	1.6702829e+21
0.15230698	2.8689058e+22	1.8149639e+21	1.5679769e+21
0.15399928	2.7938178e+22	1.8098494e+21	1.589543e+21
0.15569158	2.6652779e+22	1.793642e+21	1.5494279e+21
0.15738387	2.5372208e+22	1.773981e+21	1.5546874e+21
0.15907618	2.5377528e+22	1.763069e+21	1.5338014e+21
0.16076848	2.6053546e+22	1.7829816e+21	1.5261859e+21
0.16246078	2.4439326e+22	1.77369e+21	1.5574931e+21
0.16415307	2.3255778e+22	1.730635e+21	1.4033203e+21
0.16584538	2.4147365e+22	1.732201e+21	1.3940425e+21
0.16753768	2.1122967e+22	1.692406e+21	1.3434735e+21
0.16922998	1.9780002e+22	1.6718264e+21	1.3370579e+21
0.17092227	1.8367977e+22	1.6288564e+21	1.2621308e+21
0.17261458	1.8188372e+22	1.6126152e+21	1.2085356e+21
0.17430688	1.7798496e+22	1.5840002e+21	1.1320262e+21
0.17599918	1.6702473e+22	1.5670009e+21	1.1195938e+21
0.17769147	1.5387372e+22	1.5469062e+21	1.1066814e+21
0.17938378	1.5418024e+22	1.5279625e+21	1.1018576e+21
0.18107608	1.712641e+22	1.5517808e+21	1.1962868e+21
0.18276837	1.5802022e+22	1.5137738e+21	1.072008e+21
0.18446067	1.7452209e+22	1.5265793e+21	1.1441128e+21
0.18615298	1.7386602e+22	1.5056991e+21	1.1299538e+21
0.18784528	1.5863784e+22	1.4917795e+21	1.0961288e+21
0.18953757	1.6677613e+22	1.485167e+21	1.0902947e+21
0.19122987	1.7954575e+22	1.5023662e+21	1.1255444e+21
0.19292218	1.6363271e+22	1.4909257e+21	1.0624058e+21
0.19461448	1.7411292e+22	1.5119084e+21	1.1025536e+21
0.19630677	1.7242948e+22	1.5164552e+21	1.1489202e+21
0.19799907	2.013196e+22	1.5448333e+21	1.2212519e+21
0.19969138	2.0088216e+22	1.5423846e+21	1.1923046e+21
0.20138368	1.8260575e+22	1.5279485e+21	1.1580714e+21
0.20307597	1.9878124e+22	1.5289411e+21	1.1614153e+21
0.20476827	2.1300043e+22	1.5507288e+21	1.2008512e+21
0.20646058	2.0444437e+22	1.5375855e+21	1.1675071e+21
0.20815286	1.8946543e+22	1.5172448e+21	1.1356112e+21
0.20984517	1.7978568e+22	1.5193498e+21	1.1868675e+21
0.21153747	1.7495837e+22	1.5161851e+21	1.1832398e+21
0.21322978	1.709653e+22	1.5114833e+21	1.1434791e+21
0.21492206	1.7965462e+22	1.5134433e+21	1.1554454e+21
0.21661437	1.829314e+22	1.5090111e+21	1.1542336e+21
0.21830667	1.8365023e+22	1.5065763e+21	1.1234234e+21
0.21999898	1.7967423e+22	1.4913776e+21	1.1067784e+21
0.22169126	1.6705773e+22	1.4527157e+21	1.0497807e+21
0.22338357	1.622419e+22	1.4354872e+21	1.0618891e+21
0.22507587	1.6499164e+22	1.4179042e+21	1.0052141e+21
0.22676818	1.5930164e+22	1.4070539e+21	9.9480374e+20
0.22846046	1.5600641e+22	1.3943788e+21	9.9275924e+20
0.23015277	1.5348122e+22	1.3882888e+21	9.9057833e+20
0.23184507	1.5330909e+22	1.3699317e+21	9.7380702e+20
0.23353738	1.527686e+22	1.3646369e+21	9.608567e+20
0.23522966	1.5356235e+22	1.3569207e+21	9.2027437e+20
0.23692197	1.399266e+22	1.3295835e+21	8.5803907e+20
0.23861427	1.4097569e+22	1.3309719e+21	8.8518053e+20
0.24030656	1.4078767e+22	1.3285804e+21	9.1411888e+20
0.24199886	1.5566258e+22	1.3394182e+21	9.8545198e+20
0.24369117	1.4527311e+22	1.3197605e+21	9.3038656e+20
0.24538347	1.4037043e+22	1.3028959e+21	8.877769e+20
0.24707576	1.6151758e+22	1.3142543e+21	9.3196434e+20
0.24876806	1.4738547e+22	1.3049757e+21	9.0736037e+20
0.25046037	1.3996786e+22	1.2871511e+21	8.6919084e+20
0.25215267	1.4794876e+22	1.28259e+21	8.7834791e+20
0.25384496	1.5571822e+22	1.2879652e+21	9.0261541e+20
0.25553726	1.6003735e+22	1.2898647e+21	9.1973197e+20
0.25722957	1.3767169e+22	1.2634618e+21	8.5250038e+20
0.25892187	1.5217616e+22	1.2727654e+21	9.0652026e+20
0.26061416	1.5534674e+22	1.2691328e+21	9.0794094e+20
0.26230646	1.5831567e+22	1.2669787e+21	8.8151704e+20
0.26399877	1.4376855e+22	1.2410075e+21	8.3409632e+20
0.26569107	1.5001072e+22	1.2438648e+21	8.5498983e+20
0.26738336	1.5998663e+22	1.25069e+21	8.9668127e+20
0.26907565	1.5982512e+22	1.2426243e+21	8.6316112e+20
0.27076797	1.4833718e+22	1.2318667e+21	8.4805908e+20
0.27246026	1.5719089e+22	1.2335864e+21	8.8340512e+20
0.27415258	1.5617133e+22	1.22473e+21	8.6308593e+20
0.27584486	1.4659531e+22	1.2128644e+21	8.1946608e+20
0.27753715	1.5778905e+22	1.2187164e+21	8.4789329e+20
0.27922947	1.5684157e+22	1.2130876e+21	8.6895133e+20
0.28092176	1.4791976e+22	1.2056028e+21	8.4142476e+20
0.28261405	1.4667791e+22	1.1966601e+21	8.1515484e+20
0.28430637	1.4462201e+22	1.1929757e+21	8.1266607e+20
0.28599866	1.4169092e+22	1.1850168e+21	8.0314559e+20
0.28769098	1.4184973e+22	1.1836206e+21	8.1365688e+20
0.28938326	1.5524199e+22	1.1881911e+21	8.2111827e+20
0.29107555	1.499467e+22	1.1774739e+21	8.1550494e+20
0.29276787	1.5918313e+22	1.1851402e+21	8.5139098e+20
0.29446016	1.533858e+22	1.1728118e+21	8.3829723e+20
0.29615245	1.4574566e+22	1.1673139e+21	7.9840555e+20
0.29784477	1.3321732e+22	1.1533216e+21	7.3838465e+20
0.29953706	1.3571889e+22	1.1514774e+21	7.5950289e+20
0.30122934	1.3599381e+22	1.1451121e+21	7.6505368e+20
0.30292166	1.4508452e+22	1.1497549e+21	7.9678012e+20
0.30461395	1.402544e+22	1.1462889e+21	7.7709848e+20
0.30630627	1.4474081e+22	1.1435816e+21	7.6753948e+20
0.30799856	1.3730622e+22	1.1355674e+21	7.709965e+20
0.30969085	1.3901303e+22	1.1329603e+21	7.6026009e+20
0.31138317	1.3642687e+22	1.1245675e+21	7.433435e+20
0.31307546	1.3783207e+22	1.1197711e+21	7.3885309e+20
0.31476774	1.379872e+22	1.1222778e+21	7.44459e+20
0.31646006	1.398604e+22	1.113115e+21	7.2817692e+20
0.31815235	1.4854377e+22	1.1217793e+21	7.7117685e+20
0.31984467	1.4055422e+22	1.115289e+21	7.6797222e+20
0.32153696	1.3961648e+22	1.1058665e+21	7.483786e+20
0.32322925	1.3583941e+22	1.1028676e+21	7.4437224e+20
0.32492157	1.4409067e+22	1.1040513e+21	7.5240649e+20
0.32661386	1.3102694e+22	1.0940246e+21	7.1910187e+20
0.32830614	1.3342867e+22	1.0949709e+21	7.2137647e+20
0.32999846	1.4101537e+22	1.0908156e+21	7.2457607e+20
0.33169075	1.3453068e+22	1.0837882e+21	7.0918477e+20
0.33338304	1.2776294e+22	1.0776001e+21	6.989352e+20
0.33507536	1.4037911e+22	1.0844772e+21	7.3372542e+20
0.33676765	1.3646316e+22	1.077628e+21	7.304045e+20
0.33845997	1.3877736e+22	1.0794223e+21	7.470623e+20
0.34015226	1.5153009e+22	1.0838725e+21	7.5124485e+20
0.34184454	1.3786285e+22	1.065644e+21	7.0483267e+20
0.34353686	1.4022554e+22	1.066505e+21	7.1186233e+20
0.34522915	1.450017e+22	1.0704696e+21	7.4058455e+20
0.34692144	1.3913863e+22	1.0610525e+21	7.2166925e+20
0.34861376	1.3652971e+22	1.0604183e+21	7.1380885e+20
0.35030605	1.2512287e+22	1.0487929e+21	6.6482456e+20
0.35199837	1.321887e+22	1.0478832e+21	6.8140786e+20
0.35369066	1.3382134e+22	1.0460629e+21	6.9578857e+20
0.35538294	1.2576723e+22	1.0393842e+21	6.7769447e+20
0.35707526	1.2751735e+22	1.0397929e+21	6.7129401e+20
0.35876755	1.3479055e+22	1.0388246e+21	6.7809275e+20
0.36045984	1.3466e+22	1.0348553e+21	6.7971891e+20
0.36215216	1.401751e+22	1.0396034e+21	7.0040221e+20
0.36384445	1.4190645e+22	1.0343924e+21	6.9152683e+20
0.36553674	1.3814127e+22	1.0271891e+21	6.7309055e+20
0.36722906	1.3366839e+22	1.0275619e+21	6.8473707e+20
0.36892134	1.3797592e+22	1.0297609e+21	6.9540289e+20
0.37061366	1.3766005e+22	1.0262733e+21	6.9442428e+20
0.37230595	1.3410639e+22	1.0173354e+21	6.7393437e+20
0.37399824	1.3911072e+22	1.0168573e+21	6.8744627e+20
0.37569056	1.3220039e+22	1.0095689e+21	6.5720841e+20
0.37738285	1.3194158e+22	1.0137691e+21	6.7766025e+20
0.37907514	1.3302945e+22	1.0109801e+21	6.7143832e+20
0.38076746	1.2419953e+22	9.994662e+20	6.3914615e+20
0.38245974	1.30256e+22	1.0024649e+21	6.5872141e+20
0.38415206	1.3418659e+22	1.0024492e+21	6.6677162e+20
0.38584435	1.4635585e+22	1.0040958e+21	6.9315934e+20
0.38753664	1.4067986e+22	1.0008941e+21	6.8667642e+20
0.38922896	1.3782249e+22	9.9742091e+20	6.7457035e+20
0.39092125	1.4181715e+22	9.9971021e+20	6.8735888e+20
0.39261354	1.259065e+22	9.8519792e+20	6.3399299e+20
0.39430586	1.3411957e+22	9.8391033e+20	6.4311926e+20
0.39599814	1.4294371e+22	9.8731478e+20	6.7050936e+20
0.39769043	1.3947257e+22	9.8603695e+20	6.6431707e+20
0.39938275	1.3970037e+22	9.8411889e+20	6.5918623e+20
0.40107504	1.3771147e+22	9.8050647e+20	6.553524e+20
0.40276736	1.378247e+22	9.7665912e+20	6.5898973e+20
0.40445965	1.3355907e+22	9.7351068e+20	6.4224054e+20
0.40615194	1.3038377e+22	9.7128105e+20	6.4006075e+20
0.40784426	1.3090762e+22	9.6535981e+20	6.2600967e+20
0.40953654	1.3321867e+22	9.6826062e+20	6.4722286e+20
0.41122883	1.3520626e+22	9.667051e+20	6.4377877e+20
0.41292115	1.3470301e+22	9.6595366e+20	6.4628912e+20
0.41461344	1.3428827e+22	9.6106517e+20	6.3654406e+20
0.41630573	1.3081746e+22	9.5528169e+20	6.2228022e+20
0.41799805	1.3062088e+22	9.5319218e+20	6.169292e+20
0.41969034	1.327025e+22	9.5366622e+20	6.174053e+20
0.42138266	1.3359937e+22	9.5216802e+20	6.2729775e+20
0.42307494	1.3121626e+22	9.4691259e+20	6.2053167e+20
0.42476723	1.3001173e+22	9.4696668e+20	6.2492229e+20
0.42645955	1.2793337e+22	9.4240333e+20	6.0220187e+20
0.42815184	1.371407e+22	9.4744815e+20	6.2671078e+20
0.42984413	1.3534126e+22	9.4311152e+20	6.2720255e+20
0.43153645	1.2952368e+22	9.3729954e+20	6.1142957e+20
0.43322874	1.3353287e+22	9.3818856e+20	6.3099952e+20
0.43492106	1.3735165e+22	9.3861066e+20	6.3075917e+20
0.43661334	1.3767108e+22	9.3718452e+20	6.2643797e+20
0.43830563	1.3855341e+22	9.3278814e+20	6.2203412e+20
0.43999795	1.3895718e+22	9.3237775e+20	6.2014262e+20
0.44169024	1.2618593e+22	9.2457741e+20	5.9280953e+20
0.44338253	1.28763e+22	9.2320535e+20	5.9043715e+20
0.44507485	1.3178242e+22	9.2198123e+20	5.9976831e+20
0.44676714	1.3268781e+22	9.241925e+20	6.0976035e+20
0.44845942	1.2178072e+22	9.1708883e+20	5.8922665e+20
0.45015174	1.2556185e+22	9.162414e+20	5.9250577e+20
0.45184403	1.2360228e+22	9.1021432e+20	5.8122028e+20
0.45353635	1.2984869e+22	9.1434844e+20	6.0330804e+20
0.45522864	1.2964401e+22	9.1174669e+20	5.926123e+20
0.45692093	1.3156778e+22	9.1252372e+20	6.0166303e+20
0.45861325	1.3203857e+22	9.0783647e+20	5.9873097e+20
0.46030554	1.2322063e+22	9.0373545e+20	5.8832068e+20
0.46199782	1.2856821e+22	9.062458e+20	5.9316656e+20
0.46369014	1.2918454e+22	9.0479163e+20	5.935167e+20
0.46538243	1.2469181e+22	8.9801319e+20	5.7598828e+20
0.46707475	1.2446739e+22	8.9500361e+20	5.7268977e+20
0.46876704	1.3605738e+22	9.0145982e+20	5.8850723e+20
0.47045933	1.3180662e+22	8.945815e+20	5.760412e+20
0.47215165	1.3212701e+22	8.9501015e+20	5.8262455e+20
0.47384394	1.301987e+22	8.9494717e+20	5.9166132e+20
0.47553622	1.3299386e+22	8.9460318e+20	5.9433127e+20
0.47722854	1.2924169e+22	8.9135964e+20	5.8919911e+20
0.47892083	1.3274252e+22	8.8867549e+20	5.780324e+20
0.48061312	1.3175191e+22	8.8374579e+20	5.6573149e+20
0.48230544	1.3473696e+22	8.8567284e+20	5.8156578e+20
0.48399773	1.312675e+22	8.8280785e+20	5.7535122e+20
0.48569005	1.3028427e+22	8.8282094e+20	5.8237025e+20
0.48738234	1.3236196e+22	8.8019947e+20	5.8461535e+20
