# HDF: fcm_201403_060  
# /messung/kmc/daten/2014/1Q/pilatus_201403_0959.tif
# Energy (eV)=8800	Distance (mm)=4532.6	Normalization (s A)=3.9155794e-16	Center=(499.5,536.2)	Binsize (nm-1)=0.0016922998
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	2.4791944e+22	0
0.0016922998	0	1.3134254e+22	0
0.0033845995	0	9.6267419e+21	0
0.0050768995	0	7.8898968e+21	3.8611583e+20
0.006769199	5.1606005e+21	6.9455281e+21	2.8408414e+21
0.008461499	5.7359919e+21	6.1593592e+21	2.6751699e+21
0.010153799	2.3658528e+21	5.7346421e+21	1.6625709e+21
0.011846098	2.0516091e+21	5.7721881e+21	1.5571465e+21
0.013538398	1.4805863e+21	5.5438402e+21	1.2661113e+21
0.015230698	5.522786e+21	5.4114435e+21	2.2916517e+21
0.016922998	6.4288421e+21	5.2799151e+21	2.3740203e+21
0.018615298	1.2751228e+21	4.9994997e+21	1.0434203e+21
0.020307598	1.3411873e+21	4.8807418e+21	1.1035878e+21
0.021999898	8.0027689e+21	4.6962764e+21	6.9041233e+21
0.023692196	1.3009053e+23	7.9131167e+21	6.4101268e+22
0.025384496	1.14773e+24	2.6630169e+22	1.8166362e+23
0.027076796	3.654135e+24	5.0669082e+22	2.0523145e+23
0.028769096	5.0311965e+24	5.0991426e+22	1.1508597e+23
0.030461396	4.8668953e+24	4.2432063e+22	7.8514102e+22
0.032153696	4.3732565e+24	3.7645431e+22	6.6109594e+22
0.033845996	3.9161569e+24	3.4732773e+22	5.6278628e+22
0.035538296	3.6078299e+24	3.2007407e+22	5.2106429e+22
0.037230596	3.2492617e+24	2.9467582e+22	4.7843337e+22
0.038922896	2.8889999e+24	2.6933955e+22	4.3188023e+22
0.040615196	2.673614e+24	2.5408481e+22	4.0390299e+22
0.042307496	2.3643718e+24	2.3424549e+22	3.5577682e+22
0.043999796	2.0859504e+24	2.1527547e+22	3.2557899e+22
0.045692092	1.8199749e+24	1.9549863e+22	3.0145726e+22
0.047384392	1.6310218e+24	1.8234225e+22	2.7143276e+22
0.049076692	1.4041586e+24	1.6473283e+22	2.6351971e+22
0.050768992	1.2290398e+24	1.520048e+22	2.376474e+22
0.052461292	1.0320153e+24	1.3659636e+22	2.2130061e+22
0.054153592	8.4594679e+23	1.2102725e+22	1.8671262e+22
0.055845892	7.2596458e+23	1.1068663e+22	1.6276606e+22
0.057538192	5.7614473e+23	9.5974103e+21	1.4255968e+22
0.059230492	4.5691999e+23	8.4538572e+21	1.212899e+22
0.060922792	3.6685117e+23	7.446924e+21	1.0245488e+22
0.062615092	3.1488618e+23	6.8495461e+21	8.945237e+21
0.064307392	2.4275211e+23	5.913031e+21	8.08801e+21
0.065999692	1.8649193e+23	5.1096104e+21	7.0297059e+21
0.067691992	1.5614422e+23	4.618799e+21	6.1588757e+21
0.069384288	1.196055e+23	4.05557e+21	4.9230766e+21
0.071076592	9.2888919e+22	3.5760152e+21	4.3646047e+21
0.072768888	8.1429352e+22	3.336385e+21	3.8221418e+21
0.074461192	6.9073544e+22	3.0865858e+21	3.3584705e+21
0.076153488	6.4823064e+22	3.0234112e+21	3.4335617e+21
0.077845792	6.5844262e+22	2.979462e+21	3.2088401e+21
0.079538088	7.0282928e+22	2.9963525e+21	3.1202449e+21
0.081230392	7.6897885e+22	3.104947e+21	3.34387e+21
0.082922688	8.2640212e+22	3.1466111e+21	3.5351808e+21
0.084614992	8.9419443e+22	3.2032718e+21	3.6206424e+21
0.086307288	1.021234e+23	3.3771569e+21	3.9324104e+21
0.087999592	1.1553361e+23	3.5433745e+21	4.1596871e+21
0.089691888	1.1828453e+23	3.5232613e+21	4.0508747e+21
0.091384184	1.2927116e+23	3.642043e+21	4.2037443e+21
