# HDF: fcm_201408_160  
# /messung/kmc/daten/2014/3Q/pilatus_201408_1418.tif
# Energy (eV)=8000	Distance (mm)=4574.8	Normalization (s A)=2.5623277e-13	Center=(506.928,560.403)	Binsize (nm-1)=0.0016922998
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv

0.025384496	6.8755606e+13	1.9687839e+12	1.1607708e+13
0.027076796	9.843061e+13	2.0509462e+12	1.0083664e+13
0.028769096	6.9902095e+13	1.4753318e+12	6.6136639e+12
0.030461396	4.0421847e+13	1.1098512e+12	2.9984176e+12
0.032153696	2.876378e+13	8.8168886e+11	1.7691962e+12
0.033845996	2.3938428e+13	7.597245e+11	1.3158003e+12
0.035538296	1.8727002e+13	6.318287e+11	9.6744356e+11
0.037230596	1.4912187e+13	5.3291288e+11	7.0224408e+11
0.038922896	1.3647046e+13	5.0187061e+11	6.8786595e+11
0.040615196	1.1592751e+13	4.4733837e+11	6.0823106e+11
0.042307496	1.0267406e+13	4.0686732e+11	5.437035e+11
0.043999796	8.2704486e+12	3.5348868e+11	4.6754332e+11
0.045692096	7.8293246e+12	3.4591195e+11	4.6703246e+11
0.047384396	7.205983e+12	3.2272503e+11	4.231682e+11
0.049076696	6.9337642e+12	3.0875965e+11	4.1310129e+11
0.050768992	6.4137539e+12	2.9226067e+11	3.9613076e+11
0.052461292	5.292645e+12	2.6545365e+11	3.2737794e+11
0.054153592	4.5671808e+12	2.4806423e+11	2.8038384e+11
0.055845892	4.3050191e+12	2.3930273e+11	2.7374472e+11
0.057538192	3.9516776e+12	2.2772054e+11	2.7274652e+11
0.059230492	3.9023393e+12	2.260944e+11	2.7857886e+11
0.060922792	4.1157866e+12	2.23522e+11	2.7622458e+11
0.062615092	4.0025751e+12	2.1870174e+11	2.752575e+11
0.064307392	3.369049e+12	2.0473823e+11	2.469444e+11
0.065999692	3.1100243e+12	1.9744206e+11	2.4259538e+11
0.067691992	3.0888281e+12	1.9509758e+11	2.2903019e+11
0.069384288	2.867898e+12	1.8825169e+11	1.865562e+11
0.071076592	2.6506527e+12	1.8041117e+11	1.7229732e+11
0.072768888	2.5434711e+12	1.7755471e+11	1.7643391e+11
0.074461192	2.5641347e+12	1.7534118e+11	1.7231512e+11
0.076153488	2.5385989e+12	1.7362447e+11	1.7263163e+11
0.077845792	2.1457201e+12	1.6256911e+11	1.4901714e+11
0.079538088	2.3650613e+12	1.6399434e+11	1.5118607e+11
0.081230392	2.4561992e+12	1.648057e+11	1.5960492e+11
0.082922688	2.140036e+12	1.5667514e+11	1.4246038e+11
0.084614992	2.0481773e+12	1.5504247e+11	1.3996115e+11
0.086307288	2.1737156e+12	1.5660311e+11	1.5038997e+11
0.087999592	1.9690879e+12	1.5152536e+11	1.3567569e+11
0.089691888	1.9602163e+12	1.5172047e+11	1.3291991e+11
0.091384192	2.0855357e+12	1.5590334e+11	1.4094878e+11
0.093076488	1.8981699e+12	1.5231383e+11	1.3759998e+11
0.094768792	1.8749549e+12	1.5140976e+11	1.3370465e+11
0.096461088	1.8108623e+12	1.5193818e+11	1.3845716e+11
0.098153392	1.8236206e+12	1.5177192e+11	1.3510881e+11
0.099845688	1.7577764e+12	1.4829791e+11	1.2395092e+11
0.10153798	1.7473525e+12	1.4854395e+11	1.2507021e+11
0.10323029	1.6953729e+12	1.4771117e+11	1.2435756e+11
0.10492258	1.7313991e+12	1.4669748e+11	1.2221786e+11
0.10661489	1.7171447e+12	1.4655738e+11	1.2193177e+11
0.10830718	1.5930946e+12	1.4561449e+11	1.1918489e+11
0.10999949	1.496907e+12	1.4321466e+11	1.1232868e+11
0.11169178	1.5174188e+12	1.4282184e+11	1.1302642e+11
0.11338409	1.5797928e+12	1.4297396e+11	1.1432412e+11
0.11507638	1.4924555e+12	1.3839521e+11	1.0628549e+11
0.11676869	1.480041e+12	1.3601979e+11	1.0870709e+11
0.11846098	1.4501746e+12	1.340317e+11	1.0710141e+11
0.12015329	1.5579617e+12	1.3349714e+11	1.0499761e+11
0.12184558	1.5436945e+12	1.3083995e+11	1.019652e+11
0.12353789	1.4012749e+12	1.2882452e+11	1.0046455e+11
0.12523018	1.3219063e+12	1.2600398e+11	9.4176286e+10
0.12692249	1.4837952e+12	1.2771125e+11	1.0114012e+11
0.12861478	1.4077354e+12	1.2505507e+11	9.6654806e+10
0.13030709	1.2865715e+12	1.2244462e+11	9.0097891e+10
0.13199938	1.1683421e+12	1.1955733e+11	8.175188e+10
0.13369169	1.316215e+12	1.2113671e+11	8.8749776e+10
0.13538398	1.278508e+12	1.1943763e+11	8.9695641e+10
0.13707629	1.4852624e+12	1.2125602e+11	9.6524569e+10
0.13876858	1.3939461e+12	1.1867259e+11	8.9588179e+10
0.14046088	1.267215e+12	1.1621776e+11	8.6332572e+10
0.14215318	1.5060541e+12	1.1846447e+11	9.6027142e+10
0.14384549	1.3449749e+12	1.1596684e+11	9.0395607e+10
0.14553778	1.3361224e+12	1.1467079e+11	8.5831903e+10
0.14723008	1.3043238e+12	1.1338014e+11	8.4093024e+10
0.14892238	1.2131227e+12	1.1161507e+11	7.790534e+10
0.15061469	1.3150157e+12	1.1278697e+11	8.5091156e+10
0.15230698	1.2488535e+12	1.1053493e+11	8.0835615e+10
0.15399928	1.1991043e+12	1.096023e+11	7.9244703e+10
0.15569158	1.3095537e+12	1.0988149e+11	8.1640935e+10
0.15738389	1.2189901e+12	1.0816061e+11	7.7067505e+10
0.15907618	1.1535825e+12	1.0780705e+11	7.9681976e+10
0.16076848	1.2881805e+12	1.0826791e+11	8.2781634e+10
0.16246078	1.2353635e+12	1.0609519e+11	7.6885982e+10
0.16415309	1.4485612e+12	1.0816249e+11	8.4260459e+10
0.16584538	1.3516579e+12	1.06612e+11	8.2060827e+10
0.16753768	1.4006209e+12	1.0607986e+11	8.0422963e+10
0.16922998	1.275213e+12	1.0455036e+11	7.9431017e+10
0.17092227	1.1035529e+12	1.0194241e+11	7.0845939e+10
0.17261458	1.2126857e+12	1.0284198e+11	7.2533082e+10
0.17430688	1.2289527e+12	1.0225034e+11	7.2871404e+10
