#Diameter(nm)	Abs	Normalised Abs		volume	Normalised			Nb	normalised
2000	0	0		0	0			0	0
2047.553	0.000179	0.0034782271		0.366511987	0.0484370447			4.26955612383987E-011	1.78405874307179E-005
2025.527	0.00018	0.0034976585		0.36459486	0.0481836834			4.3872909049667E-011	1.83325490293958E-005
2000.361	0.00018	0.0034976585		0.36006498	0.047585029			4.49837593972755E-011	1.87967242779256E-005
1976.112	0.000181	0.0035170899		0.357676272	0.047269345			4.6350611058847E-011	1.93678711575024E-005
1952.717	0.000182	0.0035365214		0.355394494	0.0469677926			4.7730147190829E-011	1.99443183164713E-005
1930.136	0.000185	0.0035948157		0.35707516	0.047189904			4.96587640518497E-011	2.07502020367315E-005
1908.322	0.000188	0.00365311		0.358764536	0.0474131665			5.16243427027535E-011	2.15715304548684E-005
1887.23	0.00019	0.0036919729		0.3585737	0.0473879462			5.33462551380329E-011	0.000022291
1866.826	0.000191	0.0037114043		0.356563766	0.0471223198			5.48056945061119E-011	2.29008767229446E-005
1847.062	0.000193	0.0037502672		0.356482966	0.0471116415			5.65710659215752E-011	2.36385473887406E-005
1827.922	0.000194	0.0037696986		0.354616868	0.046865024			5.80612538420076E-011	2.42612310380836E-005
1809.361	0.000196	0.0038085615		0.354634756	0.0468673881			5.98694986358417E-011	2.50168165932285E-005
1791.356	0.000197	0.0038279929		0.352897132	0.0466377493			6.13906767286872E-011	2.56524496655184E-005
1773.87	0.0002	0.0038862872		0.354774	0.0468857901			6.35603701693148E-011	2.65590686301746E-005
1756.895	0.000204	0.003964013		0.35840658	0.0473658602			6.60904263767673E-011	2.7616267263111E-005
1740.398	0.000206	0.0040028759		0.358521988	0.0473811121			6.80095763124043E-011	2.84181951737949E-005
1724.353	0.000209	0.0040611702		0.360389777	0.0476279531			7.02900629413793E-011	2.93711097135907E-005
1708.743	0.000211	0.004100033		0.360544773	0.0476484369			7.22651583041445E-011	3.01964147448717E-005
1693.554	0.000213	0.0041388959		0.360727002	0.0476725197			7.42645417449701E-011	3.10318686901755E-005
1678.766	0.000215	0.0041777588		0.36093469	0.0476999671			7.62883338906578E-011	3.18775219541094E-005
1664.352	0.000217	0.0042166217		0.361164384	0.0477303227			7.83374389759547E-011	3.27337523763972E-005
1650.301	0.00022	0.004274916		0.36306622	0.0479816632			8.07786061678131E-011	3.37538082195835E-005
1636.603	0.000224	0.0043526417		0.366599072	0.0484485536			8.36298528201578E-011	3.49452181393095E-005
1623.242	0.000228	0.0044303674		0.370099176	0.048911116			8.65303189775108E-011	3.6157194714138E-005
1610.204	0.000231	0.0044886618		0.371957124	0.0491566565			8.90943528389169E-011	3.72285911064777E-005
1597.474	0.000234	0.0045469561		0.373808916	0.0494013833			9.16955501528905E-011	3.83155164626142E-005
1585.041	0.000238	0.0046246818		0.377239758	0.0498547924			9.47318363379025E-011	3.95842462222705E-005
1572.895	0.00024	0.0046635447		0.3774948	0.0498884979			9.70089442006355E-011	4.05357489250322E-005
1561.028	0.000241	0.0046829761		0.376207748	0.0497184053			9.8899855376428E-011	4.13258771064392E-005
1549.418	0.000241	0.0046829761		0.373409738	0.0493486293			1.00387548475041E-010	4.19475182800425E-005
1538.066	0.000243	0.004721839		0.373750038	0.0493936022			1.02720311994573E-010	4.29222770211915E-005
1526.957	0.000245	0.0047607019		0.374104465	0.0494404421			1.05078162548123E-010	4.39075185247356E-005
1516.088	0.000247	0.0047995647		0.374473736	0.0494892438			1.07460320797541E-010	4.49029171397167E-005
1505.447	0.000249	0.0048384276		0.374856303	0.0495398026			1.09867288399468E-010	4.59086824862666E-005
1495.028	0.00025	0.004857859		0.373757	0.0493945223			1.11851382295313E-010	4.67377476066884E-005
1484.824	0.000251	0.0048772905		0.372690824	0.0492536199			1.13847569692475E-010	4.75718660666449E-005
1474.819	0.000252	0.0048967219		0.371654388	0.0491166479			1.15857217197598E-010	4.84116089106348E-005
1465.03	0.000252	0.0048967219		0.36918756	0.0487906398			1.17410653355497E-010	4.9060721202151E-005
1455.416	0.000253	0.0049161534		0.368220248	0.048662803			1.19439019959782E-010	4.9908285930092E-005
1445.994	0.000254	0.0049355848		0.367282476	0.04853887			1.21478867585755E-010	5.07606480694092E-005
1436.76	0.000254	0.0049355848		0.36493704	0.0482289048			1.23045365176751E-010	5.14152181563587E-005
1427.687	0.000254	0.0049355848		0.362632498	0.0479243439			1.24614249601107E-010	5.2070785595445E-005
1418.792	0.000255	0.0049550162		0.36179196	0.0478132611			1.26678443469693E-010	5.29333209531798E-005
1410.062	0.000254	0.0049355848		0.358155748	0.047332711			1.27748938124134E-010	5.33806333416982E-005
1401.487	0.000253	0.0049161534		0.354576211	0.0468596509			1.28807862636314E-010	5.38231110792921E-005
1393.075	0.000252	0.0048967219		0.3510549	0.0463942858			1.29852867306976E-010	5.42597723305251E-005
1384.804	0.000252	0.0048967219		0.348970608	0.0461188325			1.31408640451918E-010	5.49098611456064E-005
1376.683	0.000252	0.0048967219		0.346924116	0.0458483747			1.32963562195275E-010	5.55595941976068E-005
1368.701	0.000253	0.0049161534		0.346281353	0.0457634292			1.35052725171554E-010	5.64325630415391E-005
1360.852	0.000252	0.0048967219		0.342934704	0.0453211468			1.36075127205736E-010	5.68597796502707E-005
1353.138	0.00025	0.004857859		0.3382845	0.0447065908			1.36538720184679E-010	5.70534946602906E-005
1345.563	0.00025	0.004857859		0.33639075	0.0444563189			1.38080367965026E-010	5.76976811100033E-005
1338.105	0.000248	0.0048189962		0.33185004	0.0438562333			1.38506863206657E-010	5.7875894615726E-005
1330.773	0.000247	0.0047995647		0.328700931	0.0434400572			1.39472630351056E-010	5.82794460078992E-005
1323.566	0.000244	0.0047412704		0.322950104	0.0426800464			1.3928316327975E-010	5.82002760953172E-005
1316.468	0.000243	0.004721839		0.319901724	0.0422771823			1.40212153507321E-010	5.85884600398898E-005
1309.485	0.00024	0.0046635447		0.3142764	0.0415337576			1.39962014815667E-010	5.84839381395137E-005
1302.605	0.000238	0.0046246818		0.31001999	0.0409712442			1.40265697387612E-010	5.86108336602384E-005
1295.84	0.000236	0.0045858189		0.30581824	0.0404159544			1.40543006495385E-010	5.8726708876281E-005
1289.174	0.000235	0.0045663875		0.30295589	0.0400376754			1.41398494700611E-010	5.9084179575309E-005
1282.613	0.000235	0.0045663875		0.301414055	0.0398339115			1.42848797033929E-010	5.96901968011759E-005
1276.156	0.000235	0.0045663875		0.29989666	0.0396333775			1.44298005695159E-010	6.02957570298296E-005
1269.793	0.000234	0.0045469561		0.297131562	0.039267951			1.45127595615755E-010	6.06424059806982E-005
1263.517	0.000232	0.0045080932		0.293135944	0.038739903			1.45320139423476E-010	6.07228615254025E-005
1257.34	0.00023	0.0044692303		0.2891882	0.0382181818			1.45486391392841E-010	6.07923308732446E-005
1251.251	0.000228	0.0044303674		0.285285228	0.0377023776			1.45628364404345E-010	6.08516551179924E-005
1245.255	0.000228	0.0044303674		0.28391814	0.0375217077			1.47034164672341E-010	6.14390768982392E-005
1239.331	0.000227	0.004410936		0.281328137	0.0371794212			1.47792103726036E-010	6.17557861195819E-005
1233.5	0.000227	0.004410936		0.2800045	0.0370044936			1.49192691726986E-010	0.000062341
1227.753	0.000227	0.004410936		0.278699931	0.036832086			1.5059267548489E-010	0.000062926
1222.084	0.000227	0.004410936		0.277413068	0.0366620183			1.51993053807288E-010	6.35111774305939E-005
1216.491	0.000227	0.004410936		0.276143457	0.0364942306			1.53393888461352E-010	6.40965243003134E-005
1210.968	0.000225	0.0043720731		0.2724678	0.0360084676			1.53432437360604E-010	6.41126321810276E-005
1205.528	0.000224	0.0043526417		0.270038272	0.035687389			1.54132213200015E-010	0.000064405
1200.158	0.000223	0.0043332103		0.267635234	0.0353698112			1.54820339071173E-010	6.46925749454381E-005
1194.854	0.000225	0.0043720731		0.26884215	0.0355293134			1.57598773940795E-010	6.58535600402413E-005
1189.63	0.000226	0.0043915046		0.26885638	0.0355311939			1.59692538229826E-010	6.67284515693444E-005
1184.467	0.000225	0.0043720731		0.266505075	0.035220453			1.60374969612847E-010	6.70136094733773E-005
1179.378	0.000224	0.0043526417		0.264180672	0.0349132674			1.61043045103268E-010	6.72927686845803E-005
1174.348	0.000223	0.0043332103		0.261879604	0.0346091657			1.61700453559391E-010	6.75674706137495E-005
1169.378	0.000222	0.0043137788		0.259601916	0.0343081538			1.62346577096018E-010	6.78374570739782E-005
1164.477	0.000222	0.0043137788		0.258513894	0.0341643643			1.63716007226636E-010	6.84096813817729E-005
1159.63	0.000222	0.0043137788		0.25743786	0.0340221591			1.65087461709764E-010	6.89827515769831E-005
1154.849	0.000223	0.0043332103		0.257531327	0.0340345114			1.67207001114351E-010	6.9868413387335E-005
1150.126	0.000224	0.0043526417		0.257628224	0.034047317			1.69339072097149E-010	7.07593115901882E-005
1145.462	0.000223	0.0043332103		0.255438026	0.0337578675			1.69958735173386E-010	7.10182413938622E-005
1140.854	0.000224	0.0043526417		0.255551296	0.0337728369			1.72102777564204E-010	7.19141419188598E-005
1136.296	0.000223	0.0043332103		0.253394008	0.0334877366			1.72711758995937E-010	7.21686083355406E-005
1131.795	0.000223	0.0043332103		0.252390285	0.0333550878			1.74088194459255E-010	7.27437598621582E-005
1127.351	0.000222	0.0043137788		0.250271922	0.0330751318			1.74676574119126E-010	7.29896177092016E-005
1122.948	0.000223	0.0043332103		0.250417404	0.0330943582			1.76842062358384E-010	7.38944795061214E-005
1118.608	0.000224	0.0043526417		0.250568192	0.0331142859			1.7901613501047E-010	7.4802928349637E-005
1114.31	0.000224	0.0043526417		0.24960544	0.0329870517			1.80399762896372E-010	7.53810852716688E-005
1110.075	0.000223	0.0043332103		0.247546725	0.0327149785			1.80967346740383E-010	7.56182534666673E-005
1105.877	0.000221	0.0042943474		0.244398817	0.0322989611			1.80708517176228E-010	7.55101000349044E-005
1101.723	0.000221	0.0042943474		0.243480783	0.0321776367			1.82073793842404E-010	7.60805887935375E-005
1097.62	0.000221	0.0042943474		0.24257402	0.0320578018			1.8343755369211E-010	7.66504437416273E-005
