#Diameter(nm)	Absorption	normalised		volume	Normalised			Nb	normalised
2000	0	0		0	0			0	0
2016.234	0.000061	0.0006600374		0.122990274	0.0090504657			1.5005413475631E-011	3.49915732762499E-006
2007.008	0.000061	0.0006600374		0.122427488	0.009009052			1.51436871063263E-011	3.53140176986248E-006
1989.164	0.00006	0.0006492172		0.11934984	0.0087825776			1.5163870570264E-011	3.53610841229184E-006
1971.793	0.000059	0.0006383969		0.116335787	0.008560783			1.51750234418532E-011	3.53870918383397E-006
1954.865	0.000059	0.0006383969		0.115337035	0.008487288			1.54389751981431E-011	3.60026088473588E-006
1938.363	0.000059	0.0006383969		0.114363417	0.0084156425			1.57029695698454E-011	3.66182252325345E-006
1922.279	0.000058	0.0006275766		0.111492182	0.0082043574			1.5696222651165E-011	3.66024918907126E-006
1906.581	0.000059	0.0006383969		0.112488279	0.008277657			1.62308584451032E-011	3.78492251173628E-006
1891.266	0.000058	0.0006275766		0.109693428	0.0080719928			1.62152169353109E-011	3.78127502120271E-006
1876.316	0.000057	0.0006167563		0.106950012	0.0078701135			1.61905980753674E-011	3.77553407548942E-006
1861.716	0.000056	0.000605936		0.104256096	0.0076718767			1.61570163562534E-011	3.76770305379162E-006
1847.44	0.000056	0.000605936		0.10345664	0.0076130473			1.64076862160485E-011	3.82615750945465E-006
1833.497	0.000056	0.000605936		0.102675832	0.0075555901			1.6658182649241E-011	3.8845715232486E-006
1819.867	0.000056	0.000605936		0.101912552	0.0074994227			1.6908641925079E-011	0.000003943
1806.537	0.000057	0.0006167563		0.102972609	0.007577429			1.74655044592832E-011	4.07283331503117E-006
1793.491	0.000057	0.0006167563		0.102228987	0.0075227082			1.77205196101927E-011	4.13230106214853E-006
1780.717	0.000057	0.0006167563		0.101500869	0.0074691283			1.79756683202897E-011	4.191799954333E-006
1768.227	0.000057	0.0006167563		0.100788939	0.0074167396			1.82305100800983E-011	4.25122726786003E-006
1755.986	0.000055	0.0005951157		0.09657923	0.0071069604			1.78369498535624E-011	4.15945177944839E-006
1743.996	0.000055	0.0005951157		0.09591978	0.0070584335			1.80830515550189E-011	4.21684097258132E-006
1732.252	0.000053	0.0005734752		0.091809356	0.0067559604			1.76625631145234E-011	4.11878601327409E-006
1720.738	0.000054	0.0005842954		0.092919852	0.0068376783			1.82374561494062E-011	4.25284704257378E-006
1709.456	0.000053	0.0005734752		0.090601168	0.0066670537			1.81367729338887E-011	4.22936842188005E-006
