# HDF: fcm_2015051_662  
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0852.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0858.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0864.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0870.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0876.tif
# Energy (eV)=8000	Distance (mm)=2230.9	Normalization (s A)=9.3420844	Center=(470.984,570.125)	Binsize (nm-1)=0.01
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	0.006936199	0.01791488	0.0071306046
0.01	0.0096723789	0.008862175	0.0035100204
0.02	0.013662626	0.0063864102	0.003037095
0.03	0.008890079	0.0051590773	0.0036878211
0.04	0.14419391	0.0065646694	0.027403996
0.05	0.84535758	0.015687175	0.11882069
0.06	2.144196	0.031670704	0.45725785
0.07	20.063441	0.10976928	0.79003532
0.08	23.040663	0.071206714	0.17923242
0.09	17.934957	0.050071054	0.074246817
0.1	14.273808	0.041704576	0.055665489
0.11	12.24685	0.036374813	0.047860397
0.12	10.841879	0.032499793	0.040586926
0.13	9.5476568	0.029145776	0.034878234
0.14	8.1952498	0.02596331	0.033398617
0.15	6.8078187	0.023002379	0.030353764
0.16	5.6456193	0.020839309	0.025647434
0.17	4.6301423	0.018675958	0.022437759
0.18	3.9290533	0.017012715	0.020244396
0.19	3.4496581	0.015722236	0.018769452
0.2	3.1805752	0.014792344	0.017712992
0.21	2.9927396	0.013723621	0.015691947
0.22	2.7982859	0.012738828	0.014741696
0.23	2.6120675	0.011873047	0.014069871
0.24	2.4624661	0.011184893	0.013376836
0.25	2.3144525	0.010520944	0.012309646
0.26	2.2319493	0.01005607	0.011717265
0.27	2.1931775	0.0097632317	0.011428319
0.28	2.1652858	0.009479337	0.011004572
0.29	2.1648448	0.0092852257	0.010870265
0.3	2.1811805	0.0091340031	0.010597313
0.31	2.189004	0.0089441737	0.010524913
0.32	2.2317	0.0088855713	0.010736514
0.33	2.2719067	0.0088264689	0.010583599
0.34	2.3037356	0.008722074	0.010305617
0.35	2.3536486	0.0086645801	0.010224146
0.36	2.3862433	0.0085871146	0.010177227
0.37	2.4159956	0.0085137563	0.0099350513
0.38	2.4590839	0.0084748424	0.0099578583
0.39	2.4877524	0.0084075757	0.0096896206
0.4	2.5068976	0.0082990304	0.0096858053
0.41	2.5483416	0.0082526246	0.0095313766
0.42	2.591739	0.0082305881	0.0095257277
0.43	2.628542	0.0081986423	0.0094067898
0.44	2.6522823	0.0081233388	0.009412225
0.45	2.6753586	0.0080562037	0.0092945847
0.46	2.6935797	0.0080893577	0.0094075204
0.47	2.7046135	0.0081841376	0.0094097798
0.48	2.7290934	0.0082639432	0.0092079755
0.49	2.7473345	0.0082997785	0.0095587047
0.5	2.7499607	0.0082663373	0.0095971001
0.51	2.7866583	0.0082413787	0.0092858494
0.52	2.7865675	0.0080481997	0.0091111037
0.53	2.7945976	0.0079129476	0.0091734832
0.54	2.793704	0.0077890196	0.0090280411
0.55	2.7803239	0.0076497336	0.0087941139
0.56	2.7819594	0.0075566524	0.0087636651
0.57	2.7896269	0.0074850272	0.0086361833
0.58	2.7790113	0.007389358	0.0085383082
0.59	2.7694293	0.0072974332	0.0085154446
0.6	2.7777487	0.0072336884	0.00828768
0.61	2.7639219	0.0071404222	0.0082477852
0.62	2.7615409	0.0070767387	0.0081986271
0.63	2.7554571	0.0070014337	0.0081512834
0.64	2.7467287	0.006925556	0.0078877967
0.65	2.7464523	0.0068640633	0.0078823911
0.66	2.7286618	0.0067711855	0.0078115546
0.67	2.7237172	0.0067147444	0.0077391988
0.68	2.7345612	0.006682397	0.0076939438
0.69	2.7430066	0.0066344038	0.0075526089
0.7	2.7657694	0.0065949337	0.0076281852
0.71	2.7963865	0.0065826988	0.007526588
0.72	2.8152644	0.0065605997	0.007672192
0.73	2.8470319	0.0065493896	0.0076179465
0.74	2.8767511	0.0065337006	0.0075084155
0.75	2.9184243	0.0065334992	0.007537176
0.76	2.9458603	0.006506928	0.0075774855
0.77	2.9918208	0.0065174191	0.0075116471
0.78	3.0413208	0.0065331934	0.0076088778
0.79	3.072718	0.0065157634	0.0075947248
0.8	3.1165856	0.0065139949	0.0075193624
0.81	3.157873	0.0065371611	0.007589911
0.82	3.176062	0.0066045487	0.0075631156
0.83	3.191012	0.0066725639	0.007553566
0.84	3.211098	0.0067138296	0.0077537537
0.85	3.2312581	0.0067401329	0.0076736275
0.86	3.2376934	0.0067432098	0.0076799009
0.87	3.2213098	0.0066519558	0.00769026
0.88	3.2138763	0.0065401319	0.0075962784
0.89	3.2013978	0.0064507437	0.0074835964
0.9	3.1752049	0.0063593333	0.0073646107
0.91	3.1486748	0.0062755226	0.0072406077
0.92	3.1166794	0.006199172	0.0071536564
0.93	3.0862729	0.0061341407	0.0070722989
0.94	3.0488115	0.0060571441	0.0068948344
0.95	3.012761	0.0059767137	0.0068387314
0.96	2.9748859	0.0058961609	0.0068416001
0.99	2.8526959	0.0056723955	0.0065011359
1	2.8243052	0.0056095415	0.0065215495
1.01	2.7926372	0.0055444655	0.0063830586
1.02	2.766533	0.0054876392	0.0062948806
1.03	2.7529583	0.0054452326	0.0063018331
1.04	2.7301087	0.0053906757	0.0061621196
1.05	2.7118733	0.0053412763	0.0061473669
1.06	2.6863724	0.0052840604	0.0061286433
1.07	2.6812353	0.0052586197	0.0060639634
1.08	2.678279	0.0052275384	0.0059959629
1.09	2.6710792	0.0051960595	0.0059594141
1.1	2.6639552	0.0051548719	0.0058906408
1.11	2.6687505	0.0051292358	0.0059145811
1.12	2.6752612	0.0051505645	0.0060179679
1.13	2.6718183	0.0051926971	0.0059502629
1.14	2.6779888	0.0052255852	0.0060518633
1.15	2.6832606	0.0052474224	0.0060964308
1.16	2.6800338	0.0052539569	0.0061651151
1.17	2.6713434	0.0052338105	0.0060541398
1.18	2.6679015	0.0051665749	0.0059272925
1.19	2.6657903	0.0050977976	0.0058877466
1.2	2.6765627	0.0050645283	0.0058587102
1.21	2.6762461	0.005026203	0.0057608044
1.22	2.6596256	0.0049803755	0.0056773545
1.23	2.6501439	0.0049432963	0.0056953269
1.24	2.6377595	0.0049012219	0.0056602783
1.25	2.6304666	0.0048668584	0.0055694026
1.26	2.6180855	0.0048334878	0.0055082346
1.27	2.596935	0.0047887939	0.0054772981
1.28	2.5894184	0.0047594285	0.0054744381
1.29	2.5792764	0.0047242351	0.0053514125
1.3	2.561354	0.0046766334	0.0053675641
1.31	2.5451506	0.0046425842	0.0053238288
1.32	2.5290155	0.0046115431	0.0052622205
1.33	2.5150186	0.004578362	0.0052467357
1.34	2.4935581	0.0045349357	0.0052293858
1.35	2.4880848	0.0045115131	0.0050980819
1.36	2.4637479	0.0044705361	0.0050692788
1.37	2.4369127	0.0044300001	0.0050827379
1.38	2.4210514	0.0043956513	0.0050826035
1.39	2.4037108	0.0043620478	0.0049713171
1.4	2.3871696	0.0043267795	0.0049061479
1.41	2.3714405	0.0042937128	0.0049121688
1.42	2.3548544	0.0042645316	0.0049167366
1.43	2.3312059	0.0042246141	0.0048358832
1.44	2.3202474	0.0042001778	0.0048168569
1.45	2.2968868	0.0041567101	0.0047474951
1.46	2.2863726	0.0041342206	0.0047616755
1.47	2.2717611	0.0041258338	0.0047115114
1.48	2.2526399	0.0041785265	0.0047902765
1.49	2.2380356	0.0042407238	0.0048555542
1.5	2.217392	0.0042634382	0.0048835714
1.51	2.2165255	0.0043059381	0.0049091314
1.52	2.1982366	0.0043191528	0.0049134728
1.53	2.1761026	0.0043280572	0.0049597549
1.54	2.164216	0.0043388645	0.0049908454
1.55	2.1506844	0.004336694	0.0049961601
1.56	2.1458542	0.0043536032	0.004990605
1.57	2.1218907	0.0043398355	0.0049876362
1.58	2.1198819	0.0043575717	0.0050156569
1.59	2.111	0.0043861452	0.0051074975
1.6	2.1040383	0.0044595282	0.0051505059
1.61	2.0873405	0.0045045124	0.0052267771
1.62	2.0854068	0.004562092	0.0052384506
1.63	2.0663416	0.004588668	0.005229387
1.64	2.059414	0.0046327415	0.0053105161
1.65	2.0449894	0.0046559129	0.005405926
1.66	2.0312136	0.004675686	0.0054222642
1.67	2.0231692	0.0046998774	0.0054583256
1.68	2.0081678	0.0047143298	0.0053789544
1.69	2.0029183	0.0047419507	0.0054710981
1.7	1.9893728	0.004748941	0.0054586853
1.71	1.9777604	0.0047914301	0.0055136965
1.72	1.9808421	0.0049047418	0.0056536021
1.73	1.9659117	0.0049908729	0.0057514266
1.74	1.9549616	0.0050848019	0.0058066599
1.75	1.954315	0.0051765623	0.0059976524
