# HDF: fcm_201510_517  
# /messung/kmc/daten/2015/4Q/pilatus_201510_6690.tif
# Energy (eV)=8000	Distance (mm)=4541.2	Normalization (s A)=0.60031883	Center=(465.691,543.077)	Binsize (nm-1)=0.005
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0.025	1448.379	16.293373	81.584919
0.03	1469.6436	4.4737988	13.576772
0.035	1365.5083	2.2522804	6.296849
0.04	1199.9172	1.726791	4.5783101
0.045	1011.3791	1.4533015	3.6747892
0.05	858.0554	1.2316177	2.4536166
0.055	720.26388	1.0646201	1.6637119
0.06	611.54409	0.94202479	1.5399032
0.065	514.49894	0.82600302	1.3220692
0.07	425.88339	0.71427909	1.0529666
0.075	354.87208	0.62690359	0.86029919
0.08	295.24653	0.55051354	0.73585519
0.085	247.99589	0.48785835	0.61788354
0.09	209.14488	0.43488793	0.54494803
0.095	179.13367	0.39099386	0.48914056
0.1	155.36557	0.35414958	0.44153717
0.105	136.26241	0.32356667	0.39754118
0.11	121.53545	0.29845134	0.34580042
0.115	109.19574	0.27858127	0.32113338
0.12	98.226727	0.26510027	0.31831039
0.125	89.056401	0.25241773	0.29556414
0.13	80.986647	0.2395971	0.28087133
0.135	73.831013	0.22706128	0.26488673
0.14	67.686607	0.21475094	0.24984318
0.145	61.834939	0.19885028	0.2309789
0.15	56.666558	0.18431155	0.2154619
0.155	51.593277	0.17124517	0.19483628
0.16	46.989115	0.15990987	0.1847758
0.165	43.059353	0.15017643	0.17501941
0.17	39.083277	0.14032126	0.16183611
0.175	35.260756	0.13080853	0.15173331
0.18	32.257369	0.12341806	0.14543761
0.185	29.187889	0.11717193	0.1393335
0.19	26.4479	0.11256432	0.13227781
0.195	23.899061	0.10708546	0.12523214
0.2	22.035815	0.10272879	0.11715983
0.205	20.03744	0.097417357	0.11411107
0.21	18.228825	0.091321098	0.10762536
0.215	16.759048	0.085138966	0.10074227
0.22	15.29197	0.079376378	0.093692189
0.225	14.121731	0.074935113	0.088407954
0.23	13.096778	0.071013299	0.082202465
0.235	12.282832	0.067774992	0.079321677
0.24	11.33984	0.064095894	0.07607709
0.245	10.580797	0.061273264	0.070962612
0.25	9.8896833	0.058386264	0.066871003
0.255	9.4306877	0.056373907	0.065683173
0.26	8.9324359	0.054277602	0.062920563
0.265	8.2837496	0.051625527	0.059881099
0.27	7.8576645	0.049789978	0.057123776
0.275	7.3938197	0.047741951	0.055216329
0.28	6.9162079	0.045650887	0.05302472
0.285	6.6267797	0.044389931	0.051705743
0.29	6.2908464	0.042831083	0.048805925
0.295	5.9934553	0.041370052	0.047599169
0.3	5.8404234	0.040538721	0.046420443
0.305	5.5275072	0.039009566	0.044993812
0.31	5.3333008	0.038083038	0.044021078
0.315	5.1797784	0.037164258	0.042770942
0.32	5.0692145	0.036530064	0.041890562
0.325	4.9076081	0.035567656	0.040912864
0.33	4.8048475	0.034936297	0.040250006
0.335	4.7212181	0.034374527	0.039553905
0.34	4.6445163	0.033892383	0.038309689
0.345	4.5559714	0.033247831	0.037836195
0.35	4.544309	0.033008434	0.038015044
0.355	4.5191346	0.032679526	0.0370974
0.36	4.4439484	0.032103685	0.036414073
0.365	4.4275642	0.031854375	0.036396965
0.37	4.3779173	0.031466087	0.035456248
0.375	4.3138259	0.030983396	0.035122059
0.38	4.363476	0.030947417	0.035235223
0.385	4.3941565	0.030827684	0.035005386
0.39	4.377096	0.030568523	0.034840899
0.395	4.3980903	0.030478335	0.03509357
0.4	4.4274443	0.030328432	0.034616691
0.405	4.4299038	0.030146244	0.034283572
0.41	4.4374541	0.029955579	0.034539178
0.415	4.4531873	0.029754185	0.034254493
0.42	4.498989	0.029757487	0.033961925
0.425	4.5348913	0.029722332	0.034208144
0.43	4.5475629	0.029563611	0.033757534
0.435	4.5563002	0.029366427	0.033739432
0.44	4.6247333	0.029523411	0.033720338
0.445	4.671877	0.029947943	0.034353952
0.45	4.6125113	0.029896059	0.034491504
0.455	4.6581311	0.030159958	0.034452428
0.46	4.710221	0.030413925	0.03472081
0.465	4.688534	0.030263938	0.034241291
0.47	4.6831415	0.029835174	0.033768126
0.475	4.7104545	0.029539152	0.03323474
0.48	4.6508533	0.029009238	0.032965824
0.485	4.7135217	0.028980763	0.033298241
0.49	4.7482964	0.028785494	0.032963624
0.495	4.7934079	0.02876994	0.032910856
0.5	4.8115951	0.028631719	0.032900607
0.505	4.8592956	0.028598606	0.032900998
0.51	4.8580366	0.028619003	0.032517289
0.515	4.8894924	0.028989715	0.033252563
0.52	4.901206	0.029159517	0.033143007
0.525	4.8445859	0.029053194	0.03314167
0.53	4.803778	0.028954781	0.032779491
0.535	4.8142549	0.028788572	0.033200697
0.54	4.8562733	0.028522436	0.032011421
0.545	4.7814198	0.027899548	0.032066247
0.55	4.7763049	0.02766429	0.031956019
0.555	4.8064631	0.027597643	0.031520943
0.56	4.7661759	0.02724027	0.031166931
0.565	4.7742115	0.027067682	0.031359398
0.57	4.8049404	0.027063218	0.03119431
0.575	4.7371686	0.026671153	0.030677523
0.58	4.6931688	0.026377768	0.030173409
0.585	4.7043042	0.026309383	0.030498025
0.59	4.6846995	0.026085066	0.030014488
0.595	4.6611725	0.025837894	0.029609165
0.6	4.6930544	0.025852367	0.029592535
0.605	4.6684349	0.025655767	0.029447713
0.61	4.6503866	0.025475607	0.029026895
0.615	4.6395567	0.025334442	0.028810853
