# HDF: fcm_201510_440  
# /messung/kmc/daten/2015/4Q/pilatus_201510_5897.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5913.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5929.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5945.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5961.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5977.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5993.tif
# Energy (eV)=8000	Distance (mm)=4541.2	Normalization (s A)=11.007914	Center=(465.691,543.077)	Binsize (nm-1)=0.0015355409
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0.027639736	4688.5679	12.277032	43.50024
0.029175276	4679.4313	6.0682064	52.594602
0.030710818	4479.1826	3.1712463	39.024788
0.032246358	4148.2787	2.1760043	30.746162
0.0337819	3799.4419	1.8126174	19.822138
0.03531744	3498.9337	1.6427468	14.617514
0.03685298	3247.6223	1.565736	13.997534
0.03838852	2985.3887	1.44566	15.088664
0.039924064	2694.0735	1.3176277	14.967894
0.041459604	2396.8707	1.2587403	15.586118
0.042995144	2096.9746	1.2010283	16.570795
0.044530684	1810.6233	1.0725156	15.499006
0.046066224	1567.6543	0.92119794	12.336202
0.047601768	1397.1071	0.82331803	8.6587672
0.049137308	1255.46	0.74864903	5.4472716
0.050672848	1154.6655	0.6663883	4.3844625
0.052208388	1062.9366	0.60723114	3.3249321
0.053743928	972.86497	0.56559844	2.375993
0.055279472	894.83233	0.52759243	2.0087447
0.056815012	823.22192	0.50192662	1.8243984
0.058350552	756.8163	0.47878871	1.5109332
0.059886092	697.30705	0.45382552	1.4698502
0.061421636	641.91402	0.43083237	1.4062245
0.062957176	591.39634	0.40989057	1.3585243
0.064492716	544.72693	0.38862342	1.1771988
0.066028256	501.66327	0.36594501	0.99179049
0.0675638	463.13129	0.34241215	0.9262843
0.069099336	427.43117	0.32207884	0.80806172
