# HDF: fcm_201510_440  
# /messung/kmc/daten/2015/4Q/pilatus_201510_5896.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5912.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5928.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5944.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5960.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5976.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5992.tif
# Energy (eV)=8000	Distance (mm)=4541.2	Normalization (s A)=11.021369	Center=(465.691,543.077)	Binsize (nm-1)=0.0015355409
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0.027639736	1922.9655	6.9904463	24.695711
0.029175276	1903.7298	3.3357436	27.138198
0.030710818	1779.157	1.7978827	20.601793
0.032246358	1555.6945	1.3354861	16.513763
0.0337819	1347.6371	1.1787881	12.427662
0.03531744	1197.3524	1.0870574	9.023779
0.03685298	1052.8739	0.96593087	9.0818583
0.03838852	923.80622	0.82217982	8.5308817
0.039924064	776.26064	0.70439755	8.9742896
0.041459604	640.39523	0.66537777	9.7833009
0.042995144	477.67135	0.60547404	11.048919
0.044530684	328.44573	0.54677857	10.234602
0.046066224	200.5445	0.46848606	7.9464769
0.047601768	112.96002	0.3512373	5.4736798
0.049137308	56.753911	0.20558526	2.4649704
0.050672848	37.656289	0.14075221	1.0353119
0.052208388	30.01322	0.11816554	0.43942315
0.053743928	26.019225	0.10457505	0.26966914
0.055279472	23.688709	0.094490473	0.21281389
0.056815012	21.434371	0.08498136	0.18066368
0.058350552	19.441101	0.077791397	0.14473572
0.059886092	17.536633	0.071540744	0.12478782
0.061421636	15.883956	0.06585467	0.1168738
0.062957176	14.54286	0.06235059	0.10736331
0.064492716	13.276759	0.05857756	0.10436999
0.066028256	11.939358	0.054329829	0.096170802
0.0675638	10.724549	0.050114806	0.09094302
0.069099336	9.6426246	0.046757583	0.07470943
0.07063488	8.7273308	0.044081264	0.067335818
0.072170424	7.8756708	0.041191695	0.062316113
0.07370596	7.180621	0.038815388	0.058196192
0.075241504	6.5375297	0.036596491	0.052668483
0.07677704	5.8917063	0.034322137	0.047029107
0.078312584	5.4095199	0.032585935	0.044875819
0.079848128	4.9797223	0.03089721	0.041865231
0.081383664	4.5302815	0.029111137	0.037227484
0.082919208	4.1728919	0.027556658	0.035243355
0.084454744	3.8958215	0.026358983	0.032761474
0.085990288	3.6410566	0.025290541	0.034152234
0.087525832	3.377427	0.024060431	0.030930938
0.089061368	3.2506937	0.023357676	0.029092953
0.090596912	3.1516184	0.022848319	0.02739534
0.092132448	2.9709702	0.021960226	0.02652386
0.093667992	2.9143266	0.021631993	0.026939681
0.095203536	2.8531351	0.021054077	0.025316245
0.096739072	2.8457938	0.020935532	0.025041084
0.098274616	2.7837332	0.020478597	0.025246486
0.099810152	2.776737	0.020240356	0.024632613
0.1013457	2.7941964	0.020205029	0.024539442
0.10288124	2.7509749	0.019796367	0.024335687
0.10441678	2.7839738	0.019830049	0.023715278
0.10595232	2.7829361	0.01959834	0.024082647
0.10748786	2.8328144	0.019655914	0.023358452
0.1090234	2.856848	0.019586159	0.023124854
0.11055894	2.8513776	0.019438789	0.022344532
0.11209448	2.8811408	0.019403954	0.022887874
0.11363002	2.9030309	0.019248701	0.023218701
0.11516557	2.9188988	0.019191369	0.022502686
0.1167011	2.9593351	0.019472668	0.022590892
0.11823665	2.9267433	0.019521556	0.023733322
0.11977218	2.9398591	0.019643379	0.022801453
0.12130773	2.9599277	0.019612011	0.023547392
0.12284327	2.9142723	0.019420853	0.024016701
0.12437881	2.9139666	0.019396607	0.02342257
0.12591435	2.8982151	0.019314187	0.022508923
0.12744989	2.8978811	0.019293237	0.021761566
0.12898543	2.8756301	0.01922192	0.022927834
0.13052098	2.79072	0.018928442	0.023161605
0.13205651	2.7436439	0.01865518	0.022522453
0.13359206	2.7469215	0.018640409	0.022092141
0.1351276	2.6999612	0.01841756	0.020926219
0.13666314	2.6401682	0.018258787	0.02160099
0.13819867	2.5869813	0.018029112	0.020977903
0.13973422	2.5120242	0.01766395	0.020899104
0.14126976	2.470325	0.017454492	0.020042265
0.1428053	2.4210606	0.016974658	0.018925244
0.14434085	2.3518924	0.016484153	0.019614786
0.14587638	2.3110258	0.016166703	0.019663185
0.14741192	2.217423	0.01560035	0.018719361
0.14894746	2.1948954	0.015504152	0.019334005
0.15048301	2.0927656	0.014957411	0.018254474
0.15201854	2.0508932	0.014720468	0.017658714
0.15355408	1.9704712	0.014243334	0.016660598
0.15508963	1.9251744	0.014012451	0.016286691
0.15662517	1.879911	0.013795118	0.015529948
0.1581607	1.8154978	0.013444122	0.014919865
0.15969626	1.7556498	0.013109868	0.015637502
0.16123179	1.7242989	0.012917003	0.015854994
0.16276733	1.6630563	0.01260684	0.014849149
0.16430286	1.603513	0.012327212	0.014073327
0.16583842	1.5607684	0.012053835	0.013798449
0.16737395	1.5143306	0.011801187	0.013624617
0.16890949	1.4655073	0.011571684	0.013315699
0.17044504	1.4185455	0.011320477	0.012688534
0.17198058	1.3693575	0.011020137	0.012795
0.17351611	1.3430829	0.010857926	0.013520735
0.17505166	1.3172843	0.010727008	0.012575292
0.1765872	1.2763136	0.010492016	0.012122994
0.17812274	1.2676396	0.010410946	0.012305174
0.17965829	1.2317667	0.010160798	0.011866155
0.18119382	1.1944236	0.0099578775	0.011165867
0.18272936	1.1900616	0.0099550707	0.011390735
0.1842649	1.1620485	0.0098552372	0.011854646
0.18580045	1.1521057	0.0099324439	0.011658766
0.18733598	1.120731	0.0098145758	0.011419971
0.18887152	1.0846818	0.0096290969	0.011119909
0.19040707	1.0971119	0.0097098142	0.011264082
0.19194261	1.0829455	0.0096462339	0.010962117
0.19347814	1.0453147	0.0094408228	0.010867733
0.1950137	1.0594245	0.0095293818	0.01077973
0.19654923	1.0549823	0.00957039	0.011410981
0.19808477	1.0253354	0.0093772513	0.011277892
0.1996203	1.0262449	0.0093522415	0.011121574
0.20115586	1.0140541	0.0093010694	0.011140253
0.20269139	1.0065718	0.0092549532	0.01131649
0.20422693	1.00222	0.0092390244	0.010770786
0.20576248	0.98108705	0.0091053064	0.010949182
0.20729802	0.97647052	0.0090935073	0.010824185
0.20883355	0.96974068	0.0090431863	0.010686943
0.2103691	0.96128744	0.0088903075	0.010693747
0.21190464	0.94944258	0.0086817976	0.010247319
0.21344018	0.93639825	0.0085394734	0.010110796
0.21497571	0.94840319	0.0085850866	0.010123978
0.21651126	0.94153559	0.0084557932	0.010025678
0.2180468	0.93259648	0.0083613137	0.0095891629
0.21958234	0.91631646	0.0082133427	0.0097854647
