# HDF: fcm_2015051_662  
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0853.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0859.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0865.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0871.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0877.tif
# Energy (eV)=8000	Distance (mm)=2230.9	Normalization (s A)=9.3377887	Center=(470.984,570.125)	Binsize (nm-1)=0.01
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	0.0014193105	0.017791578	0.0033594828
0.01	0.0061712645	0.0088142482	0.002849685
0.02	0.0035835359	0.006215685	0.0015518015
0.03	0.0032471965	0.005098162	0.0039855025
0.04	0.17735195	0.0069583343	0.034822472
0.05	0.84078465	0.016168595	0.097974068
0.06	1.3331467	0.024516924	0.26916029
0.07	16.774359	0.093126584	0.41439476
0.08	18.11491	0.060854879	0.11076905
0.09	17.422804	0.049984371	0.065434978
0.1	17.652202	0.046753552	0.063444835
0.11	16.536463	0.0424166	0.05739191
0.12	13.640247	0.036523675	0.046201532
0.13	10.344543	0.030364217	0.038637297
0.14	7.6546823	0.025052973	0.033254166
0.15	5.8609987	0.021317983	0.027609872
0.16	4.8691039	0.019382163	0.023347622
0.17	4.2505276	0.017949798	0.021204039
0.18	3.7469059	0.016668513	0.019281479
0.19	3.2219185	0.015266628	0.017647415
0.2	2.6935912	0.013633786	0.016239172
0.21	2.2386247	0.011856601	0.014422402
0.22	1.8846469	0.01042244	0.012386114
0.23	1.6033082	0.0092955245	0.01113528
0.24	1.4030295	0.0084291998	0.010131899
0.25	1.2495415	0.0077151909	0.0095218428
0.26	1.1081509	0.0070804235	0.0086776701
0.27	0.99078647	0.0065537561	0.0079835113
0.28	0.88959156	0.0060740876	0.0074488286
0.29	0.81554245	0.0056973816	0.0068541299
0.3	0.75530596	0.0053642442	0.0064101972
0.31	0.7166177	0.0051218766	0.0059970891
0.32	0.69293156	0.0049513073	0.0058017108
0.33	0.66986096	0.0047904647	0.0055385967
0.34	0.66512854	0.0046850539	0.0054497678
0.35	0.68023733	0.0046656531	0.0054657585
0.36	0.68738392	0.004609699	0.0055532952
0.37	0.69450779	0.0045579846	0.0055552025
0.38	0.71773562	0.0045766079	0.0053947525
0.39	0.74717901	0.0046009473	0.005344361
0.4	0.78292714	0.004647785	0.0054659296
0.41	0.80583157	0.0046377854	0.0055554012
0.42	0.84461154	0.0046938383	0.0054993507
0.43	0.88269018	0.0047426057	0.005586634
0.44	0.91285334	0.0047567823	0.0055597785
0.45	0.93987711	0.0047633366	0.005570819
0.46	0.98134817	0.0048743937	0.005768194
0.47	1.0263604	0.0050323455	0.0058572575
0.48	1.0695268	0.005169189	0.0060643154
0.49	1.1042434	0.0052500486	0.0061564293
0.5	1.1412344	0.0053225609	0.006319885
0.51	1.1762769	0.0053451051	0.0062038151
0.52	1.218123	0.0053226108	0.00619589
0.53	1.2420599	0.0052577155	0.0062006143
0.54	1.2833794	0.005273938	0.0061256325
0.55	1.3135264	0.0052575053	0.0060460711
0.56	1.3466139	0.0052483542	0.006148199
0.57	1.3801572	0.0052635119	0.0061094779
0.58	1.4002135	0.0052457387	0.0060260575
0.59	1.4308887	0.0052451451	0.0059482854
0.6	1.4625419	0.0052451455	0.0060375779
0.61	1.4841798	0.0052270592	0.0060911163
0.62	1.5086469	0.0052289079	0.0059872997
0.63	1.532705	0.005221051	0.005994174
0.64	1.5559796	0.005216515	0.0060952155
0.65	1.5677247	0.0051846546	0.0060151463
0.66	1.5888577	0.0051701282	0.0059949396
0.67	1.6043719	0.0051584182	0.0058821929
0.68	1.619622	0.0051387146	0.0058397936
0.69	1.64649	0.0051377719	0.0059343438
0.7	1.65533	0.0051013472	0.0058957967
0.71	1.6688695	0.0050907858	0.0058833459
0.72	1.6695969	0.0050507973	0.0058447437
0.73	1.6806624	0.0050305794	0.0057833568
0.74	1.6869357	0.005001781	0.005760596
0.75	1.6985456	0.004983555	0.0056724381
0.76	1.6948341	0.0049351004	0.0056368197
0.77	1.7089749	0.0049306893	0.0056529228
0.78	1.7157688	0.0049072491	0.005639138
0.79	1.7185939	0.0048764048	0.0055884158
0.8	1.7123812	0.0048277986	0.0055364859
0.81	1.7169251	0.0048150498	0.0055114252
0.82	1.7266206	0.0048700025	0.0056381689
0.83	1.724371	0.0049025993	0.0055542339
0.84	1.7303244	0.0049298439	0.0057324838
0.85	1.7345651	0.0049424985	0.0056650249
0.86	1.7198534	0.0049116351	0.0056482675
0.87	1.7177893	0.0048593522	0.0055577594
0.88	1.7183984	0.004780953	0.0055073623
0.89	1.7185155	0.0047277202	0.0054270633
0.9	1.7145534	0.0046704333	0.0053388958
0.91	1.7108422	0.0046227865	0.0053202223
0.92	1.7036042	0.0045805751	0.0052603091
0.93	1.7012401	0.0045505574	0.00523433
0.94	1.6995277	0.0045184573	0.0052565335
0.95	1.6879776	0.0044673018	0.0051641312
0.96	1.6850917	0.004436274	0.005185585
0.99	1.6647805	0.0043312211	0.0049862687
1	1.6663993	0.0043061241	0.0049179532
1.01	1.6562914	0.0042654869	0.0049184946
1.02	1.650959	0.0042366529	0.0048644631
1.03	1.6339189	0.0041902154	0.0048308721
1.04	1.6337315	0.0041728751	0.0048364079
1.05	1.6236887	0.0041300341	0.0048130587
1.06	1.6166913	0.004097415	0.0047125239
1.07	1.61423	0.0040785068	0.0047600665
1.08	1.6077881	0.0040474408	0.0047249742
1.09	1.5951749	0.004009757	0.0046497398
1.1	1.5848909	0.0039747206	0.0046161452
1.11	1.5779576	0.003944235	0.0045771453
1.12	1.5661885	0.0039352614	0.0045242907
1.13	1.5572294	0.003962553	0.0045806173
1.14	1.5389328	0.0039572969	0.00458887
1.15	1.5359674	0.0039657482	0.0045997768
1.16	1.5326452	0.0039724482	0.0045997888
1.17	1.511894	0.0039348872	0.0045670431
1.18	1.4979355	0.0038715846	0.0044415358
1.19	1.48559	0.0038066742	0.0043846215
1.2	1.4814283	0.003767677	0.0043640254
1.21	1.4689787	0.0037190457	0.0043073245
1.22	1.4582223	0.0036885102	0.0042588324
