# HDF: fcm_201510_517  
# /messung/kmc/daten/2015/4Q/pilatus_201510_6691.tif
# Energy (eV)=8000	Distance (mm)=4541.2	Normalization (s A)=0.59901181	Center=(465.691,543.077)	Binsize (nm-1)=0.005
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0.025	496.44049	5.7979549	48.414635
0.03	462.61709	2.0585003	8.2743427
0.035	342.85721	1.118856	4.6012939
0.04	239.25422	0.82946591	3.7885963
0.045	165.53586	0.63810101	2.4673671
0.05	116.78383	0.48109413	1.4623985
0.055	80.257215	0.36387062	0.72197469
0.06	57.660993	0.29231231	0.42286781
0.065	43.624273	0.24232875	0.33243377
0.07	32.85947	0.20061876	0.25895551
0.075	24.434979	0.16579537	0.21413942
0.08	17.744697	0.13558332	0.18080904
0.085	13.232998	0.11305014	0.1442792
0.09	10.12022	0.095816166	0.12124762
0.095	8.1878132	0.083802466	0.10625221
0.1	7.169095	0.076355005	0.094415857
0.105	6.7040375	0.072211314	0.086731195
0.11	6.7058214	0.070165915	0.085505108
0.115	7.0244633	0.071026303	0.084790457
0.12	7.1439234	0.071785806	0.085152095
0.125	7.4496082	0.073316179	0.08649262
0.13	7.5657878	0.073435106	0.087003005
0.135	7.3962505	0.072038467	0.08516347
0.14	6.958802	0.068858177	0.08072094
0.145	6.6066161	0.064998125	0.076004872
0.15	6.1774536	0.061078208	0.070236743
0.155	5.4540948	0.055734431	0.06412212
0.16	4.8724183	0.051882339	0.060638949
0.165	4.2354218	0.047560493	0.054858731
0.17	3.7122155	0.043830046	0.050730612
0.175	3.2828769	0.040867106	0.046003222
0.18	2.8584433	0.038092189	0.042821421
0.185	2.5528154	0.036343816	0.040021339
0.19	2.2839078	0.035028142	0.037798637
0.195	2.008743	0.033571611	0.035577509
0.2	1.8782204	0.032797782	0.03471727
0.205	1.793718	0.032324285	0.034060006
0.21	1.68573	0.031123496	0.032701092
0.215	1.6392756	0.029987352	0.031353182
0.22	1.5472023	0.028687096	0.029296483
0.225	1.4924708	0.027991093	0.028422257
0.23	1.4264115	0.027230353	0.026903768
0.235	1.3678182	0.026515008	0.025842451
0.24	1.2761636	0.025686721	0.024907573
0.245	1.2482395	0.025338336	0.024811087
0.25	1.1677617	0.024622014	0.023497312
0.255	1.0650247	0.023763463	0.02184477
0.26	0.99627438	0.023225272	0.021015206
0.265	0.93568532	0.022624672	0.020005025
0.27	0.91071136	0.022329862	0.019726917
0.275	0.87086381	0.021936222	0.019044045
0.28	0.85303361	0.021586344	0.018356278
0.285	0.8362734	0.021286318	0.018136549
0.29	0.81977378	0.021030155	0.017776212
0.295	0.7854486	0.020723531	0.017433629
0.3	0.79568194	0.020604667	0.017426131
0.305	0.77485481	0.020288834	0.016967225
0.31	0.74661376	0.020001478	0.016493475
0.315	0.73182478	0.019779019	0.016218372
0.32	0.73881655	0.019630242	0.016031584
0.325	0.74333338	0.019499464	0.015945683
0.33	0.74595961	0.019328104	0.015971261
0.335	0.72940761	0.019090325	0.015592075
0.34	0.75221812	0.019051571	0.015658464
0.345	0.77167284	0.018937235	0.015728309
0.35	0.77257724	0.01885216	0.015860897
0.355	0.7609259	0.018643397	0.015460841
0.36	0.75705645	0.018484852	0.015287911
0.365	0.7771479	0.018394853	0.015375515
0.37	0.7794982	0.018265194	0.015340493
0.375	0.78396269	0.018151461	0.015118576
0.38	0.79787219	0.018073863	0.015068499
0.385	0.79420598	0.017911789	0.014977241
0.39	0.83554989	0.017936862	0.015174206
0.395	0.83834738	0.017854818	0.015234344
0.4	0.82034663	0.01764193	0.014919249
0.405	0.85165477	0.017635943	0.015132911
0.41	0.86950805	0.017555302	0.015058631
0.415	0.90436046	0.017611889	0.015434772
0.42	0.9035073	0.017438507	0.015199444
0.425	0.91825016	0.017393778	0.015201682
0.43	0.93468768	0.017406746	0.015536227
0.435	0.94986905	0.017307213	0.015373213
0.44	0.95292425	0.017264707	0.015317644
0.445	0.97869235	0.017513243	0.015680607
0.45	1.0042354	0.017728377	0.016118555
0.455	1.0100586	0.017809225	0.016194926
0.46	1.0221014	0.017858483	0.016162547
0.465	1.041642	0.017860788	0.016230799
0.47	1.0621071	0.017742353	0.016332015
0.475	1.0829932	0.017578135	0.016390264
0.48	1.0649341	0.017261646	0.015679783
0.485	1.0796603	0.017207705	0.015884623
0.49	1.1161429	0.017196837	0.016113775
0.495	1.1422113	0.017138891	0.016073053
0.5	1.1603523	0.017102032	0.016260861
