# HDF: fcm_201510_440  
# /messung/kmc/daten/2015/4Q/pilatus_201510_5899.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5915.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5931.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5947.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5963.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5979.tif
# /messung/kmc/daten/2015/4Q/pilatus_201510_5995.tif
# Energy (eV)=8000	Distance (mm)=4541.2	Normalization (s A)=11.004916	Center=(465.691,543.077)	Binsize (nm-1)=0.0015355409
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0.027639736	4467.1009	12.599609	446.41945
0.029175276	4657.0029	6.9522111	110.50765
0.030710818	4632.9618	3.2086227	40.771593
0.032246358	4286.6088	2.1220344	27.781654
0.0337819	3895.7533	1.791816	17.940641
0.03531744	3556.7102	1.604528	13.870413
0.03685298	3302.4527	1.5010175	14.966281
0.03838852	3002.4678	1.3716872	15.587735
0.039924064	2695.4341	1.2459266	15.662885
0.041459604	2364.8969	1.156897	16.039657
0.042995144	2057.4205	1.1075515	16.157711
0.044530684	1747.4318	1.0019131	14.495152
0.046066224	1502.4321	0.87326895	11.63662
0.047601768	1325.499	0.77974134	8.5742577
0.049137308	1176.7853	0.7059006	5.6588726
0.050672848	1057.9477	0.63608387	4.0266962
0.052208388	962.68465	0.57302763	3.3734684
0.053743928	872.69699	0.52515424	2.5747237
0.055279472	791.61923	0.49038763	2.012647
0.056815012	720.54521	0.4652681	1.792825
0.058350552	656.69609	0.44158994	1.5825194
0.059886092	600.11439	0.41862363	1.3961899
0.061421636	547.62183	0.39684268	1.2930467
0.062957176	501.24075	0.37412045	1.2743586
0.064492716	459.19145	0.35169487	1.1414973
0.066028256	421.60522	0.33152592	0.99699867
0.0675638	388.01232	0.31086452	0.81638039
0.069099336	357.08549	0.29086561	0.74037868
0.07063488	329.61119	0.27399823	0.65211591
0.072170424	305.06313	0.25978477	0.60100083
0.07370596	282.34095	0.24803458	0.53040915
0.075241504	262.39514	0.23510446	0.49866966
0.07677704	244.1471	0.22368873	0.45094451
0.078312584	227.40831	0.21395307	0.41529177
0.079848128	212.58575	0.2036716	0.38699793
0.081383664	199.16066	0.19481939	0.34185382
0.082919208	186.70254	0.1867968	0.3080431
0.084454744	175.39439	0.17943397	0.28723174
0.085990288	164.97365	0.1724076	0.29009811
0.087525832	155.63642	0.16530486	0.28191918
0.089061368	146.76068	0.15868012	0.25951245
0.090596912	138.71974	0.15228027	0.24470751
0.092132448	131.20984	0.14695933	0.22861251
0.093667992	124.14417	0.14149664	0.22330949
0.095203536	117.70833	0.13597397	0.21207426
0.096739072	111.62177	0.13152916	0.20359237
0.098274616	106.22007	0.12697071	0.19094415
0.099810152	101.02219	0.12278551	0.18524635
0.1013457	95.827702	0.11905937	0.17404823
0.10288124	91.179388	0.11516097	0.17421487
0.10441678	86.685608	0.11147599	0.16796282
0.10595232	82.422881	0.10755669	0.15348991
0.10748786	78.293185	0.10393053	0.15112698
0.1090234	74.473087	0.10038027	0.14798049
0.11055894	70.751756	0.097110763	0.13344168
0.11209448	67.498532	0.094264287	0.13017658
0.11363002	64.100154	0.090600391	0.1224516
0.11516557	60.894883	0.08804685	0.1196043
0.1167011	57.756282	0.086366723	0.11897865
0.11823665	55.188709	0.085010824	0.11400186
0.11977218	52.508239	0.083071235	0.11647668
0.12130773	50.050869	0.08076373	0.10978544
0.12284327	47.779572	0.07892161	0.103309
0.12437881	45.333339	0.076589396	0.098009968
0.12591435	43.170235	0.074610403	0.09225172
0.12744989	41.236465	0.07302975	0.090745729
0.12898543	39.229777	0.071289633	0.090717684
0.13052098	37.479865	0.069598045	0.086418263
0.13205651	35.843293	0.067586155	0.085972387
0.13359206	34.343269	0.065870373	0.081450128
0.1351276	32.866998	0.064340496	0.078454767
0.13666314	31.471844	0.062968528	0.078045461
0.13819867	30.106285	0.061565412	0.07574739
0.13973422	28.910134	0.060058489	0.075096387
0.14126976	27.70771	0.058447726	0.072374473
0.1428053	26.687034	0.056527576	0.067215027
0.14434085	25.693928	0.054672029	0.066004229
0.14587638	24.719044	0.052890365	0.068020609
0.14741192	23.924045	0.051560735	0.064201268
0.14894746	23.102357	0.050432869	0.063598241
0.15048301	22.292005	0.049098884	0.060606341
0.15201854	21.547914	0.047825096	0.058828831
0.15355408	20.887423	0.046710234	0.055784524
0.15508963	20.253353	0.045662625	0.053233231
0.15662517	19.809529	0.044986165	0.055112511
0.1581607	19.186474	0.043841856	0.054301887
0.15969626	18.673807	0.042966671	0.052862455
0.16123179	18.29082	0.042260549	0.049971269
0.16276733	17.825693	0.041428339	0.049603299
0.16430286	17.374762	0.040731341	0.048370007
0.16583842	17.001516	0.039926881	0.046861535
0.16737395	16.583969	0.039170346	0.046620878
0.16890949	16.218653	0.038582286	0.045290842
0.17044504	15.792454	0.037836082	0.045611799
0.17198058	15.413751	0.037113082	0.045158126
0.17351611	15.096069	0.03655606	0.043921021
0.17505166	14.836358	0.036134578	0.043543846
0.1765872	14.496265	0.035482003	0.042649087
0.17812274	14.255789	0.035025712	0.042899337
0.17965829	13.971342	0.034411329	0.041724523
0.18119382	13.704057	0.03396157	0.040699164
0.18272936	13.426474	0.03351094	0.040187399
0.1842649	13.136025	0.033276452	0.039947002
0.18580045	12.912796	0.033300337	0.040280271
0.18733598	12.66592	0.033040101	0.039913479
0.18887152	12.337494	0.032651546	0.039091397
0.19040707	12.140117	0.032421267	0.038866798
0.19194261	11.903793	0.032015982	0.0374281
0.19347814	11.651792	0.031714365	0.03794162
0.1950137	11.463908	0.031466301	0.037712334
0.19654923	11.276471	0.031317394	0.036007056
0.19808477	11.004293	0.030837117	0.035262507
0.1996203	10.803935	0.030447745	0.03539795
0.20115586	10.555912	0.030160744	0.035046076
0.20269139	10.35884	0.029879961	0.035257039
0.20422693	10.174736	0.029550448	0.033882279
0.20576248	10.040693	0.029288088	0.033950948
0.20729802	9.8529921	0.029012207	0.033042752
0.20883355	9.6352411	0.028618949	0.033218735
0.2103691	9.4812156	0.028004372	0.032341608
0.21190464	9.3194483	0.027287366	0.033047472
0.21344018	9.1264991	0.026766286	0.031986431
0.21497571	8.9705178	0.026449913	0.031380295
0.21651126	8.8211768	0.026001708	0.030088825
0.2180468	8.6774859	0.025587513	0.030681878
0.21958234	8.5147362	0.025203224	0.029631588
0.22111789	8.3595675	0.024831363	0.029008684
0.22265342	8.2560031	0.024590326	0.027596219
0.22418896	8.1373996	0.024215873	0.027366145
0.22572451	8.0227055	0.023887013	0.028795527
0.22726005	7.8772606	0.023566429	0.028329264
0.22879558	7.7593476	0.023288352	0.026975318
0.23033114	7.6270811	0.022983591	0.026508657
0.23186667	7.4728559	0.022600526	0.025501171
0.23340221	7.330458	0.022329347	0.026042633
0.23493774	7.235468	0.022087899	0.025988105
0.2364733	7.15733	0.021840732	0.024961438
0.23800883	7.0859078	0.021626978	0.025289442
0.23954437	6.9667282	0.021366236	0.02501902
0.24107992	6.8409175	0.021103688	0.024728629
0.24261546	6.752578	0.020856642	0.023858638
0.24415099	6.6728061	0.020667976	0.024568867
0.24568654	6.5837699	0.020436142	0.023439534
0.24722208	6.4838438	0.020189207	0.02241791
0.24875762	6.413578	0.020058714	0.022528276
0.25029315	6.3396364	0.019806699	0.023396215
0.2518287	6.2465481	0.019560179	0.022934962
0.25336424	6.2084681	0.019473646	0.022623033
0.25489978	6.1078487	0.019252625	0.022204971
0.25643533	6.0305178	0.019056698	0.022765129
0.25797086	5.9808525	0.018885927	0.021377421
0.2595064	5.8779953	0.018661959	0.0211335
0.26104195	5.823441	0.018501975	0.02154429
0.26257749	5.784137	0.018386628	0.021280705
0.26411302	5.7087964	0.018206756	0.020869559
0.26564856	5.6538484	0.018028472	0.020696587
0.26718411	5.6350424	0.017953978	0.02018234
0.26871965	5.5569565	0.017759251	0.020447934
0.2702552	5.4930455	0.017596413	0.020278824
0.27179072	5.4289792	0.017430837	0.02098589
0.27332627	5.3890156	0.017324409	0.020085173
0.27486182	5.367346	0.01722869	0.020065148
0.27639734	5.3121519	0.017068081	0.020009274
0.2779329	5.2894175	0.017005912	0.019799214
0.27946845	5.2223427	0.016824303	0.019489948
0.28100397	5.179031	0.016753457	0.019331016
0.28253952	5.1499302	0.016652881	0.019029913
0.28407507	5.1496345	0.016559388	0.019006559
0.28561059	5.0711614	0.016370885	0.019451748
0.28714614	5.0047907	0.01622809	0.019217042
0.2886817	4.9923347	0.016136233	0.019266646
0.29021722	4.9800839	0.016060505	0.018730159
0.29175277	4.9435495	0.015972685	0.018506776
0.29328829	4.8687601	0.015771526	0.018677397
0.29482384	4.8414795	0.015685919	0.018285321
0.29635939	4.8425236	0.015691032	0.018034296
0.29789491	4.7961056	0.015537116	0.018190554
0.29943046	4.7863814	0.015497677	0.01835417
0.30096602	4.7743608	0.01542232	0.018200607
0.30250154	4.7273369	0.015270261	0.017803079
0.30403709	4.6661466	0.015120282	0.017321625
0.30557264	4.6526667	0.015055336	0.017250507
0.30710816	4.6316591	0.015022518	0.017375794
0.30864371	4.5943147	0.014921988	0.017378319
0.31017926	4.5786429	0.014834595	0.01716936
0.31171478	4.5665672	0.014783168	0.017268762
0.31325034	4.5253467	0.014686177	0.01716917
0.31478589	4.4727149	0.014554783	0.01707602
0.31632141	4.474717	0.014519921	0.017011928
0.31785696	4.4391754	0.014413062	0.017275209
0.31939251	4.4085727	0.014349864	0.016992317
0.32092803	4.3936185	0.014263904	0.016722081
0.32246358	4.3727101	0.014181731	0.016375739
0.32399914	4.3663972	0.014137906	0.015975515
0.32553466	4.3291394	0.014040557	0.016068968
0.32707021	4.2843953	0.013951382	0.01578725
0.32860573	4.3006726	0.013930137	0.01576464
0.33014128	4.2879968	0.013867158	0.015802183
0.33167683	4.2497823	0.013778053	0.015975241
0.33321235	4.2125959	0.013689264	0.016001207
0.3347479	4.172825	0.013566669	0.015875308
0.33628346	4.1581523	0.013503431	0.015834222
0.33781898	4.140963	0.013486311	0.015589589
0.33935453	4.0927865	0.013352447	0.015306055
0.34089008	4.1070072	0.013330043	0.015531284
0.3424256	4.1001106	0.013268868	0.015395796
0.34396115	4.0659156	0.013194434	0.014866637
0.3454967	4.0538836	0.013153621	0.014917815
0.34703222	4.0110345	0.013040587	0.014833237
0.34856778	4.0005412	0.012996197	0.015196721
0.35010333	3.9965854	0.012936437	0.015136417
0.35163885	3.9654429	0.01288714	0.015011379
0.3531744	3.9355577	0.012816528	0.014393288
0.35470995	3.9136153	0.012717508	0.014307045
0.35624547	3.8986531	0.012695481	0.014589315
0.35778102	3.8802731	0.012636475	0.014811479
0.35931658	3.8728752	0.012583423	0.014061815
0.3608521	3.862054	0.012533187	0.014541486
0.36238765	3.8150241	0.01241731	0.014420491
0.36392317	3.8121131	0.012402043	0.014363281
0.36545872	3.837091	0.012412621	0.014139654
0.36699427	3.8038535	0.012309715	0.013950291
0.36852979	3.7540533	0.012180792	0.013875718
0.37006534	3.7367732	0.012163888	0.013859616
0.3716009	3.7131278	0.012088589	0.01395769
0.37313642	3.7165377	0.012046739	0.013981102
0.37467197	3.6858646	0.011978547	0.014129017
0.37620752	3.6643853	0.011925563	0.013862894
0.37774304	3.6837196	0.011964531	0.01353363
0.37927859	3.6735936	0.011908871	0.013868532
0.38081414	3.6652092	0.011845655	0.013806079
0.38234966	3.6699359	0.011833071	0.013561518
0.38388522	3.6266363	0.011721968	0.013601404
0.38542077	3.6331721	0.011724384	0.013586854
0.38695629	3.6240341	0.011667849	0.013095672
0.38849184	3.6180075	0.011652457	0.013196185
0.39002739	3.5914448	0.011584777	0.013275612
0.39156291	3.5746635	0.011510531	0.013101525
0.39309846	3.5679363	0.011478525	0.012989447
0.39463398	3.5419504	0.011401737	0.01314308
0.39616954	3.5507328	0.011413323	0.01304067
0.39770509	3.5451398	0.011379282	0.012870251
0.39924061	3.5264346	0.011308219	0.012931517
0.40077616	3.5307021	0.011317071	0.013094321
0.40231171	3.5064608	0.011236003	0.012825486
0.40384723	3.4952728	0.011209556	0.012844693
0.40538278	3.4933004	0.011200762	0.01294147
0.40691834	3.4803626	0.011135336	0.012643784
0.40845386	3.4793716	0.011119471	0.012865895
0.40998941	3.4735768	0.011076989	0.012633176
0.41152496	3.4702124	0.011049533	0.012636329
0.41306048	3.4779396	0.01104303	0.012691369
0.41459603	3.4556	0.010976039	0.012569106
0.41613158	3.4636131	0.010990933	0.012249368
0.4176671	3.4569633	0.010943171	0.01230365
0.41920266	3.4478218	0.010914502	0.01229782
0.42073821	3.4187925	0.010837295	0.0124624
0.42227373	3.4243189	0.010833416	0.01238311
0.42380928	3.4239299	0.010824096	0.012816444
0.42534483	3.4186954	0.010778511	0.012613757
0.42688035	3.4134283	0.010728449	0.012351035
0.4284159	3.4405719	0.010782169	0.012411946
0.42995142	3.4135236	0.010704647	0.012341734
0.43148698	3.4071049	0.010675112	0.012070897
0.43302253	3.3833285	0.01061969	0.011997429
0.43455805	3.3760436	0.010598163	0.012181163
0.4360936	3.3877637	0.010595727	0.011907651
0.43762915	3.4007937	0.010602088	0.012228406
0.43916467	3.3792493	0.010528977	0.012162568
0.44070022	3.3686499	0.010509823	0.011955666
0.44223578	3.3585579	0.010553121	0.011817342
0.4437713	3.368368	0.010621598	0.012088257
0.44530685	3.3591098	0.010622746	0.012369647
0.4468424	3.3639883	0.010655414	0.012532655
0.44837792	3.3681285	0.010686209	0.012486868
0.44991347	3.364546	0.010700354	0.012251608
0.45144902	3.3475082	0.010689179	0.01226652
0.45298454	3.3466645	0.010697582	0.012370338
0.4545201	3.3544638	0.010706974	0.012456678
0.45605565	3.3543591	0.010727425	0.012471528
0.45759117	3.3377507	0.010691277	0.012321061
0.45912672	3.3541723	0.010733093	0.01268544
0.46066227	3.3490469	0.01072323	0.012223066
0.46219779	3.3469778	0.010728074	0.012324673
0.46373334	3.324659	0.010676923	0.012056724
0.46526886	3.3389505	0.010708938	0.012203383
0.46680442	3.3466128	0.010726943	0.012496674
0.46833997	3.3372727	0.010638076	0.012295036
0.46987549	3.3218117	0.010525835	0.012265711
0.47141104	3.3357455	0.010488888	0.0119239
0.47294659	3.3387262	0.010432104	0.012007084
0.47448211	3.36358	0.010467512	0.012116508
0.47601766	3.3647623	0.010431171	0.012144481
0.47755322	3.3569682	0.010375446	0.011876341
0.47908874	3.3500414	0.010336271	0.011894106
0.48062429	3.3345953	0.010280652	0.011787848
0.48215984	3.3454045	0.010287563	0.011713368
0.48369536	3.3301216	0.010207759	0.012032354
0.48523091	3.3297046	0.010185808	0.012097162
0.48676646	3.3508283	0.010212729	0.012065181
0.48830198	3.35262	0.010186759	0.011653842
0.48983754	3.3494098	0.010161699	0.01164103
0.49137309	3.3397817	0.010096111	0.011767486
0.49290861	3.3525275	0.010104613	0.011880611
0.49444416	3.3616132	0.010122562	0.01184047
0.49597971	3.3652806	0.010116146	0.011799401
0.49751523	3.3402181	0.010028741	0.011479192
0.49905078	3.3517874	0.010022267	0.011119608
0.5005863	3.34891	0.0099996228	0.011333489
0.50212186	3.3634195	0.010007539	0.011441273
0.50365741	3.3586113	0.0099761727	0.011632387
0.50519293	3.3684935	0.0099818807	0.011510326
0.50672848	3.3622218	0.0099468495	0.011347621
0.50826403	3.3339683	0.0098815743	0.011205696
0.50979955	3.3593808	0.0099658136	0.011245604
0.5113351	3.3628409	0.010022217	0.011426887
0.51287066	3.3634167	0.010061386	0.011575064
0.51440618	3.3619962	0.010089309	0.011723653
0.51594173	3.3465553	0.010078535	0.011597568
0.51747728	3.3636992	0.010114436	0.011602355
0.5190128	3.3698631	0.010127711	0.011721379
0.52054835	3.3761798	0.010151893	0.011834502
0.5220839	3.3786829	0.01016686	0.011763329
0.52361942	3.3828578	0.010189781	0.011833897
0.52515498	3.3656972	0.010162158	0.011654003
0.52669053	3.3728008	0.010190049	0.011792445
0.52822605	3.3786586	0.010193669	0.011775314
0.5297616	3.3819132	0.010196624	0.011727886
0.53129712	3.3835181	0.010209122	0.011608315
0.53283267	3.3715841	0.010197536	0.011673641
0.53436822	3.3821652	0.010220138	0.011661291
0.53590374	3.3802795	0.010118994	0.011687841
0.5374393	3.385809	0.010048182	0.011864926
0.53897485	3.3896591	0.010004585	0.011648943
0.5405104	3.4042247	0.0100055	0.011704058
0.54204595	3.3730601	0.00990696	0.011365283
0.54358144	3.3914432	0.0098967031	0.011391244
0.54511699	3.4132737	0.0099205194	0.011227682
0.54665254	3.3931678	0.009848189	0.011036188
0.5481881	3.3959447	0.009818643	0.0110198
0.54972365	3.4093567	0.0098247917	0.011292011
0.55125914	3.416688	0.0098030295	0.011240424
0.55279469	3.4230679	0.0097982585	0.011067637
0.55433024	3.4139413	0.0097602038	0.011123857
0.55586579	3.4022482	0.0097219865	0.01102085
0.55740134	3.3995982	0.0096879688	0.01074559
0.5589369	3.3999379	0.009671748	0.010944517
0.56047238	3.3849279	0.0096394486	0.0110536
0.56200794	3.4021047	0.0096310792	0.01124648
0.56354349	3.4137843	0.0096252	0.011012839
0.56507904	3.4202882	0.0096218216	0.011044553
0.56661459	3.4351849	0.00963784	0.01082973
0.56815014	3.4269516	0.0096029117	0.011122309
0.56968563	3.4302817	0.0095801949	0.011078989
0.57122118	3.4201034	0.0095543583	0.011024948
0.57275674	3.4296765	0.009553382	0.01073103
0.57429229	3.4300061	0.0095300573	0.010934303
0.57582784	3.4188968	0.009486287	0.011109838
0.57736339	3.413517	0.009464426	0.010942968
0.57889888	3.4202816	0.0094805608	0.010864283
0.58043443	3.4201038	0.0094530994	0.01088692
0.58196998	3.424583	0.0094284517	0.010906486
0.58350554	3.4287811	0.0094204736	0.01089448
0.58504109	3.4405601	0.0094439738	0.010986404
0.58657658	3.4570004	0.0094500521	0.010862526
0.58811213	3.4570735	0.0094084233	0.010778115
0.58964768	3.4589083	0.0094080503	0.010783521
0.59118323	3.4373655	0.0093610507	0.010683529
0.59271878	3.4573775	0.009385345	0.010768324
0.59425434	3.4608837	0.0093695236	0.010663365
0.59578982	3.4603104	0.0093491425	0.010775352
0.59732538	3.4654226	0.0093395362	0.010585839
0.59886093	3.4888347	0.0093575301	0.010706306
0.60039648	3.4828715	0.0093383264	0.010789109
0.60193203	3.4674435	0.0093033615	0.010661537
0.60346758	3.477289	0.0093108866	0.010678816
0.60500307	3.485854	0.009296024	0.010609583
0.60653862	3.4766033	0.0092634429	0.010596789
0.60807418	3.4813869	0.0092644131	0.01053081
0.60960973	3.4917901	0.0092487427	0.010489712
0.61114528	3.5009826	0.0092638342	0.01067083
0.61268083	3.5028943	0.0092669695	0.010784668
0.61421632	3.4998608	0.0092308179	0.01073099
0.61575187	3.5101944	0.009227736	0.010555924
0.61728742	3.5029234	0.0092001345	0.010433542
0.61882298	3.5182183	0.0092215975	0.010377626
0.62035853	3.5283404	0.0092159721	0.010679587
0.62189402	3.516264	0.0091722716	0.010360975
0.62342957	3.5325756	0.0091930122	0.0103675
0.62496512	3.5177299	0.0091554056	0.010548813
0.62650067	3.5193095	0.0091483368	0.010447813
0.62803622	3.5371124	0.0091517111	0.010287228
0.62957178	3.535373	0.0091458054	0.010389639
0.63110726	3.5370199	0.009141111	0.010389591
0.63264282	3.5498145	0.0091283721	0.010282076
0.63417837	3.5622192	0.0091433059	0.010264955
0.63571392	3.5397364	0.0090912029	0.010446773
0.63724947	3.5610459	0.0091194902	0.010542197
0.63878502	3.5654104	0.0091044353	0.010619556
0.64032051	3.5809948	0.0091044948	0.010317704
0.64185606	3.5751425	0.0090934783	0.01045643
0.64339162	3.572029	0.0090760734	0.010365021
0.64492717	3.5815587	0.0090832776	0.010384089
0.64646272	3.5784896	0.0090553653	0.010553213
0.64799827	3.5786709	0.0090469729	0.010416738
0.64953376	3.5636141	0.0090198785	0.010420558
0.65106931	3.5860536	0.009034574	0.010192638
0.65260486	3.6067737	0.0090434917	0.010385634
0.65414042	3.5997817	0.0090193166	0.010270696
0.65567597	3.5924923	0.0090086284	0.010286697
0.65721146	3.6026172	0.0090117102	0.010333002
0.65874701	3.6113708	0.0090090529	0.010072455
0.66028256	3.6058794	0.0089782991	0.010210553
0.66181811	3.5983824	0.0089539507	0.010204747
0.66335366	3.614077	0.0089810891	0.01056163
0.66488922	3.6115098	0.0089626409	0.010368353
0.6664247	3.6304042	0.0089698567	0.010228387
0.66796026	3.6394459	0.0089670348	0.010402862
0.66949581	3.6508935	0.0089859461	0.01040851
0.67103136	3.6212551	0.0089150929	0.010200451
0.67256691	3.6355313	0.0089231299	0.010207772
0.67410246	3.6582415	0.0089456673	0.010152899
0.67563795	3.648388	0.0089249362	0.010269791
0.6771735	3.6377359	0.0089033378	0.010471874
0.67870906	3.6583538	0.0089105962	0.010432122
0.68024461	3.6668994	0.0089008809	0.0099951984
0.68178016	3.6723863	0.0089125094	0.010184367
0.68331571	3.6625696	0.0088843602	0.010171858
0.6848512	3.6614375	0.0088707473	0.010113241
0.68638675	3.6607976	0.0088555772	0.0099700098
0.6879223	3.6823434	0.0088754106	0.010110902
0.68945786	3.6898464	0.0088777267	0.010186588
0.69099341	3.6670856	0.0088253143	0.010048777
0.6925289	3.6720886	0.0088218053	0.010168242
0.69406445	3.6877295	0.0088414545	0.01022487
0.6956	3.6848607	0.0088213314	0.010069037
0.69713555	3.702328	0.0088344074	0.010086429
0.6986711	3.6998794	0.0088021384	0.0099421435
0.70020666	3.6977465	0.0087961847	0.0099623438
0.70174214	3.7030358	0.0087976796	0.010057225
0.7032777	3.7143362	0.0087975936	0.009942941
0.70481325	3.710728	0.0087867131	0.010078178
0.7063488	3.7049035	0.0087595977	0.010045176
0.70788435	3.7189222	0.0087659759	0.0099674222
0.7094199	3.7303556	0.0087722282	0.010096214
0.71095539	3.7352151	0.0087710644	0.010090898
0.71249094	3.739772	0.0087652481	0.0098864076
0.7140265	3.7478548	0.0087682142	0.010065922
0.71556205	3.7731336	0.0088177079	0.010314487
0.7170976	3.7721488	0.0088503736	0.010208216
0.71863315	3.7780135	0.0088954864	0.010134457
0.72016864	3.774942	0.0089139088	0.0099973791
0.72170419	3.770348	0.0089328431	0.010209811
0.72323974	3.7841483	0.008975199	0.01030794
0.7247753	3.7910938	0.0089835115	0.010334194
0.72631085	3.7769348	0.0089677294	0.010447142
0.72784634	3.7873377	0.0089896812	0.010264681
0.72938189	3.8084786	0.0090196246	0.010289079
0.73091744	3.8123232	0.0090270637	0.010372595
0.73245299	3.8061194	0.0090184825	0.010472211
0.73398854	3.821475	0.009051704	0.010485944
0.7355241	3.8113706	0.0090393524	0.010378691
0.73705958	3.8165681	0.0090395826	0.010378645
0.73859514	3.8342992	0.0090571567	0.010493921
0.74013069	3.8555705	0.0090989087	0.010479442
0.74166624	3.8597519	0.0091114675	0.010314247
0.74320179	3.854282	0.0090826893	0.01043447
0.74473734	3.8785968	0.0091030866	0.010526331
0.74627283	3.873208	0.0090981532	0.010459935
0.74780838	3.868978	0.0091025992	0.010632186
0.74934394	3.8718728	0.0090984842	0.010317859
