# HDF: fcm_201510_517  
# /messung/kmc/daten/2015/4Q/pilatus_201510_6694.tif
# Energy (eV)=8000	Distance (mm)=4541.2	Normalization (s A)=0.59621295	Center=(465.691,543.077)	Binsize (nm-1)=0.005
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0.025	2269.6877	17.388317	138.90969
0.03	2219.4317	4.8896953	18.883237
0.035	1956.235	2.6755474	8.2074825
0.04	1676.8082	2.1206106	6.3845406
0.045	1387.1589	1.7758549	5.0031712
0.05	1137.4669	1.4718609	3.2599702
0.055	922.25681	1.2414156	2.2332254
0.06	751.40841	1.0686568	1.9466752
0.065	606.23532	0.91384443	1.7199382
0.07	479.1706	0.76931335	1.3395881
0.075	378.02583	0.65567729	1.0396947
0.08	295.50913	0.55711848	0.8502194
0.085	230.25333	0.47498502	0.69445851
0.09	180.45043	0.40827188	0.58086259
0.095	143.4111	0.35292871	0.48482662
0.1	116.76303	0.30934334	0.41162274
0.105	98.44397	0.27719572	0.3573503
0.11	85.406875	0.25199276	0.31444034
0.115	76.329846	0.2347663	0.28650534
0.12	70.621226	0.22659235	0.27867706
0.125	66.109335	0.21922609	0.25467621
0.13	62.004267	0.21108844	0.25079867
0.135	59.243291	0.20459137	0.24213876
0.14	56.469685	0.19703071	0.23570421
0.145	53.118001	0.18524872	0.22406564
0.15	49.670039	0.17321052	0.20745478
0.155	46.047307	0.16245423	0.19154912
0.16	42.164273	0.1520426	0.17674634
0.165	38.668264	0.14279329	0.16822728
0.17	34.649998	0.1326458	0.15422824
0.175	30.892497	0.12304443	0.14079408
0.18	27.519017	0.11421205	0.1339236
0.185	24.583298	0.10807024	0.12866671
0.19	21.745647	0.10222966	0.12001291
0.195	19.543138	0.097223461	0.11591476
0.2	17.137478	0.090604197	0.10840855
0.205	15.138536	0.084935424	0.10174699
0.21	13.730715	0.079674463	0.093465442
0.215	12.346845	0.073173791	0.087062424
0.22	11.286634	0.0684443	0.081591696
0.225	10.648837	0.06525316	0.076133214
0.23	10.087521	0.062638153	0.072077885
0.235	9.3796663	0.059461603	0.070337708
0.24	8.8281764	0.056878593	0.067128142
0.245	8.3938001	0.054754967	0.064365545
0.25	8.0116061	0.05279782	0.060874502
0.255	7.7032426	0.051239234	0.058269292
0.26	7.3213941	0.049261486	0.056922443
0.265	7.0122068	0.047766117	0.054931681
0.27	6.6386968	0.046009089	0.053711903
0.275	6.3264884	0.044373033	0.052292052
0.28	6.0601356	0.042976186	0.05016659
0.285	5.7933257	0.041699945	0.04892155
0.29	5.5140977	0.040271132	0.046074898
0.295	5.3398324	0.039279587	0.044751312
0.3	5.1495235	0.038208655	0.043561847
0.305	4.9407719	0.037146024	0.042410781
0.31	4.7968349	0.036271493	0.041364324
0.315	4.7253868	0.035712424	0.041278944
0.32	4.6168863	0.035002819	0.040573235
0.325	4.596494	0.034695374	0.040255711
0.33	4.5575497	0.034209866	0.038829435
0.335	4.5015242	0.033674984	0.038227372
0.34	4.4963188	0.033484971	0.037709963
0.345	4.3778243	0.032744863	0.036910277
0.35	4.413945	0.032673754	0.036938685
0.355	4.4190888	0.032425383	0.036569369
0.36	4.3549903	0.03194771	0.036077478
0.365	4.3281106	0.031610895	0.035844487
0.37	4.3391779	0.031400757	0.03509684
0.375	4.3765031	0.031336331	0.035875016
0.38	4.3901969	0.031145597	0.035635777
0.385	4.3469137	0.030832793	0.03549232
0.39	4.3311801	0.03055031	0.03463396
0.395	4.3486685	0.030388992	0.034650252
0.4	4.375926	0.030286724	0.034323625
0.405	4.4104844	0.030163012	0.033823717
0.41	4.4488061	0.030127397	0.034421778
0.415	4.4806904	0.029965058	0.034569309
0.42	4.5622684	0.030086605	0.034528995
