# HDF: fcm_2015051_662  
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0854.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0860.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0866.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0872.tif
# /messung/kmc/daten/2015/2Q/pilatus_2015051_0878.tif
# Energy (eV)=8000	Distance (mm)=2230.9	Normalization (s A)=9.3439249	Center=(470.984,570.125)	Binsize (nm-1)=0.01
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	0.0046654616	0.017876485	0.0059247993
0.01	0.007289868	0.008818498	0.003083991
0.02	0.0056089361	0.0062348473	0.001925142
0.03	0.0050274448	0.0051257691	0.0050868319
0.04	0.22244104	0.0075512616	0.043936117
0.05	1.1566527	0.018709928	0.13978061
0.06	2.1060807	0.031327717	0.40903939
0.07	22.420681	0.13301035	1.0607581
0.08	26.4056	0.079027584	0.23255301
0.09	19.669157	0.052419217	0.083449501
0.1	13.670264	0.040685189	0.058385572
0.11	9.8983191	0.032573827	0.044758153
0.12	7.5466251	0.027050698	0.03523539
0.13	5.9717773	0.022986932	0.029527166
0.14	4.8731206	0.019969423	0.026121634
0.15	4.0944658	0.017817473	0.022932657
0.16	3.545314	0.016509208	0.020233617
0.17	3.0834978	0.015232619	0.018532117
0.18	2.8063511	0.014404499	0.017164464
0.19	2.5584689	0.013567516	0.016194937
0.2	2.3574537	0.012729038	0.015185949
0.21	2.216788	0.011775838	0.013831848
0.22	2.1359949	0.0111033	0.0129317
0.23	2.0542971	0.010537167	0.012460585
0.24	1.9868125	0.010058371	0.012319495
0.25	1.9449282	0.0096442098	0.011468737
0.26	1.9247919	0.0093578114	0.01083519
0.27	1.9063956	0.0091035599	0.010704105
0.28	1.8929763	0.0088551276	0.010361054
0.29	1.8941596	0.0086815877	0.010195823
0.3	1.9118282	0.008550971	0.0098891815
0.31	1.9059736	0.0083572568	0.0095189044
0.32	1.9104914	0.008217389	0.0096870725
0.33	1.9488795	0.0081676418	0.0094950973
0.34	1.9840047	0.008087427	0.0094314686
0.35	2.0037683	0.0079784997	0.0094015154
0.36	2.0280847	0.0079003963	0.0092816473
0.37	2.0848607	0.0079179983	0.0092910252
0.38	2.1051921	0.0078311023	0.0092239319
0.39	2.1431281	0.0077912561	0.0091291428
0.4	2.1803405	0.0077353691	0.0090659941
0.41	2.222882	0.0077036744	0.0088597994
0.42	2.2603641	0.0076828008	0.00889469
0.43	2.2892928	0.0076372087	0.0089120336
0.44	2.3272994	0.0076074611	0.0088978524
0.45	2.3553606	0.0075568065	0.0087966069
0.46	2.3759982	0.0075935119	0.0088430044
0.47	2.3779429	0.0076757241	0.0089182898
0.48	2.3816627	0.0077130044	0.0087692005
0.49	2.4006517	0.0077483997	0.0088878015
0.5	2.4006039	0.0077319747	0.0089177261
0.51	2.3931504	0.0076303855	0.0088417334
0.52	2.3900854	0.0074511516	0.0084484952
0.53	2.3929604	0.0073241374	0.0083450753
0.54	2.4006745	0.0072166414	0.0082458456
0.55	2.4182533	0.0071323656	0.0081577432
0.56	2.4275793	0.0070571479	0.0081563295
0.57	2.4404077	0.0070012569	0.0081449119
0.58	2.4486038	0.0069291761	0.0080406572
0.59	2.4755857	0.0069079094	0.0079275006
0.6	2.4717171	0.0068141274	0.0078766203
0.61	2.4943277	0.0067822596	0.0078153375
0.62	2.512179	0.0067474567	0.0078545084
0.63	2.5390297	0.0067251136	0.0078454909
0.64	2.5650648	0.0066925274	0.0076738598
0.65	2.5804977	0.0066494363	0.0077565226
0.66	2.5919002	0.0066074909	0.0076434967
0.67	2.6072253	0.0065728523	0.007634555
0.68	2.6277976	0.0065446377	0.0076769521
0.69	2.6428046	0.0065068646	0.0075839235
0.7	2.661955	0.0064772702	0.0075197056
0.71	2.6832902	0.00644771	0.0072443277
0.72	2.6998641	0.0064275042	0.0073227317
0.73	2.7113185	0.0063959933	0.0072363931
0.74	2.7349099	0.006373322	0.0073340783
0.75	2.7432066	0.0063270617	0.0073804813
0.76	2.7372475	0.0062695321	0.0073341006
0.77	2.7556141	0.0062561682	0.0071905833
0.78	2.7628308	0.0062288622	0.0071362296
0.79	2.7666106	0.0061884825	0.0070339875
0.8	2.7731806	0.0061446219	0.0070701004
0.81	2.7777768	0.0061282746	0.0071245952
0.82	2.7754722	0.0061693779	0.0070459289
0.83	2.778372	0.0062234138	0.0071244644
0.84	2.7882777	0.0062570329	0.0071938389
0.85	2.7901638	0.0062601774	0.0073778141
0.86	2.7943351	0.00626798	0.0072629766
0.87	2.7730267	0.0061705065	0.0071059359
0.88	2.7821622	0.0060870528	0.0069183534
0.89	2.7807929	0.006013465	0.0069719049
0.9	2.77403	0.005942849	0.0068323146
0.91	2.7603082	0.005874106	0.0066642367
0.92	2.7458941	0.0058135005	0.0067231345
0.93	2.7471107	0.0057834715	0.006730503
0.94	2.7293433	0.0057281439	0.0065480883
0.95	2.7239888	0.005682547	0.0065042604
0.96	2.7067025	0.0056241304	0.0065423604
0.97	2.6952098	0.0055788644	0.006410826
0.98	2.6771578	0.0055247101	0.0062982913
0.99	2.6610848	0.0054798264	0.0063207796
1	2.6516537	0.0054338472	0.0062963015
1.01	2.6343197	0.0053802236	0.0062261862
1.02	2.6125185	0.0053310062	0.006148289
1.03	2.594697	0.0052872038	0.0060522416
1.04	2.576032	0.0052353419	0.0060124695
1.05	2.5682325	0.0051966929	0.0060147488
1.06	2.560856	0.0051620037	0.005913237
1.07	2.547001	0.0051212468	0.0059093689
1.08	2.5380276	0.0050887511	0.0059248013
1.09	2.5207582	0.0050442383	0.0057643653
1.1	2.5182771	0.0050157645	0.0057341469
1.11	2.5050996	0.0049710336	0.0057198186
1.12	2.4903237	0.0049688504	0.0058104841
1.13	2.4714877	0.0049948738	0.0057337307
1.14	2.4673169	0.005017506	0.0057576243
1.15	2.4543293	0.0050104616	0.005829619
1.16	2.444915	0.0050153945	0.005794783
1.17	2.4271027	0.0049894728	0.0056713216
1.18	2.4221661	0.004923881	0.0056184866
1.19	2.4146736	0.0048554904	0.0055466314
1.2	2.4015086	0.0047942774	0.0054727709
1.21	2.3924478	0.0047506114	0.0053903494
1.22	2.3829016	0.0047153588	0.005393863
1.23	2.3728061	0.0046775151	0.0053552969
1.24	2.3594933	0.0046359238	0.0053460083
1.25	2.3547541	0.0046036645	0.0053013667
1.26	2.3512884	0.0045805216	0.0052445356
1.27	2.3365262	0.0045428004	0.0052030165
1.28	2.3368875	0.0045201889	0.0051622261
1.29	2.3284744	0.0044837167	0.0051479189
1.3	2.3200325	0.0044514463	0.0051786791
1.31	2.3060173	0.0044202555	0.0050605202
1.32	2.2863454	0.0043837973	0.0050573311
1.33	2.2796494	0.0043608051	0.0050427687
1.34	2.2713757	0.0043293348	0.0049762312
1.35	2.2671095	0.0043039078	0.0049204615
1.36	2.2572905	0.0042786116	0.0048923872
1.37	2.2438151	0.0042499497	0.0048814118
1.38	2.2331435	0.0042208795	0.0048942594
1.39	2.2269109	0.0041965138	0.0048439612
1.4	2.2076205	0.0041603183	0.004763095
1.41	2.1942101	0.0041319391	0.0047105638
1.42	2.1849697	0.0041079087	0.0047398253
1.43	2.1718764	0.0040818861	0.0046823683
1.44	2.1557601	0.0040483076	0.0046565765
1.45	2.1398854	0.0040157329	0.0046382533
1.46	2.1230008	0.0039830495	0.0046215851
1.47	2.114761	0.0039823645	0.0045669715
1.48	2.1015456	0.0040352841	0.004629849
1.49	2.0901063	0.0040968208	0.0046771045
1.5	2.0721466	0.0041246619	0.0046897065
1.51	2.0515918	0.0041399435	0.00474919
1.52	2.0433873	0.0041649507	0.0047804941
1.53	2.0289168	0.0041769994	0.0047728624
1.54	2.0061405	0.0041739426	0.0047815502
1.55	1.9951335	0.0041772916	0.0048353819
1.56	1.9845326	0.0041827018	0.0047884913
1.57	1.9745755	0.0041893283	0.0048437416
1.58	1.9551371	0.004182502	0.0048396
1.59	1.9398051	0.004203807	0.0048558528
1.6	1.93258	0.00426939	0.0049303329
