# HDF: fcm_201403_060  
# /archive/messung/kmc/daten/2014/1Q/pilatus_201403_0945.tif
# Energy (eV)=8800 Distance (mm)=4.5326  Normalization factor =0.00050473416  Center=(497.5,538.2)  Binsize (nm-1)=0.0017
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# Detector quantum efficiency = 95.72% Monitor sensitivity (ph/s/A) = 4.538e+16 Sample thickness (mm) =1 Direct beam(photons * sr) = 0.5273
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	934.65195	63.94858
0.0017	97.810159	497.28125	160.43532
0.0034	108.98621	367.391	118.5836
0.0051	34.585123	297.6471	55.809519
0.0068	56.754946	267.17863	62.71483
0.0085	47.008107	255.30595	54.335133
0.0102	169.812	249.42239	96.805963
0.0119	127.30691	236.24682	81.028947
0.0136	107.72255	224.51324	70.86146
0.0153	10.733169	212.95057	22.152041
0.017	74.258367	206.30531	53.682638
0.0187	226.13028	195.43946	85.170094
0.0204	125.62745	173.69753	66.28311
0.0221	247.21887	174.30829	166.6738
0.0238	4012.4043	284.00485	2923.5527
0.0255	58697.333	1006.5301	9628.3081
0.0272	139810.1	1549.0058	10528.115
0.0289	222282.2	2103.3657	5703.8982
0.0306	227934.71	1991.6094	3877.1805
0.0323	230311.89	1893.2496	3823.29
0.034	220836.31	1704.7798	3457.1763
0.0357	209255.88	1558.9217	3303.1582
0.0374	203750.76	1467.1128	3141.908
0.0391	192243.68	1373.8344	2833.3311
0.0408	181461.51	1287.255	2796.3487
0.0425	171055.59	1224.1013	2751.6985
0.0442	158393.59	1153.8032	2617.5488
0.0459	147844.08	1100.9687	2493.7191
0.0476	137215.48	1041.2058	2314.9628
0.0493	125123.94	975.58991	2149.2424
0.051	115862.53	916.33218	2062.8819
0.0527	107890.64	874.63088	1921.4899
0.0544	97680.711	813.47678	1810.1623
0.0561	88458.46	765.21587	1712.8971
0.0578	78966.742	716.32265	1592.2195
0.0595	70937.261	663.08349	1489.4458
0.0612	64949.967	620.96137	1396.2504
0.0629	57591.746	572.74351	1219.5109
0.0646	50819.031	533.76823	1154.6256
0.0663	44819.346	490.5693	1071.2859
0.068	40120.769	456.0829	955.72237
0.0697	35941.777	427.67885	870.83927
0.0714	31604.296	393.26525	822.71783
0.0731	27007.822	358.83556	718.41811
0.0748	22808.549	323.97919	655.67746
0.0765	19526.99	297.6755	579.44412
0.0782	16805.106	273.46516	512.42242
0.0799	14547.526	251.44434	471.45468
0.0816	12320.123	229.45924	438.42818
0.0833	10585.416	209.20225	361.28873
0.085	8530.4788	185.77988	310.41399
0.0867	6821.3198	165.50402	263.7028
0.0884	5699.4282	151.58917	235.14238
0.0901	4844.9125	139.60557	203.02742
0.0918	4110.4653	126.82321	172.27919
0.0935	3395.72	116.06025	140.09872
0.0952	2755.915	105.14234	121.84083
0.0969	2549.9945	101.29602	111.80883
0.0986	2396.147	97.35043	99.509402
0.1003	2175.0038	93.719488	94.552481
0.102	2069.6117	92.19161	95.429847
0.1037	1936.1051	89.079842	97.26088
0.1054	2065.389	91.084336	98.250669
0.1071	2146.9926	91.114737	94.641537
0.1088	2243.966	91.433384	99.249949
0.1105	2411.4155	92.592862	98.078447
0.1122	2509.1652	93.455326	100.43629
0.1139	2533.9582	93.215047	98.813447
0.1156	2614.9165	93.751181	102.44175
0.1173	2711.8295	93.660967	101.09816
0.119	2827.171	95.019923	104.42208
0.1207	2910.5658	95.456742	106.90906
0.1224	2899.4385	94.689703	104.56366
0.1241	2947.534	94.514759	102.50563
0.1258	2844.2595	91.761633	100.33085
0.1275	3018.999	93.814205	99.830455
0.1292	2994.933	92.468541	98.554775
0.1309	2972.4061	92.412005	105.85763
0.1326	2903.7267	90.232367	101.04585
0.1343	2675.5415	86.719738	95.348741
0.136	2561.6749	85.999847	92.342715
0.1377	2423.7073	85.717417	93.303534
0.1394	2169.3895	81.941659	86.517389
0.1411	2199.0013	82.676023	83.788457
0.1428	2054.7312	80.866845	83.121581
0.1445	1949.8084	80.165117	82.548869
0.1462	1705.0911	76.27625	77.57374
0.1479	1666.7665	76.603945	75.204211
0.1496	1492.5586	74.432817	73.113082
0.1513	1407.9259	73.445132	71.810898
0.153	1365.9062	72.706317	69.379025
0.1547	1385.9888	73.449502	70.025397
0.1564	1272.087	71.748443	67.551409
0.1581	1154.1685	69.799363	62.347456
0.1598	1103.584	69.555896	61.658158
0.1615	989.38036	67.318939	56.601413
0.1632	1017.1603	68.513748	57.952815
0.1649	857.24355	65.262293	52.261939
0.1666	886.29834	64.7179	52.63049
0.1683	895.89006	63.79425	50.161964
0.17	928.58354	63.712597	51.990872
0.1717	872.92493	62.255094	51.532711
0.1734	856.57923	61.970118	50.21743
0.1751	845.41979	61.439505	50.437991
0.1768	902.50128	61.304227	51.131655
0.1785	916.1564	60.918789	50.906603
0.1802	962.26923	60.796258	50.636702
0.1819	965.9271	60.303814	49.674576
0.1836	993.65733	60.720141	51.556628
0.1853	972.35073	60.216342	51.503698
0.187	986.38226	59.621251	49.841085
0.1887	987.00265	59.283422	51.265157
0.1904	1002.2729	59.334566	51.365103
0.1921	973.11289	58.789472	50.7294
0.1938	1014.8504	58.856803	50.104816
0.1955	1008.4201	59.194584	50.056819
0.1972	921.3458	58.761437	49.32238
0.1989	942.74173	59.269015	49.874025
0.2006	961.82756	59.129224	49.172375
0.2023	957.9674	59.277082	50.592392
0.204	931.81635	59.17242	49.4235
0.2057	941.68322	59.498245	49.203053
0.2074	886.21031	58.664495	48.26435
0.2091	867.57074	58.527188	47.008565
0.2108	798.63963	58.069024	45.622566
0.2125	810.10215	57.938319	46.255284
0.2142	724.80714	56.919089	43.176776
0.2159	738.35149	56.518258	40.493232
0.2176	780.67914	57.394196	43.735233
0.2193	729.18248	56.952572	42.770727
0.221	767.72395	56.828801	42.327453
0.2227	750.87547	56.232773	41.239656
0.2244	695.82533	55.270393	41.676424
0.2261	690.16209	54.776908	41.66391
0.2278	674.62153	54.060704	40.340632
0.2295	680.36076	53.316652	38.576465
0.2312	685.9532	53.382377	39.546783
0.2329	609.90757	52.312427	38.139878
0.2346	676.02026	52.704098	40.130327
0.2363	671.93773	52.051061	39.938831
0.238	710.5507	52.284384	39.63141
0.2397	669.03457	51.356342	38.034699
0.2414	664.82391	51.081614	36.802255
0.2431	648.10421	50.596097	35.962694
0.2448	656.61191	50.348072	36.31934
0.2465	650.30821	50.132777	35.825368
0.2482	656.44842	50.302419	37.761503
0.2499	677.23482	49.845126	36.844883
0.2516	673.21158	49.802916	37.415839
0.2533	657.16039	49.246057	36.024371
0.255	702.17243	49.46678	36.843587
0.2567	710.37988	49.614575	38.054147
0.2584	692.73086	48.811153	36.722422
0.2601	708.9547	48.848049	36.836454
0.2618	689.97851	48.440166	35.930554
0.2635	650.91419	48.015001	34.642678
0.2652	649.53808	47.839635	34.415973
0.2669	658.82612	47.570266	33.621378
0.2686	684.78605	47.870856	35.547932
0.2703	665.41242	47.492495	35.619761
0.272	652.10136	47.278403	35.303797
0.2737	691.04559	47.272469	36.100274
0.2754	715.35146	47.214195	35.97668
0.2771	648.85279	46.55411	34.22858
0.2788	618.05037	46.084649	33.100843
0.2805	574.14153	45.674138	31.962433
0.2822	613.88027	46.005214	32.957639
0.2839	617.3355	45.461615	31.830322
0.2856	595.55577	45.346089	32.036901
0.2873	638.00765	45.429062	32.312407
0.289	654.73503	45.334017	32.442894
0.2907	673.167	45.288512	33.719537
0.2924	677.18139	45.306975	34.539437
0.2941	681.4456	45.417489	34.492049
0.2958	618.38262	44.541349	32.044016
0.2975	585.94262	44.070368	30.600884
0.2992	629.65766	44.511715	33.020711
0.3009	646.00083	44.372844	32.799485
0.3026	635.10232	44.000108	31.632239
0.3043	650.75754	44.003665	32.249922
0.306	658.24854	44.044414	32.567233
0.3077	612.01172	43.529721	31.131462
0.3094	596.01514	43.419634	32.084698
0.3111	663.33083	43.584449	32.816059
0.3128	655.38022	43.419188	32.447286
0.3145	619.0392	43.147131	30.994742
0.3162	583.14114	42.73224	30.574827
0.3179	614.8867	42.600152	31.349735
0.3196	636.28541	42.694259	31.573027
0.3213	600.49434	42.489135	30.664563
0.323	613.14025	42.511019	31.321645
0.3247	581.46738	41.881892	29.596192
0.3264	636.82491	42.137068	30.239151
0.3281	639.71821	42.145161	30.974822
0.3298	615.77239	41.80611	30.412961
0.3315	620.84499	41.817093	30.199612
0.3332	631.06372	41.615286	29.587716
0.3349	643.17426	41.511587	29.804605
0.3366	645.82659	41.525699	30.402467
0.3383	592.49231	41.08805	29.647518
0.34	632.26081	41.334414	30.678793
0.3417	615.81584	40.957677	29.463884
0.3434	619.03938	40.898439	29.307478
0.3451	599.41753	40.641211	29.214902
0.3468	588.84672	40.537656	29.044435
0.3485	633.11502	40.873744	30.675225
0.3502	592.58401	40.342743	29.498824
0.3519	580.37049	40.101051	28.251486
0.3536	545.49905	39.692374	26.996633
0.3553	549.90432	39.655622	26.949707
0.357	563.7031	39.659837	27.312494
0.3587	591.61076	39.563825	27.53686
0.3604	607.14547	39.906463	29.379124
0.3621	587.73282	39.535494	28.393259
0.3638	597.49158	39.461905	27.838942
0.3655	554.08038	39.047582	27.046506
0.3672	551.47523	38.862131	26.03536
0.3689	577.66224	39.012025	27.012169
0.3706	588.52858	38.879379	26.685302
0.3723	595.98379	38.967959	27.614233
0.374	567.46702	38.607305	28.16785
0.3757	599.21872	38.751195	27.462479
0.3774	597.19068	38.638001	26.973382
0.3791	559.58414	38.306541	26.361561
0.3808	600.88871	38.513843	27.316066
0.3825	591.86306	38.341426	26.954725
0.3842	559.91231	38.112805	26.802727
0.3859	579.8379	38.043884	26.860611
0.3876	587.66409	37.95205	26.511044
0.3893	568.91387	37.759691	26.102676
0.391	589.74309	37.876265	26.754321
0.3927	575.39407	37.763267	26.999929
0.3944	600.7692	37.821508	27.306798
0.3961	566.23769	37.438221	26.02184
0.3978	558.98577	37.383655	25.819122
0.3995	569.31154	37.240983	25.47947
0.4012	577.34729	37.217136	25.899655
0.4029	589.10032	37.239248	26.547501
0.4046	614.00834	37.359465	27.053335
0.4063	613.18483	37.228498	26.79026
0.408	593.41549	36.991799	26.044719
0.4097	587.51028	36.995881	26.404539
0.4114	553.62219	36.594648	25.213086
0.4131	554.11309	36.436003	24.656952
0.4148	577.20913	36.484742	25.022088
0.4165	575.50259	36.46836	25.485797
0.4182	609.2374	36.65442	26.229225
0.4199	620.22377	36.619849	26.448707
0.4216	617.26902	36.486576	26.162114
0.4233	566.44718	36.072135	25.095382
0.425	589.11555	36.205836	25.442439
0.4267	575.2693	35.935629	25.080019
0.4284	573.86307	36.104835	25.923112
0.4301	531.70004	35.644914	24.575722
0.4318	551.00924	35.717108	24.361408
0.4335	553.73485	35.585533	23.895764
0.4352	564.52407	35.670149	25.165198
0.4369	563.73658	35.622351	25.248705
0.4386	572.23282	35.52393	24.796704
0.4403	576.97737	35.423663	24.662336
0.442	588.45831	35.311266	24.542086
0.4437	577.82491	35.438018	25.297364
0.4454	593.67818	35.462482	25.209209
0.4471	558.81265	34.97864	24.147507
0.4488	575.73836	35.045756	24.300879
0.4505	593.84008	35.033885	24.186423
0.4522	589.95063	34.970411	24.18419
0.4539	600.43878	34.956457	24.465775
0.4556	619.91715	35.12215	25.359716
0.4573	536.87373	34.499522	23.583022
0.459	563.97524	34.695945	24.177577
0.4607	566.83181	34.512579	23.797366
0.4624	556.68028	34.393554	23.818946
0.4641	589.06885	34.554195	24.35281
0.4658	567.80925	34.463737	23.936933
0.4675	554.62118	34.307506	23.795573
0.4692	588.74132	34.302107	24.208536
0.4709	578.44471	34.168214	23.887758
0.4726	576.31459	34.231197	23.819516
0.4743	562.15841	34.021924	23.549521
0.476	581.15089	34.049812	23.675367
0.4777	571.5404	33.973075	23.547198
0.4794	549.8402	33.783214	23.2404
0.4811	580.25806	33.844201	23.728338
0.4828	568.07525	33.679117	23.301036
0.4845	538.41642	33.587652	22.952703
0.4862	570.00108	33.635475	23.125178
0.4879	583.31662	33.710917	23.787463
0.4896	571.52599	33.533167	23.526268
0.4913	562.22371	33.291501	22.740081
0.493	547.12906	33.221377	22.257878
0.4947	588.39224	33.53957	23.215347
0.4964	579.63543	33.716164	23.383691
0.4981	576.77361	33.849408	23.551139
0.4998	590.80608	34.015987	23.977217
0.5015	599.74305	34.270038	24.630579
0.5032	559.73648	33.980117	23.696574
0.5049	569.86828	34.061662	23.415924
0.5066	569.18761	34.076748	23.574216
0.5083	570.56485	34.195648	23.573384
0.51	548.00453	34.017437	22.842278
0.5117	549.96414	34.102156	23.571895
0.5134	571.06396	34.336464	24.595308
0.5151	598.49866	34.500906	24.591037
0.5168	576.08177	34.279924	23.828911
0.5185	551.95315	34.11863	23.708621
0.5202	575.92394	34.347491	24.020926
0.5219	579.27974	34.43714	24.375629
0.5236	598.22752	34.276234	24.591904
0.5253	573.33101	33.6909	23.179772
0.527	589.43304	33.685682	23.348812
0.5287	587.46068	33.543559	23.209021
0.5304	589.88869	33.527857	23.963746
0.5321	572.45962	33.186548	23.388086
0.5338	567.727	33.090499	23.183384
0.5355	570.14763	33.02949	22.963211
0.5372	550.99832	32.907247	22.969732
0.53889997	588.03637	32.996288	23.490329
0.5406	572.8208	32.650986	22.366642
0.54230003	553.83812	32.662363	22.543716
0.544	556.65501	32.498106	22.10984
0.54569997	575.56872	32.432982	22.320383
0.5474	570.83811	32.371047	22.288851
0.54910003	559.25939	32.423258	22.254293
0.5508	525.51868	32.06091	21.574234
0.55249997	577.37534	32.277397	22.293556
0.5542	581.74436	32.550258	22.640387
0.55590003	598.23178	32.793452	23.040455
0.5576	561.16343	32.67787	22.762301
0.55929997	564.88885	32.759689	22.892947
0.561	533.47832	32.654204	22.598804
0.56270003	538.02229	32.901468	22.952466
0.5644	552.74017	32.879536	23.371085
0.56609997	573.84884	32.876654	23.102852
0.5678	551.4845	32.828381	22.506949
0.56950003	534.12693	32.776192	21.9744
0.5712	548.23032	32.805408	22.16428
0.57289997	570.87501	32.967714	22.718729
0.5746	547.26865	32.865162	22.293114
0.57630003	552.02955	32.821731	22.298177
0.578	565.91123	32.955731	22.759734
0.57969997	538.78681	32.733055	21.984056
0.5814	548.8346	32.803604	22.30353
0.58310003	555.12319	32.604978	22.338571
0.5848	549.97601	32.321316	22.439362
0.58649997	571.42172	32.240161	22.510064
0.5882	560.00401	32.096548	22.505918
0.58990003	557.46027	31.932095	21.806065
0.5916	575.61265	31.982272	22.356053
0.59329997	550.3663	31.550387	21.299766
0.595	578.37551	31.75005	22.073108
0.59670003	559.03679	31.613105	21.985982
0.5984	521.80512	31.416446	21.254351
0.60009997	522.81114	31.197402	20.827857
0.6018	565.4218	31.341192	21.640333
0.60350003	563.02632	31.254576	21.383129
0.6052	572.30823	31.246893	21.31378
0.60689997	538.39663	31.042599	21.383756
0.6086	580.77022	31.23095	22.376058
0.61030003	581.03481	31.094164	22.08429
0.612	572.31212	31.024837	21.654401
0.61369997	571.00096	30.884807	21.230146
0.6154	546.74001	30.774161	21.325788
0.61710003	575.36968	30.780876	21.601013
0.6188	569.50775	30.691512	21.184583
0.62049997	536.59084	30.376308	20.08096
0.6222	562.55584	30.541501	20.644819
0.62390003	571.05168	30.529406	21.225883
0.6256	573.31926	30.554845	21.428537
0.62729997	565.59079	30.400653	20.894051
0.629	568.56633	30.287935	20.842539
0.63070003	548.24739	30.1375	20.399902
0.6324	560.19308	30.307077	20.784781
0.63409997	565.52849	30.082259	20.442129
0.6358	570.73537	30.074109	20.52384
0.63750003	532.07781	29.900041	20.016881
0.6392	557.01347	29.989355	20.363358
0.64089997	553.35483	29.862091	20.249596
0.6426	561.95505	29.878659	20.473761
0.64430003	558.01329	29.820184	20.540833
0.646	552.45131	29.839872	20.794839
0.64769997	558.73754	29.823549	21.034234
0.6494	554.69516	29.662615	20.437938
0.65110003	556.50172	29.605114	20.227605
0.6528	567.35406	29.647619	20.553022
0.65449997	560.53519	29.536831	20.198608
0.6562	537.10673	29.416258	20.064523
0.65790003	563.92452	29.467667	20.267524
0.6596	561.05709	29.480009	20.256513
0.66129997	534.38455	29.225833	19.835893
0.663	555.61285	29.290912	20.270103
0.66470003	543.73418	29.217245	20.10036
0.6664	548.08991	29.220566	20.206398
0.66809997	557.13233	29.160065	20.051865
0.6698	569.77859	29.221644	20.231755
0.67150003	545.23677	29.05448	20.196983
0.6732	561.68858	29.101272	20.252677
0.67489997	552.78421	29.025447	20.033
0.6766	557.08999	28.93774	20.049941
0.67830003	528.1341	28.715188	19.072137
0.68	550.8265	28.800741	19.308101
0.68169997	558.76854	28.869869	19.886534
0.6834	558.27805	28.799311	19.916199
0.68510003	574.11909	28.76422	19.821353
0.6868	557.25697	28.655784	19.734216
0.68849997	584.55186	28.787155	19.946782
0.6902	551.52394	28.475972	19.116712
0.69190003	534.33341	28.420813	19.134699
0.6936	534.00465	28.426778	19.014914
0.69529997	523.63931	28.303705	18.909431
0.697	545.60616	28.382822	19.3477
0.69870003	528.01359	28.287213	19.333323
0.7004	555.85175	28.440921	19.864525
0.70209997	571.76991	28.449488	20.095256
0.7038	570.64007	28.266211	19.640941
0.70550003	564.10827	28.230658	19.594238
0.7072	562.68645	28.205366	19.342685
0.70889997	540.77599	28.040007	18.95783
0.7106	532.41095	27.88971	18.493174
0.71230003	559.20141	28.09461	19.32096
0.714	566.02997	28.046159	19.214259
0.71569997	556.45655	27.969022	19.087132
0.7174	575.65581	27.975775	19.343043
0.71910003	565.26001	27.919255	19.287836
0.7208	557.29069	27.931256	19.336067
0.72249997	551.2495	27.80946	18.852356
0.7242	527.60015	27.6761	18.725891
0.72590003	558.43157	27.737301	19.015785
0.7276	574.6394	27.841044	19.30077
0.72929997	576.34871	27.77621	19.291803
0.731	551.95592	27.577099	18.865239
0.73270003	526.03113	27.500797	18.695924
0.7344	550.07249	27.578042	18.92388
0.73609997	562.34635	27.619328	19.151998
0.7378	553.74075	27.486579	18.91683
