# HDF: fcm_201403_060  
# /archive/messung/kmc/daten/2014/1Q/pilatus_201403_0953.tif
# Energy (eV)=8800 Distance (mm)=4.5326  Normalization factor =0.00050419669  Center=(497.5,538.2)  Binsize (nm-1)=0.0017
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# Detector quantum efficiency = 95.72% Monitor sensitivity (ph/s/A) = 4.538e+16 Sample thickness (mm) =1 Direct beam(photons * sr) = 0.5268
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	935.64828	0
0.0017	0	494.84773	0
0.0034	0	362.783	9.8593988
0.0051	101.95813	300.47715	92.524191
0.0068	182.08458	270.97328	108.76136
0.0085	141.30302	258.79222	93.722735
0.0102	200.54197	250.77852	104.28826
0.0119	183.39448	237.62584	95.953402
0.0136	138.64088	225.64171	79.498328
0.0153	75.50503	215.20882	58.062784
0.017	107.96168	207.19627	65.506608
0.0187	176.90886	194.24283	76.852623
0.0204	147.69148	174.48024	63.741864
0.0221	135.98455	168.31656	86.900274
0.0238	1716.5085	224.87005	704.97289
0.0255	10097.304	440.38383	1650.9206
0.0272	20602.519	585.66009	2079.5381
0.0289	31237.147	745.66988	2012.0312
0.0306	34570.516	804.33231	1769.8669
0.0323	31102.775	713.34768	1796.6839
0.034	29016.942	611.18001	1443.8701
0.0357	26637.448	539.12885	1234.21
0.0374	22371.913	469.59024	977.95656
0.0391	19078.31	422.24869	827.97477
0.0408	15960.329	375.89918	685.09576
0.0425	13696.114	339.51647	623.05226
0.0442	11731.676	309.7662	536.11254
0.0459	9911.2398	278.5572	443.19545
0.0476	8537.0253	252.16506	378.70397
0.0493	7489.6619	233.63881	358.3686
0.051	6421.2196	212.25651	325.94592
0.0527	5470.501	196.16327	297.12182
0.0544	4254.45	168.2179	225.15461
0.0561	3760.0699	157.49918	195.64268
0.0578	3353.5183	148.49697	175.94619
0.0595	2903.8571	137.00954	152.84433
0.0612	2665.667	131.53006	138.31658
0.0629	2659.6578	127.3987	134.3704
0.0646	2572.1701	126.01063	147.11011
0.0663	2692.0292	127.46684	137.94606
0.068	2620.3457	121.96325	137.34869
0.0697	2662.4846	123.45746	146.25546
0.0714	2854.5632	124.27093	136.42174
0.0731	3234.5192	129.24479	147.01053
0.0748	3517.9963	132.2912	154.33845
0.0765	3501.1414	128.72242	152.02902
0.0782	3740.9598	132.35031	155.1493
