# HDF: fcm_201403_060  
# /archive/messung/kmc/daten/2014/1Q/pilatus_201403_0951.tif
# Energy (eV)=8800 Distance (mm)=4.5326  Normalization factor =0.00050423986  Center=(499.5,536.2)  Binsize (nm-1)=0.0017
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# Detector quantum efficiency = 95.72% Monitor sensitivity (ph/s/A) = 4.538e+16 Sample thickness (mm) =1 Direct beam(photons * sr) = 0.5268
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	935.56818	240.36912
0.0017	367.6476	515.90492	290.84301
0.0034	129.65644	366.5085	121.38994
0.0051	0	297.32107	7.4144987
0.0068	0	253.72857	2.4225388
0.0085	38.323566	227.36144	44.487717
0.0102	21.640163	216.07995	32.043242
0.0119	111.04589	216.19439	68.484403
0.0136	211.08037	212.391	89.871635
0.0153	101.81404	202.19916	62.49092
0.017	72.839257	196.06333	51.230635
0.0187	29.493698	189.14823	32.260444
0.0204	43.24746	181.60128	37.850845
0.0221	163.27879	171.12798	159.7065
0.0238	1767.5982	234.96439	689.73725
0.0255	9067.4095	471.96838	1582.3577
0.0272	16871.119	600.52589	1694.6154
0.0289	19251.368	580.27421	1306.901
0.0306	14669.089	445.99474	889.87636
0.0323	9425.1009	329.04155	449.35811
0.034	7317.2056	281.97004	355.76914
0.0357	6555.9326	261.09954	306.65372
0.0374	6117.3017	244.77781	270.70758
0.0391	6039.8454	237.84474	280.22208
0.0408	5706.9549	223.47191	264.7743
0.0425	5868.5887	224.2347	256.40658
0.0442	5737.8064	216.48977	237.47607
0.0459	5781.9094	212.88815	248.57892
0.0476	5836.5834	209.7744	251.46328
0.0493	6069.8516	211.17578	255.6505
0.051	6100.4251	205.21479	245.99154
0.0527	6078.7001	203.16015	248.53686
0.0544	5890.9128	195.34682	245.43701
0.0561	6220.9777	197.77311	224.91088
0.0578	6221.2373	193.92624	236.67283
0.0595	6580.4232	198.87565	230.85624
0.0612	6146.6029	187.83489	214.03658
0.0629	6062.6646	182.3612	199.75318
0.0646	6159.4623	181.55163	207.56289
0.0663	5857.5959	175.35104	213.7859
0.068	5911.4448	175.53986	199.02854
