# HDF: fcm_201403_060  
# /archive/messung/kmc/daten/2014/1Q/pilatus_201403_0957.tif
# Energy (eV)=8800 Distance (mm)=4.5326  Normalization factor =0.00050355671  Center=(499.5,536.2)  Binsize (nm-1)=0.0017
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# Detector quantum efficiency = 95.72% Monitor sensitivity (ph/s/A) = 4.538e+16 Sample thickness (mm) =1 Direct beam(photons * sr) = 0.5261
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	936.83741	38.123531
0.0017	58.310418	496.52836	123.79608
0.0034	126.91824	369.98529	127.41313
0.0051	51.548109	299.09062	67.564931
0.0068	147.57	258.62484	95.25531
0.0085	49.796991	227.393	50.271492
0.0102	131.22392	219.39742	75.181497
0.0119	164.52227	218.07731	83.26804
0.0136	134.10607	210.27271	73.708253
0.0153	93.262567	202.38222	59.590934
0.017	35.24354	195.63573	36.423665
0.0187	62.867289	190.10607	46.333094
0.0204	143.76559	184.13721	66.787354
0.0221	284.03368	174.24102	200.32325
0.0238	3575.5511	278.38904	1786.8134
0.0255	38407.168	956.9521	5953.0335
0.0272	114616.45	1743.9373	6631.8505
0.0289	144652.44	1666.0855	3367.9264
0.0306	135209.69	1376.6793	2500.4778
0.0323	120915.2	1208.3622	1999.0245
0.034	110276.39	1113.2779	1725.4217
0.0357	101099.65	1036.6416	1584.1966
0.0374	90250.05	949.12429	1487.3587
0.0391	82224.922	881.79017	1373.7547
0.0408	74427.445	821.53731	1266.6896
0.0425	65705.756	749.81774	1137.4787
0.0442	58548.399	696.38473	1087.2508
0.0459	50808.852	636.22432	996.42842
0.0476	43378.121	572.79916	853.56567
0.0493	36720.493	516.19935	768.3817
0.051	31056.991	463.76095	729.01558
0.0527	26084.176	418.21633	660.55371
0.0544	21907.665	376.2919	571.30418
0.0561	18130.761	335.25444	518.68483
0.0578	14804.431	299.80524	404.1822
0.0595	11437.293	259.04318	363.13905
0.0612	9407.3647	233.27434	319.35149
0.0629	7253.9649	198.60089	260.36931
0.0646	5908.4568	180.03177	241.41831
0.0663	4684.7516	159.99208	194.03237
0.068	3586.0527	139.65126	173.32501
0.0697	2964.4584	127.50972	151.8016
0.0714	2481.5395	117.85925	131.59457
0.0731	2247.7551	112.91988	115.92682
0.0748	2163.1609	110.13511	110.37129
0.0765	2150.8443	108.22006	116.12698
0.0782	2266.9259	108.28632	117.06056
0.0799	2461.08	111.73821	121.97184
0.0816	2722.6307	113.4586	125.30202
0.0833	3146.8293	119.1094	138.3972
0.085	3296.4938	119.38203	136.8151
0.0867	3892.9151	128.49944	150.61313
0.0884	4255.8331	131.31369	150.2791
0.0901	4212.5968	128.06341	147.73375
0.0918	4572.101	133.05139	154.2758
0.0935	4636.4218	131.88611	145.69706
0.0952	4676.1558	131.2802	152.08367
0.0969	4863.401	132.60361	152.70137
0.0986	4888.1876	131.95645	154.28866
0.1003	4781.7877	128.87637	143.5057
0.102	4683.5163	126.64501	142.33626
0.1037	4497.6693	123.385	148.07062
0.1054	4305.1307	119.77234	142.77241
0.1071	4018.5876	115.61076	133.0505
0.1088	3748.4126	110.30681	119.83713
0.1105	3494.1376	106.04811	120.59343
0.1122	3188.4342	102.39622	114.50308
0.1139	2848.2873	98.289678	106.50375
0.1156	2507.3493	92.290357	98.031467
0.1173	2382.4765	89.737803	95.348147
0.119	2111.678	85.680128	91.015808
0.1207	1763.1687	81.384557	83.758095
0.1224	1553.3193	78.914239	81.694724
0.1241	1271.2413	73.209905	68.216358
0.1258	1185.8903	71.95783	63.47091
0.1275	1032.6198	69.540711	59.061451
0.1292	970.11141	68.768179	59.150637
0.1309	1052.9307	69.315192	59.278718
0.1326	918.17166	67.139667	54.677981
0.1343	899.0451	67.024814	56.422877
0.136	877.43526	66.019173	54.977953
0.1377	915.62783	66.450555	56.54983
0.1394	866.08745	65.379834	53.018882
0.1411	996.14789	67.915957	58.85298
0.1428	1085.1636	69.17179	62.855851
0.1445	1121.2283	69.561351	61.379863
0.1462	1130.0572	69.138077	60.66582
0.1479	1172.3358	70.415771	63.373878
0.1496	1265.8819	71.366733	64.261219
0.1513	1359.6217	72.185029	68.808972
0.153	1383.8344	72.603354	69.840365
0.1547	1381.1957	72.83252	72.270771
0.1564	1467.9861	73.438864	73.457455
0.1581	1514.2463	73.762769	73.641583
0.1598	1416.5702	72.206342	69.56249
0.1615	1422.288	72.311726	68.126954
0.1632	1398.227	72.241771	68.939353
0.1649	1267.8829	69.818556	64.217578
0.1666	1370.8393	71.627075	66.420675
0.1683	1250.8593	69.046942	63.418651
0.17	1141.9843	67.084257	60.563007
0.1717	1069.3707	65.003604	56.372264
0.1734	1073.7421	64.592677	57.404309
0.1751	1062.525	63.744464	55.392065
0.1768	943.92377	61.888624	50.339254
0.1785	886.64903	61.396264	50.141998
0.1802	836.21669	60.028963	48.074591
0.1819	749.8104	58.902554	45.208986
0.1836	723.49581	58.121959	43.756349
0.1853	698.10852	57.865046	43.633081
0.187	677.00931	57.191373	42.339578
0.1887	653.68048	56.510798	41.067802
0.1904	596.75676	56.047387	39.486382
0.1921	568.28149	56.022937	39.000658
0.1938	678.96616	57.523838	44.242861
0.1955	607.13964	56.673583	40.136341
0.1972	524.92338	56.181301	35.767234
0.1989	537.63561	56.44	37.473543
0.2006	625.11135	56.768458	39.528336
0.2023	643.74763	57.0895	40.570726
0.204	604.09654	57.015158	40.128658
0.2057	674.16453	57.670783	42.202031
0.2074	617.92669	57.024328	41.545418
0.2091	663.97204	57.110469	41.204924
0.2108	688.43755	57.498855	42.197326
0.2125	615.33291	56.82526	40.696706
0.2142	629.7082	56.943901	41.778857
0.2159	689.60389	57.317664	43.306479
0.2176	686.9743	56.869903	42.33714
0.2193	696.70947	57.013349	43.43941
0.221	709.16935	56.322602	43.421203
0.2227	688.87297	55.287103	41.500405
0.2244	696.13137	54.672706	40.173937
0.2261	693.77568	54.050775	39.353248
0.2278	688.61061	53.961659	41.286382
0.2295	620.17336	52.639348	37.780247
0.2312	590.7234	52.423557	36.992431
0.2329	569.273	51.778948	35.537738
0.2346	549.5865	51.287161	36.245563
0.2363	584.9685	51.480081	37.018746
0.238	553.61365	51.083488	36.191776
0.2397	570.11595	50.846742	35.659408
0.2414	530.61915	50.038519	33.890731
0.2431	520.25515	49.836096	33.594458
0.2448	523.34519	49.435075	32.454795
0.2465	482.33592	49.053337	32.538033
0.2482	539.78474	49.328608	33.582092
0.2499	464.92086	48.502511	31.055938
0.2516	446.36513	48.080458	29.6233
0.2533	453.41835	48.086476	31.179928
0.255	457.32849	47.839447	30.557963
0.2567	486.86439	47.687268	30.037038
0.2584	448.76917	47.320137	29.803664
0.2601	478.20404	47.187251	29.79993
0.2618	492.70235	47.093511	30.136714
0.2635	493.94627	47.148874	30.893525
0.2652	445.29006	46.32678	28.684982
0.2669	468.47206	46.572951	29.499366
0.2686	493.27211	46.339001	29.525924
0.2703	476.16733	45.933808	28.487767
0.272	469.43208	45.903632	29.606612
0.2737	521.06934	46.152251	30.988228
0.2754	497.91894	45.801425	29.933282
0.2771	490.70671	45.55265	29.837707
0.2788	483.02387	45.343011	30.380697
0.2805	497.9818	45.408179	30.161849
0.2822	475.3173	44.915353	28.360866
0.2839	498.22682	44.877472	28.815138
0.2856	486.12654	44.751049	28.950679
0.2873	466.81533	44.276655	27.429417
0.289	468.06434	44.335842	28.651417
0.2907	460.68361	43.93754	27.53116
0.2924	492.69501	44.168019	28.800575
0.2941	456.54984	43.663508	27.088455
0.2958	434.89348	43.492138	26.644187
0.2975	432.49015	43.15724	26.319491
0.2992	461.84944	43.297698	27.611923
0.3009	454.16116	43.130586	27.322916
0.3026	448.47784	42.99554	26.857408
0.3043	420.76673	42.613073	25.725124
0.306	396.08925	42.278016	24.896195
0.3077	395.80839	42.235337	24.865182
0.3094	432.53158	42.245084	25.598115
0.3111	409.79648	42.070817	25.834418
0.3128	387.80129	41.634793	24.38342
0.3145	427.676	41.978794	25.852001
0.3162	404.49557	41.553186	24.245234
0.3179	399.04781	41.439372	24.71628
0.3196	424.33435	41.465724	25.30908
0.3213	381.43585	41.069171	23.718616
0.323	354.5188	40.881973	23.616676
0.3247	380.3959	40.895892	24.186076
0.3264	383.92281	40.782186	24.248833
0.3281	407.4839	40.623318	24.17976
0.3298	409.5667	40.630343	24.293422
0.3315	389.12449	40.389114	23.89418
0.3332	380.58858	40.130888	23.452276
0.3349	398.20918	40.272204	23.556064
0.3366	421.22025	40.306205	24.382212
0.3383	436.77493	40.147345	24.645829
0.34	390.1605	39.770623	23.38492
0.3417	389.8491	39.793013	24.03945
0.3434	391.20574	39.711831	23.711029
0.3451	353.54979	39.238617	22.169896
0.3468	393.55666	39.457497	23.765994
0.3485	385.31711	39.228504	23.048322
0.3502	395.81739	39.211507	23.202601
0.3519	387.55538	38.93998	22.59254
0.3536	389.3922	38.829814	22.740906
0.3553	416.81631	39.134565	24.097863
0.357	383.53447	38.744689	23.105889
0.3587	363.98452	38.59471	22.633069
0.3604	323.74425	38.111768	20.28088
0.3621	359.25074	38.288797	21.699788
0.3638	376.6526	38.349213	22.396651
0.3655	374.26978	38.169945	22.216833
0.3672	370.15234	38.027106	21.874161
0.3689	350.54684	37.783602	20.942834
0.3706	371.73743	37.85082	21.803583
0.3723	380.10543	37.759836	21.934858
0.374	365.88854	37.546523	21.665452
0.3757	366.7307	37.581061	21.667484
0.3774	394.0375	37.670117	22.1514
0.3791	370.47244	37.323309	21.140042
0.3808	371.991	37.336418	21.596976
0.3825	376.34585	37.161611	21.310431
0.3842	368.73646	37.035739	20.971191
0.3859	372.91127	37.020033	21.793076
0.3876	353.49268	36.869355	21.562376
0.3893	359.22725	36.823214	21.100366
0.391	353.347	36.633912	20.723997
0.3927	358.56963	36.581445	20.525246
0.3944	343.89998	36.419863	20.717554
0.3961	355.78323	36.415095	21.076238
0.3978	392.08293	36.532293	21.573101
0.3995	372.56558	36.288553	20.811791
0.4012	353.60862	36.136617	20.364728
0.4029	346.36667	36.036638	20.445305
