# HDF: fcm_201403_060  
# /messung/kmc/daten/2014/1Q/pilatus_201403_0949.tif
# Energy (eV)=8800	Distance (mm)=4532.6	Normalization (s A)=3.9237074e-16	Center=(499.5,536.2)	Binsize (nm-1)=0.0016922998
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	0	2.4740587e+22	0
0.0016922998	0	1.3107046e+22	5.0804508e+20
0.0033845995	3.0749829e+21	9.7566415e+21	3.2539296e+21
0.0050768995	7.7418476e+20	7.8852232e+21	1.3499774e+21
0.006769199	2.8196053e+21	6.8685438e+21	2.1702939e+21
0.008461499	1.8399983e+21	6.0334826e+21	1.5737428e+21
0.010153799	1.6797549e+21	5.7003975e+21	1.3915767e+21
0.011846098	7.0907722e+21	5.9136128e+21	2.7059117e+21
0.013538398	3.8122935e+21	5.5985298e+21	2.0262461e+21
0.015230698	3.6089609e+21	5.359119e+21	1.8942517e+21
0.016922998	2.7956749e+21	5.1782475e+21	1.6253971e+21
0.018615298	3.2872695e+21	5.054658e+21	1.6991175e+21
0.020307598	2.1128137e+21	4.8782107e+21	1.3427212e+21
0.021999898	4.5526564e+21	4.5953287e+21	3.0788842e+21
0.023692196	4.5695187e+22	5.9283652e+21	2.036329e+22
0.025384496	3.6868009e+23	1.5011968e+22	6.3370761e+22
0.027076796	1.0261498e+24	2.4429497e+22	8.1658283e+22
0.028769096	1.5854079e+24	2.847413e+22	5.4029973e+22
0.030461396	1.4255883e+24	2.2953041e+22	3.4955913e+22
0.032153696	1.2340847e+24	1.9748621e+22	2.3004117e+22
0.033845996	1.1310583e+24	1.8402011e+22	2.1864678e+22
0.035538296	1.0934921e+24	1.743881e+22	2.1571468e+22
0.037230596	1.0508267e+24	1.668807e+22	2.1438687e+22
0.038922896	1.0138256e+24	1.5948373e+22	1.9566468e+22
0.040615196	9.8155663e+23	1.533493e+22	1.7362746e+22
0.042307496	9.3025542e+23	1.458014e+22	1.7529702e+22
0.043999796	9.1247903e+23	1.4117341e+22	1.7598087e+22
0.045692092	8.6656082e+23	1.3466533e+22	1.6868168e+22
0.047384392	8.1864744e+23	1.280979e+22	1.6197052e+22
0.049076692	7.614489e+23	1.2089608e+22	1.5039862e+22
0.050768992	7.3338771e+23	1.1632259e+22	1.4361141e+22
0.052461292	6.8350163e+23	1.1047707e+22	1.2697474e+22
0.054153592	6.412075e+23	1.0553243e+22	1.2291802e+22
0.055845892	5.9657335e+23	9.9074288e+21	1.2573025e+22
0.057538192	5.5735431e+23	9.4462574e+21	1.164314e+22
0.059230492	5.3067376e+23	9.0851558e+21	1.1531136e+22
0.060922792	5.0026487e+23	8.7616218e+21	1.0872017e+22
0.062615092	4.4882099e+23	8.1493378e+21	9.8518146e+21
0.064307392	4.1879085e+23	7.7437799e+21	1.0023836e+22
0.065999692	3.9690226e+23	7.4272422e+21	9.4543491e+21
0.067691992	3.6062385e+23	6.9772803e+21	8.772076e+21
0.069384288	3.4013432e+23	6.7175396e+21	8.1217765e+21
0.071076592	3.1573064e+23	6.3508091e+21	7.9391639e+21
0.072768888	2.7547293e+23	5.8492725e+21	7.2302447e+21
0.074461192	2.543303e+23	5.5883143e+21	6.5717777e+21
0.076153488	2.3248209e+23	5.2899332e+21	6.2279709e+21
0.077845792	2.0259084e+23	4.8936911e+21	5.8763575e+21
0.079538088	1.7536548e+23	4.4691075e+21	5.2506112e+21
0.081230392	1.5996717e+23	4.2538005e+21	4.9913309e+21
0.082922688	1.4293187e+23	4.0047146e+21	4.593315e+21
0.084614992	1.2694005e+23	3.7376539e+21	4.5323238e+21
0.086307288	1.0835582e+23	3.4054279e+21	3.9235005e+21
0.087999592	9.8627859e+22	3.2788509e+21	3.7746321e+21
0.089691888	8.6072424e+22	3.0626648e+21	3.4927632e+21
0.091384184	7.671771e+22	2.9031043e+21	3.2309279e+21
0.093076488	6.5362843e+22	2.7201125e+21	3.0642434e+21
0.094768784	5.8332274e+22	2.6093762e+21	2.7499999e+21
0.096461088	4.9889712e+22	2.4493388e+21	2.5428736e+21
0.098153384	4.0807498e+22	2.280543e+21	2.2235228e+21
0.099845688	3.9485318e+22	2.277802e+21	2.1793125e+21
0.10153798	3.3671055e+22	2.1512461e+21	2.0044056e+21
0.10323029	3.2699716e+22	2.1499055e+21	1.9917508e+21
0.10492258	2.9178848e+22	2.047331e+21	1.7232827e+21
0.10661489	3.1117161e+22	2.0766799e+21	1.8057243e+21
0.10830718	2.8921853e+22	2.0259686e+21	1.7965903e+21
0.10999949	2.5034427e+22	1.9502365e+21	1.6352412e+21
0.11169178	2.5626576e+22	1.967181e+21	1.6677953e+21
0.11338409	2.583606e+22	1.9489946e+21	1.7184832e+21
0.11507638	2.5938256e+22	1.9305234e+21	1.6577507e+21
0.11676869	2.6187885e+22	1.9161361e+21	1.6451316e+21
0.11846098	2.824643e+22	1.9413523e+21	1.7876696e+21
0.12015328	2.9480301e+22	1.9326858e+21	1.7265353e+21
0.12184558	2.9307248e+22	1.9032441e+21	1.6450118e+21
0.12353788	3.0839639e+22	1.9134287e+21	1.7092801e+21
0.12523018	3.4410328e+22	1.9608575e+21	1.8206874e+21
0.12692248	3.5094199e+22	1.9422221e+21	1.8362913e+21
0.12861478	3.5445087e+22	1.9280347e+21	1.8127651e+21
0.13030708	3.4227538e+22	1.9027894e+21	1.7978938e+21
0.13199938	3.5566274e+22	1.9105977e+21	1.7380395e+21
0.13369168	3.5318907e+22	1.8947842e+21	1.8048442e+21
0.13538398	3.893034e+22	1.9258936e+21	1.8689492e+21
0.13707629	3.8678849e+22	1.8969081e+21	1.8519952e+21
0.13876858	3.8814136e+22	1.8928804e+21	1.8287136e+21
0.14046088	3.891006e+22	1.914444e+21	1.8462889e+21
0.14215318	3.5806948e+22	1.8899667e+21	1.7564523e+21
0.14384549	3.2863226e+22	1.8609996e+21	1.7279508e+21
0.14553778	3.4731892e+22	1.8762478e+21	1.752441e+21
0.14723008	3.53691e+22	1.8961466e+21	1.8322862e+21
0.14892238	3.3121355e+22	1.8671485e+21	1.7133287e+21
0.15061467	3.0936102e+22	1.8470964e+21	1.6917678e+21
0.15230698	3.0042988e+22	1.8366028e+21	1.6420985e+21
0.15399928	2.8819144e+22	1.8208989e+21	1.6260111e+21
0.15569158	2.6060049e+22	1.7749239e+21	1.5167171e+21
0.15738387	2.5849054e+22	1.7729172e+21	1.5249093e+21
0.15907618	2.4967832e+22	1.7720966e+21	1.5373251e+21
0.16076848	2.2921089e+22	1.7371705e+21	1.4340818e+21
0.16246078	2.2758509e+22	1.745023e+21	1.47814e+21
0.16415307	2.1608431e+22	1.7199865e+21	1.3544548e+21
0.16584538	2.092634e+22	1.7057117e+21	1.3311313e+21
0.16753768	2.0228622e+22	1.6915454e+21	1.3424997e+21
0.16922998	1.9178605e+22	1.6588483e+21	1.2734942e+21
0.17092227	1.7879003e+22	1.629531e+21	1.2435333e+21
0.17261458	1.918842e+22	1.6268623e+21	1.276322e+21
0.17430688	1.8927578e+22	1.592065e+21	1.1945412e+21
0.17599918	1.7341121e+22	1.5664299e+21	1.1050065e+21
