# HDF: fcm_201403_060  
# /messung/kmc/daten/2014/1Q/pilatus_201403_0953.tif
# Energy (eV)=8800	Distance (mm)=4532.6	Normalization (s A)=3.9236364e-16	Center=(499.5,536.2)	Binsize (nm-1)=0.0016922998
# Normalized by solid angle (1/distance^2), time (PilatusAcqTime_GRAL) and intensity (K4norm_mean)
# q(nm-1)	I_norm	err_pois	err_stdv
0	2.0120275e+22	2.7135597e+22	2.6526255e+22
0.0016922998	4.4385013e+21	1.3335891e+22	4.8827393e+21
0.0033845995	3.0623192e+21	9.681743e+21	3.1930829e+21
0.0050768995	6.8387125e+21	8.1022342e+21	3.8146107e+21
0.006769199	2.2807859e+21	6.8192269e+21	1.9373458e+21
0.008461499	2.0348203e+21	6.0560064e+21	1.6572129e+21
0.010153799	1.8629797e+21	5.7116589e+21	1.4782841e+21
0.011846098	3.9116803e+21	5.7885012e+21	2.1093413e+21
0.013538398	5.6105044e+21	5.6493145e+21	2.4009421e+21
0.015230698	4.9459475e+21	5.3921033e+21	2.1928348e+21
0.016922998	2.1393264e+21	5.1552189e+21	1.4124911e+21
0.018615298	2.3903467e+21	5.022244e+21	1.4583573e+21
0.020307598	3.6708881e+21	4.903938e+21	1.7416624e+21
0.021999898	3.5949566e+21	4.5756727e+21	2.2142963e+21
0.023692196	3.8160548e+22	5.5790257e+21	1.909195e+22
0.025384496	3.7371308e+23	1.5032004e+22	6.4949053e+22
0.027076796	9.7270562e+23	2.3118052e+22	8.5436441e+22
0.028769096	1.3859849e+24	2.5876625e+22	5.8226394e+22
0.030461396	1.189245e+24	2.0915702e+22	3.8094921e+22
0.032153696	9.2488825e+23	1.7071113e+22	2.867545e+22
0.033845996	7.5313465e+23	1.488449e+22	2.2293701e+22
0.035538296	6.3610839e+23	1.321139e+22	2.0073576e+22
0.037230596	5.4726517e+23	1.1933516e+22	1.8490275e+22
0.038922896	4.8508795e+23	1.0938626e+22	1.5602969e+22
