#Electron density(e/nm3)	qmin	qmax
 360.5	0.034	0.098
359.88	0.034	0.098
359.74	0.034	0.098
359.18	0.034	0.098
357.55	0.034	0.098
355.77	0.034	0.098
354.48	0.034	0.098
351.65	0.034	0.1
348.46	0.04	0.104
345.4	0.038	0.066
342.48	0.056	0.084
340.15	0.034	0.056
338.46	0.034	0.062
337.29	0.034	0.064
335.53	0.034	0.068
334.91	0.034	0.068
334.35	0.034	0.07
334.05	0.034	0.068
334.02	0.034	0.07
336.23	0.034	0.068
335.22	0.034	0.068
360.07	0.034	0.098
359.63	0.034	0.098
359.06	0.034	0.098
358.54	0.034	0.098
356.99	0.034	0.098
355.73	0.034	0.096
353.91	0.034	0.1
351.53	0.034	0.102
349.18	0.036	0.106
346.5	0.034	0.072
344.19	0.034	0.054
341.69	0.034	0.052
340.06	0.034	0.06
338.89	0.034	0.062
337.19	0.034	0.066
335.93	0.034	0.07
335.13	0.034	0.07
